				UPD: 08:43 AM

EV (AVG)	Game	Player	IN	FD	AVG	bet365	DK	MGM	CZ	Kambi	PN	BV
-10.8	CLE @ SF	Jose Ramirez		160	155/-203	160/-190	150/-205					
-10.8	CHC @ COL	Charlie Blackmon		140	184/-271	210/-260	195/-270					
-10.8	CHC @ COL	Brenton Doyle		155	193/-272	215/-270	200/-280					
-10.9	SD @ LAD	Mookie Betts		110	154/-227	180/-225	160/-215					
-10.9	OAK @ HOU	Michael Brantley		160	176/-247	195/-240	180/-250					
-11.0	LAA @ SEA	Logan Ohoppe		200	222/-319	235/-310	235/-340					
-11.0	OAK @ HOU	Jose Abreu		135	154/-216	170/-210	155/-210					
-11.0	STL @ BAL	Adam Frazier		145	186/-281	215/-270	200/-275					
-11.1	OAK @ HOU	Chas Mccormick		120	183/-285	220/-280	200/-275					
-11.1	STL @ BAL	Adley Rutschman		150	164/-228	175/-220	165/-225					
-11.2	TB @ MIN	Yandy Diaz		195	226/-338	260/-340	245/-350					
-11.2	CLE @ SF	Will Brennan		200	197/-250	205/-250	190/-260					
-11.2	CLE @ SF	Luis Matos		185	245/-372	280/-370	270/-400					
-11.2	SD @ LAD	Fernando Tatis		130	137/-180	145/-175	130/-175					
-11.2	ARI @ NYM	Brett Baty		200	211/-300	225/-290	220/-310					
-11.2	NYY @ BOS	Austin Wells		165	170/-234	175/-220	170/-230					
-11.2	NYY @ BOS	Anthony Volpe		170	199/-291	225/-290	210/-300		{'0.5': '178/-254'}	{'0.5': '200/-295'}		
-11.4	WSH @ PIT	Liover Peguero		150	183/-265	205/-250	190/-265					
-11.4	WSH @ PIT	Jacob Young		200	243/-355	270/-360	260/-380					
-11.4	NYY @ BOS	Dj Lemahieu		170	216/-339	235/-310	240/-350		{'0.5': '202/-294'}			
-11.5	OAK @ HOU	Jose Altuve		150	184/-265	205/-250	190/-265					
-11.5	CLE @ SF	Blake Sabol		200	238/-350	265/-350	255/-370					
-11.6	CLE @ SF	Wilmer Flores		145	174/-254	190/-235	180/-250					
-11.6	STL @ BAL	Jordan Walker		155	194/-288	220/-280	205/-285					
-11.6	CHC @ COL	Hunter Goodman		140	156/-218	165/-200	155/-210					
-11.6	WSH @ PIT	Dominic Smith		180	184/-255	200/-245	185/-255					
-11.6	ARI @ NYM	Dj Stewart		125	164/-243	185/-230	170/-235					
-11.7	STL @ BAL	Tommy Edman		170	215/-321	235/-310	230/-330					
-11.7	TB @ MIN	Randy Arozarena		180	199/-284	215/-270	205/-285					
-11.7	STL @ BAL	Nolan Gorman		155	176/-253	195/-240	180/-250					
-11.7	TB @ MIN	Max Kepler		190	191/-259	205/-250	190/-260					
-11.7	WSH @ PIT	Joey Meneses		160	170/-237	180/-225	170/-230					
-11.8	CLE @ SF	Thairo Estrada		170	217/-342	240/-320	240/-350					
-11.8	NYY @ BOS	Reese Mcguire		130	226/-365	265/-350	255/-380					
-11.8	KC @ CHW	Elvis Andrus		165	239/-373	280/-370	265/-390					
-11.8	KC @ CHW	Edward Olivares		180	205/-300	230/-300	215/-300					
-11.8	LAA @ SEA	Dylan Moore		195	235/-345	260/-340	250/-370					
-11.8	TEX @ TOR	Davis Schneider		190	192/-259	205/-250	190/-265					
-11.9	CHC @ COL	Ryan Mcmahon		130	162/-236	175/-220	165/-225					
-11.9	CHC @ COL	Nolan Jones		150	182/-259	205/-250	185/-255					
