			UPD: 08:11 PM

EV (AVG)	EV (365)	Team	Player	IN	FD	AVG	bet365	DK	MGM	CZ	PB	BR	PN	BS
-22.9	-12.7	OAK	Jordan Diaz	*	750	639/-1280	650/-1050	650/-1400	575/-1600	625	650/-1199	600/-1115		599
-22.1	-14.2	SD	Xander Bogaerts		700	679/-1430	725/-1200	700/-1600	625/-1600	700	750/-1399	600/-1115		652
-21.7	-14.2	SD	Luis Campusano		630	688/-1411	725/-1200	700/-1600	-	700	800/-1499	575/-1115		700
-36.5	-14.4	CIN	Harrison Bader	*	560	652/-1350	575/-900	700/-1600	625/-1600	525	850/-1664	600/-1250	-	-
-13.5	-14.6	COL	Ryan Mcmahon	*	450	370/-781	475/-700	+0/-900	400/-750	410	475/-800	400/-625	435	426
-16.0	-15.3	HOU	Martin Maldonado		560	567/-1059	625/-1000	550/-1200	-	575	550/-1000	-		549
-18.5	-15.7	CHC	Cody Bellinger		350	412/-721	450/-650	425/-700	400/-800	375	450/-750	410/-625	413	400
-15.7	-15.8	STL	Jordan Walker	*	560	581/-1105	650/-1050	600/-1200	525/-1200	600	550/-1000	-		599
-25.4	-16.2	NYM	Brett Baty	*	830	676/-1312	675/-1100	650/-1400	600/-1600	625	700/-1250	-		599
-16.9	-16.4	SEA	Teoscar Hernandez		400	339/-524	360/-500	350/-550	320/-550	285	330/-500	310/-435	320	320
-17.7	-17.0	ATL	Matt Olson	*	265	253/-367	265/-350	255/-370	240/-375	195	260/-375	235/-315	255	250
-15.6	-17.1	CHW	Luis Robert		300	347/-568	390/-550	360/-575	340/-600	310	350/-550	350/-530		341
-18.5	-17.2	SEA	Cal Raleigh		470	406/-632	425/-600	400/-650	375/-650	340	-	-	383	381
-24.0	-17.5	TEX	Mitch Garver		440	366/-576	360/-500	370/-600	350/-650	280	375/-575	390/-590	327	320
-21.7	-17.9	CHW	Gavin Sheets		500	457/-772	475/-700	450/-800	425/-800	390	475/-800	450/-715		426
-21.5	-18.5	TOR	Vladimir Guerrero	*	400	417/-721	450/-650	450/-750	425/-800	360	425/-700	390/-590	398	400
-22.2	-18.5	KC	Salvador Perez	*	470	428/-722	450/-650	450/-750	400/-750	360	450/-750	420/-670	385	400
-22.9	-18.5	SEA	Dylan Moore		500	592/-1118	625/-1000	600/-1200	525/-1200	550	600/-1099	700/-1430	-	-
-22.1	-19.2	ATL	Ozzie Albies	*	440	400/-660	425/-600	400/-700	375/-650	330	425/-700	375/-590	381	381
-20.4	-19.2	CHC	Dansby Swanson		350	387/-647	425/-600	400/0	375/-650	330	425/-700	360/-530	381	381
-30.7	-20.2	TOR	George Springer	*	520	524/-1006	525/-800	550/-1100	500/-1100	430	600/-1099	525/-910		449
-24.5	-20.2	TEX	Corey Seager		400	400/-683	425/-600	425/-700	400/-750	325	425/-700	390/-590	372	361
-27.4	-20.8	SEA	Eugenio Suarez		600	485/-878	500/-750	475/-900	475/-1000	400	500/-899	480/-835	405	449
-22.3	-20.9	KC	Mj Melendez	*	430	343/-530	360/-500	330/-525	310/-550	265	350/-550	340/-500	302	320
