EV%	Player	Prop	FD	Bet365	DK	MGM	Kambi	CZ
0.0	Aaron Rodgers	int	5000.0	+5000	+5000	+5000	-	-
-2.0	Justin Herbert	pass_td	750.0	+500	+1100	+700	+800	+1000
-2.9	Bryce Young	int	2000.0	+1400	+3000	+2000	+2500	-
-3.6	Jared Goff	pass_td	2500.0	+2800	+3500	+2500	+2000	-
-4.4	Patrick Mahomes	pass_yd	312.5	+350	+275	+300	+350	+400
-6.2	Kenny Pickett	pass_td	7500.0	+8000	+8000	+8000	-	-
-7.6	Derek Carr	pass_td	5000.0	+5000	+6500	+5000	-	-
-10.2	Baker Mayfield	pass_td	7500.0	+12500	+6500	+8000	-	-
-10.3	Geno Smith	pass_td	2500.0	+2200	+3500	+3000	-	-
-10.3	Bryce Young	pass_td	7500.0	+10000	+7500	+8000	-	-
-11.9	Jimmy Garoppolo	pass_td	5000.0	+6600	+5000	-	-	-
-13.2	Lamar Jackson	pass_td	2500.0	+3300	+3000	+2500	-	-
-15.4	Mac Jones	pass_td	6250.0	+10000	+6500	+6600	-	-
-16.1	Justin Fields	int	1250.0	+1000	+3000	+1400	+1600	-
-18.3	Mac Jones	pass_yd	6250.0	+8000	+8000	+6600	+8000	+8000
-39.9	Baker Mayfield	int	1250.0	+1000	+4000	+4000	+2500	-
