			UPD: 08 AM

EV (AVG)	EV (365)	Team	Player	FD	AVG	bet365	DK	MGM	CZ	PB	BR	PN	BS	Kambi
7.2	8.0	ARI	Ketel Marte	540	481/-850	525/-800	475/-900	450/-900	500	475/-800	510/-910	-	-	540/-910
7.1	0	KC	Drew Waters	1060	716/-1766		700/-1800	650/-2000	600	800/-1499	650/-1430	-	-	650/-1430
6.7	8.7	LAD	Max Muncy	340	345/-537	360/-500	350/-550	320/-550	330	350/-550	330/-480	-	-	330/-480
6.0	0	DET	Javier Baez	600	487/-1000		500/-1000	475/-1000	420	-	510/-910	-	-	510/-910
5.9	13.4	KC	Samad Taylor	870	687/-1412	725/-1200	700/-1600	625/-1600	575	700/-1250	850/-2000	-	-	850/-2000
5.8	6.2	TEX	Josh Jung	360	366/-575	390/-550	360/-575	340/-600	360	375/-575	420/-670	-	-	420/-670
5.5	9.8	NYY	Kyle Higashioka	520	466/-850	500/-750	475/-900	425/-900	470	-	475/-770	-	-	
5.0	7.2	PHI	Trea Turner	500	468/-812	500/-750	475/-900	425/-800	460	475/-800	510/-835	-	-	510/-835
5.0	0	DET	Eric Haase	560	483/-933		500/-900	450/-1000	410	500/-899	600/-1115	-	-	600/-1115
5.0	6.5	NYM	Brandon Nimmo	560	506/-912	550/-850	500/-900	475/-1000	420	500/-899	510/-910	-	-	510/-910
4.8	4.8	CHW	Jake Burger	450	475/-700	475/-700						-	-	460/-715
4.6	6.9	PHI	Brandon Marsh	630	550/-1037	600/-950	550/-1100	500/-1100	575	550/-1000	-	-	-	
4.4	4.8	TB	Brandon Lowe	450	437/-737	475/-700	425/-750	400/-750	430	450/-750	410/-670	-	-	410/-670
4.0	0	WSH	Dominic Smith	800	641/-1350		650/-1400	575/-1400	525	700/-1250	-	-	-	
3.2	6.9	ATL	Michael Harris	630	556/-1062	600/-950	550/-1100	525/-1200	650	550/-1000	-	-	-	
3.0	3.0	CHW	Andrew Vaughn	500	525/-800	525/-800						-	-	475/-770
2.8	2.8	SD	Manny Machado	340	360/-575	390/-550	350/-550	350/-650	310	350/-550	400/-625	-	-	400/-625
2.5	6.5	SF	Brett Wisely	560	506/-962	550/-850	500/-1000	475/-1100	600	500/-899	-	-	-	
2.4	0	KC	Freddy Fermin	600	533/-1033		550/-1000	500/-1100	450	550/-1000	600/-1115	-	-	600/-1115
2.1	5.3	MIL	Willy Adames	390	406/-662	425/-600	400/-650	375/-700	390	425/-700	370/-560	-	-	370/-560
2.0	5.5	SF	Brandon Crawford	520	483/-900	525/-800	475/-900	450/-1000	550	-	480/-770	-	-	500/-835
1.6	5.5	TB	Yandy Diaz	520	493/-899	525/-800	500/-900	450/-1000	525	500/-899	575/-1000	-	-	575/-1000
1.4	6.5	CIN	Will Benson	560	531/-962	550/-850	550/-1000	475/-1000	650	550/-1000	575/-1000	-	-	
1.4	0	CHC	Ian Happ	560	491/-999		500/-1000	475/-1100	440	500/-899	-	-	-	
1.2	6.2	LAA	Mickey Moniak	360	383/-625	390/-550	380/-600	340/-650	370	425/-700	320/-480	-	-	320/-480
1.0	2.1	BAL	Gunnar Henderson	400	425/-687	450/-650	425/-700	400/-700	420	425/-700	425/-670	-	-	425/-670
1.0	0	WSH	Cj Abrams	750	625/-1333		650/-1400	575/-1400	525	650/-1199	-	-	-	
0.8	0.8	CHW	Zach Remillard	1100	1025/-1800	1025/-1800						-	-	
0.8	8.0	NYY	Anthony Rizzo	540	506/-950	525/-800	500/-1000	450/-1000	500	550/-1000	540/-910	-	-	540/-910
0.5	7.6	LAA	Mike Moustakas	470	468/-824	475/-700	475/-900	425/-800	470	500/-899	500/-835	-	-	500/-835
0.3	0	WSH	Jeimer Candelario	560	516/-999		550/-1000	500/-1100	460	500/-899	-	-	-	
