NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Thatcher Demko	VAN	-230	H	sv	23.5	27.52	73% - 72%	92% - 56%	72%	60%	60%	21,36,25,25,17,23,38,24,25,18	78%	-120	-110
Alexandar Georgiev	COL	-230	A	sv	25.5	28.35	72% - 62%	77% - 61%	68%	53%	60%	28,26,25,27,17,40,27,33,17,15	44%	-105	-125
Jake Oettinger	DAL	-275	H	sv	25.5	26.78	74% - 50%	73% - 56%	64%	53%	40%	27,16,17,40,22,33,26,26,28,25	55%	-120	-110
Jaroslav Halak	NYR	-165	A	sv	25.5	25.09	70% - 54%	62% - 57%	61%	60%	80%	31,31,22,32,29,4,19,29,27,28	47%	-125	-105
Sam Montembeault	MTL	-155	H	sv	29.5	30.61	73% - 48%	70% - 44%	58%	53%	60%	47,25,21,31,36,21,39,16,30,30	51%	-120	-110
Philipp Grubauer	SEA	-330	H	sv	20.5	21.6	44% - 68%	56% - 58%	57%	47%	20%	20,9,14,7,31,21,26,20,21,21	55%	-125	-105
Vitek Vanecek	NJ	-410	H	sv	23.5	23.24	75% - 22%	61% - 52%	56%	40%	40%	22,17,24,31,17,27,22,26,32,21	48%	'+100	-130
Carter Hart	PHI	'+230	A	sv	27.5	27.71	76% - 39%	61% - 48%	54%	33%	60%	29,20,41,36,27,34,25,22,26,23	55%	-115	-115
Darcy Kuemper	WSH	'+135	A	sv	25.5	26.83	62% - 47%	55% - 50%	53%	60%	100%	29,29,28,36,27,17,31,18,38,37	52%	-115	-115
Tristan Jarry	PIT	-130	H	sv	27.5	27.6	57% - 50%	58% - 50%	53%	33%	80%	32,31,28,28,19,13,31,3,27,24	33%	-105	-125
Brian Elliott	TB	'+135	A	sv	27.5	27.0	45% - 62%	64% - 38%	53%	47%	60%	28,18,22,29,29,26,18,37,28,25	28%	-115	-115
Alex Stalock	CHI	'+195	A	sv	28.5	27.29	56% - 47%	56% - 47%	50%	40%	20%	34,26,22,27,17,35,23,37,35,29	0%	-120	-110
Ilya Samsonov	TOR	'+130	A	sv	26.5	25.44	52% - 43%	60% - 42%	49%	53%	40%	14,31,26,22,32,28,30,27,26,24	39%	-125	-105
Ville Husso	DET	-115	H	sv	26.5	25.55	67% - 31%	55% - 45%	49%	33%	20%	24,20,16,14,30,17,34,32,21,15	58%	-140	'+110
Ilya Sorokin	NYI	-155	H	sv	26.5	27.67	41% - 52%	57% - 37%	47%	40%	40%	33,17,25,30,22,25,29,20,32,33	62%	-110	-120
Frederik Andersen	CAR	-205	A	sv	22.5	22.19	52% - 30%	46% - 44%	45%	33%	40%	21,19,35,14,29,29,21,20,13,14	62%	-105	-125
Karel Vejmelka	ARI	'+275	A	sv	30.5	30.29	56% - 33%	36% - 48%	42%	40%	0%	26,24,27,23,30,40,36,23,45,9	47%	-115	-115
Jordan Binnington	STL	'+140	H	sv	28.5	26.76	50% - 28%	42% - 35%	38%	47%	60%	32,28,30,32,12,22,19,26,32,21	40%	-110	-120
Joonas Korpisalo	LA	'+100	A	sv	26.5	25.88	20% - 67%	75% - 0%	38%	38%	40%	24,35,30,25,15,26,28,24	0%	-120	-110
Jeremy Swayman	BOS	-150	H	sv	27.5	23.52	43% - 20%	44% - 27%	36%	40%	60%	21,34,29,26,36,21,19,26,22,36	18%	-115	-115
Kaapo Kahkonen	SJ	'+195	H	sv	30.5	27.23	33% - 35%	33% - 35%	34%	33%	40%	38,29,25,29,42,26,19,22,29,32	29%	-105	-125
Juuse Saros	NSH	'+175	H	sv	32.5	29.92	40% - 20%	36% - 25%	30%	27%	40%	21,21,43,35,32,27,28,26,31,19	27%	-115	-115
Marc-Andre Fleury	MIN	'+110	A	sv	31.5	27.2	20% - 37%	33% - 20%	27%	40%	60%	39,35,30,33,31,35,46,21,22,30	16%	-110	-120
