NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Fredrik Olofsson	DAL	'+120	A	g	0.5	0.04	0.06 - 0.0	0.0 - 0.09	4%	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+550	0
Ryan Suter	DAL	'+120	A	g	0.5	0.03	0.02 - 0.03	0.03 - 0.03	3%	13%	20%	0,0,1,0,0,0,0,0,0,0	9%	'+900	0
Kurtis Macdermid	COL	-140	H	g	0.5	0.03	0.02 - 0.0	0.0 - 0.05	3%	7%	20%	0,1,0,0,0,0,0,0,0,0	4%	'+2000	0
Nick Leddy	STL	'+125	A	g	0.5	0.03	0.03 - 0.03	0.0 - 0.06	3%	0%	0%	0,0,0,0,0,0,0,0,0,0	4%	'+1300	0
Radko Gudas	FLA	-225	A	g	0.5	0.03	0.02 - 0.03	0.03 - 0.03	3%	0%	0%	0,0,0,0,0,0,0,0,0,0	4%	'+1200	0
Ben Meyers	COL	-140	H	g	0.5	0.03	0.07 - 0.0	0.08 - 0.0	3%	0%	0%	0,0,0,0,0,0,0,0,0,0	20%	'+450	0
Chad Ruhwedel	PIT	'+115	H	g	0.5	0.02	0.04 - 0.0	0.0 - 0.05	2%	7%	20%	0,0,1,0,0,0,0,0,0,0	5%	'+1200	0
Tim Berni	CBJ	'+190	H	g	0.5	0.02	0.0 - 0.02	0.03 - 0.0	2%	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1100	0
Dante Fabbro	NSH	-145	H	g	0.5	0.01	0.0 - 0.02	0.0 - 0.03	1%	0%	0%	0,0,0,0,0,0,0,0,0,0	5%	'+1500	0
Marcus Pettersson	PIT	'+115	H	g	0.5	0.01	0.03 - 0.0	0.03 - 0.0	1%	7%	0%	0,0,0,0,0,0,0,0,0,0	3%	'+1200	0
Brian Dumoulin	PIT	'+115	H	g	0.5	0.01	0.02 - 0.0	0.0 - 0.03	1%	0%	0%	0,0,0,0,0,0,0,0,0,0	4%	'+1200	0
Erik Gudbranson	CBJ	'+190	H	g	0.5	0.01	0.04 - 0.0	0.03 - 0.0	1%	0%	0%	0,0,0,0,0,0,0,0,0,0	7%	'+1100	0
Michael Mccarron	NSH	-145	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0%	0,0,0,0,0,0,0,0,0,0	10%	'+320	0
Rasmus Asplund	NSH	-145	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+400	0
Matthew Highmore	STL	'+125	A	g	0.5	0.0	0 - 0.0	0.0 - 0	0%	0%	0%	0,0	0%	'+600	0
Kevin Gravel	NSH	-145	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+900	0
Cal Foote	NSH	-145	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0%	0,0,0,0,0,0,0,0,0,0	3%	'+1500	0
Drake Caggiula	PIT	'+115	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0	0%	0%	0%	0,0,0,0	0%	'+600	0
Chris Wagner	BOS	-135	A	g	0.5	0.0	0.0 - 0	0.0 - 0	0%	0%	0%	0	0%	'+650	0
Trey Fix-Wolansky	CBJ	'+190	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0%	0,0,0,0,0,0,0	17%	'+370	0
Brendan Gaunce	CBJ	'+190	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0%	0,0,0,0,0	17%	'+450	0
Jacob Christiansen	CBJ	'+190	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0%	0,0,0,0,0,0,0,0,0,0	12%	'+900	0
Darren Helm	COL	-140	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0%	0,0,0,0,0,0,0,0,0,0	11%	'+450	0
Erik Johnson	COL	-140	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0%	0,0,0,0,0,0,0,0,0,0	9%	'+750	0
Joel Hanley	DAL	'+120	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0%	0,0,0,0,0,0,0,0,0,0	4%	'+1600	0
