NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Aleksi Heponiemi	FLA	-225	A	g	0.5	0.1	0.19 - 0.0	0.12 - 0.0	10%	10%	20%	0,0,0,0,1,0,0,0,0,0	0%	'+400	0
Nick Cousins	FLA	-225	A	g	0.5	0.1	0.05 - 0.12	0.08 - 0.11	10%	7%	20%	0,0,0,0,1,0,0,0,0,0	12%	'+450	0
Adam Boqvist	CBJ	'+190	H	g	0.5	0.12	0.21 - 0.07	0.12 - 0.12	10%	13%	20%	0,0,0,2,0,0,0,0,0,0	19%	'+550	0
Charlie Mcavoy	BOS	-135	A	g	0.5	0.1	0.11 - 0.06	0.13 - 0.06	10%	7%	0%	0,0,0,0,0,0,1,0,0,0	9%	'+600	0
Tomas Nosek	BOS	-135	A	g	0.5	0.1	0.13 - 0.0	0.07 - 0.12	10%	13%	0%	0,0,0,0,0,0,0,0,1,0	4%	'+425	0
Nils Lundkvist	DAL	'+120	A	g	0.5	0.1	0.16 - 0.04	0.03 - 0.16	10%	7%	0%	0,0,0,0,0,0,0,1,0,0	4%	'+900	0
Samuel Girard	COL	-140	H	g	0.5	0.09	0.08 - 0.11	0.15 - 0.03	9%	7%	20%	0,1,0,0,0,0,0,0,0,0	6%	'+750	0
Zach Sanford	NSH	-145	H	g	0.5	0.09	0.18 - 0.0	0.0 - 0.2	9%	9%	0%	0,0,0,0,0,0,0,0,1,0	8%	'+360	0
Tyler Pitlick	STL	'+125	A	g	0.5	0.09	0.06 - 0.08	0.11 - 0.07	9%	13%	0%	0,0,0,0,0,0,1,0,0,1	3%	'+700	0
Danton Heinen	PIT	'+115	H	g	0.5	0.1	0.12 - 0.04	0.1 - 0.11	9%	7%	0%	0,0,0,0,0,0,0,0,0,0	26%	'+600	0
Derek Forbort	BOS	-135	A	g	0.5	0.09	0.11 - 0.0	0.1 - 0.08	9%	7%	0%	0,0,0,0,0,0,0,0,0,0	5%	'+900	0
Evgenii Dadonov	DAL	'+120	A	g	0.5	0.11	0.11 - 0.09	0.1 - 0.11	9%	13%	0%	0,0,0,0,0,0,0,0,1,0	25%	'+300	0
