NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Alexander Romanov	NYI	'+150	A	g	0.5	0.03	0.03 - 0.02	0.05 - 0.0	3%	0,0,0,0,0,0,0,0,0,0	4%	'+1400	0
Alexei Toropchenko	STL	'+185	H	g	0.5	0.13	0.15 - 0.08	0.09 - 0.16	13%	0,1,1,0,0,1,0,0,0,0	5%	'+330	0
Alexis Lafreniere	NYR	-135	A	g	0.5	0.2	0.25 - 0.13	0.22 - 0.18	19%	0,0,0,1,0,0,0,0,0,0	21%	'+300	0
Aliaksei Protas	WSH	'+115	H	g	0.5	0.06	0.12 - 0.0	0.08 - 0.04	6%	0,0,0,0,0,0,0,0,0,0	11%	'+600	0
Anders Lee	NYI	'+150	A	sog	1.5	2.58	2.8 - 2.22	2.72 - 2.45	70%	2,2,1,1,2,5,3,1,2,0	60%	-180	'+145
Anders Lee	NYI	'+150	A	pts	0.5	0.64	0.89 - 0.36	0.54 - 0.74	48%	0,0,1,0,0,2,0,0,0,0	44%	'+130	-160
Anders Lee	NYI	'+150	A	ast	0.5	0.29	0.39 - 0.17	0.18 - 0.39	25%	0,0,1,0,0,1,0,0,0,0	19%	'+285	-375
Anders Lee	NYI	'+150	A	g	0.5	0.35	0.49 - 0.19	0.36 - 0.34	27%	0,0,0,0,0,1,0,0,0,0	31%	'+235	0
Andrei Kuzmenko	VAN	'+100	H	pts	0.5	0.92	1.34 - 0.5	0.84 - 1.0	57%	1,2,2,1,2,0,0,0,1,1	0%	-135	'+105
Andrei Kuzmenko	VAN	'+100	H	ast	0.5	0.42	0.66 - 0.21	0.43 - 0.41	35%	1,0,2,1,1,0,0,0,0,0	0%	'+185	-230
Andrei Kuzmenko	VAN	'+100	H	g	0.5	0.5	0.68 - 0.28	0.41 - 0.59	39%	0,2,0,0,1,0,0,0,1,1	0%	'+160	0
Andrew Copp	DET	'+230	A	pts	0.5	0.56	0.82 - 0.35	0.54 - 0.58	44%	0,1,2,0,0,0,1,0,1,1	48%	'+115	-145
Andrew Copp	DET	'+230	A	ast	0.5	0.44	0.62 - 0.31	0.46 - 0.42	36%	0,1,1,0,0,0,1,0,1,0	31%	'+180	-220
Andrew Copp	DET	'+230	A	g	0.5	0.12	0.2 - 0.05	0.08 - 0.16	12%	0,0,1,0,0,0,0,0,0,1	24%	'+390	0
Andrew Mangiapane	CGY	-520	H	sog	2.5	2.25	2.15 - 2.11	2.23 - 2.27	41%	2,4,0,5,3,1,2,1,4,3	37%	-115	-115
Andrew Mangiapane	CGY	-520	H	pts	0.5	0.47	0.62 - 0.32	0.44 - 0.51	37%	1,1,0,0,1,0,1,1,0,0	47%	-130	'+100
Andrew Mangiapane	CGY	-520	H	ast	0.5	0.29	0.34 - 0.23	0.31 - 0.27	26%	1,0,0,0,0,0,1,1,0,0	19%	'+155	-190
Andrew Mangiapane	CGY	-520	H	g	0.5	0.18	0.28 - 0.09	0.13 - 0.24	17%	0,1,0,0,1,0,0,0,0,0	36%	'+190	0
Andrew Peeke	CBJ	'+155	H	g	0.5	0.07	0.04 - 0.08	0.05 - 0.08	7%	0,0,0,0,0,0,0,0,0,0	3%	'+650	0
Andy Andreoff	NYI	'+150	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0	0%	'+600	0
Anthony Beauvillier	VAN	'+100	H	pts	0.5	0.69	0.75 - 0.61	0.77 - 0.62	50%	1,0,0,0,1,0,0,0,2,1	0%	'+120	-150
Anthony Beauvillier	VAN	'+100	H	ast	0.5	0.38	0.35 - 0.42	0.46 - 0.31	35%	0,0,0,0,1,0,0,0,2,0	0%	'+255	-325
Anthony Beauvillier	VAN	'+100	H	g	0.5	0.31	0.4 - 0.19	0.31 - 0.31	23%	1,0,0,0,0,0,0,0,0,1	0%	'+255	0
Anthony Mantha	WSH	'+115	H	g	0.5	0.17	0.27 - 0.08	0.11 - 0.23	17%	0,0,0,1,0,0,0,1,0,0	16%	'+380	0
Anze Kopitar	LA	-120	A	sog	2.5	2.03	1.98 - 2.04	2.03 - 2.03	36%	1,3,3,1,0,1,3,1,1,2	52%	'+140	-175
Anze Kopitar	LA	-120	A	pts	0.5	0.87	1.08 - 0.56	0.95 - 0.79	53%	0,0,0,0,1,2,0,1,1,0	51%	-165	'+135
Anze Kopitar	LA	-120	A	ast	0.5	0.53	0.67 - 0.31	0.47 - 0.58	34%	0,0,0,0,1,2,0,0,1,0	42%	'+130	-160
