NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Connor Hellebuyck	WPG	-115	H	sv	28.5	28.2	29.32 - 27.94	29.1 - 27.33	46%	23,27,25,18,29,14,18,21,33,44	57%	-130	'+100
Conor Garland	VAN	'+100	H	sog	1.5	2.09	1.91 - 2.19	2.38 - 1.81	64%	1,5,2,2,2,2,2,2,3,0	69%	-180	'+145
Conor Garland	VAN	'+100	H	pts	0.5	0.54	0.57 - 0.51	0.62 - 0.46	45%	1,0,0,0,2,0,0,0,1,2	55%	'+115	-145
Conor Garland	VAN	'+100	H	ast	0.5	0.36	0.47 - 0.26	0.41 - 0.32	31%	0,0,0,0,1,0,0,0,1,2	35%	'+225	-285
Conor Garland	VAN	'+100	H	g	0.5	0.18	0.1 - 0.25	0.22 - 0.14	18%	1,0,0,0,1,0,0,0,0,0	25%	'+285	0
Conor Sheary	WSH	'+115	H	g	0.5	0.2	0.18 - 0.22	0.18 - 0.22	20%	0,1,0,1,1,0,0,0,0,0	22%	'+340	0
Craig Smith	WSH	'+115	H	g	0.5	0.19	0.28 - 0.1	0.33 - 0.0	12%	1,0,0,0,0,0,0,0,0,0	0%	'+340	0
Curtis Lazar	NJ	-105	A	g	0.5	0.0	0 - 0.0	0.0 - 0.0	0%	0,0,0	0%	'+600	0
Dakota Joshua	VAN	'+100	H	g	0.5	0.15	0.26 - 0.06	0.14 - 0.17	14%	0,0,0,1,1,0,0,0,0,0	7%	'+310	0
Damon Severson	NJ	-105	A	g	0.5	0.08	0.07 - 0.09	0.08 - 0.08	8%	0,0,0,0,0,0,0,0,0,1	13%	'+800	0
Danton Heinen	PIT	-215	H	g	0.5	0.1	0.12 - 0.04	0.1 - 0.11	8%	0,0,0,0,0,0,0,0,0,0	26%	'+450	0
David Gustafsson	WPG	-115	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	0%	'+425	0
David Kampf	TOR	-275	H	g	0.5	0.09	0.11 - 0.07	0.08 - 0.11	9%	0,0,0,0,0,0,0,0,0,0	13%	'+425	0
David Krejci	BOS	-215	A	pts	0.5	0.8	0.93 - 0.45	0.88 - 0.73	57%	1,0,0,0,0,1,1,1,0,1	0%	-130	'+100
David Krejci	BOS	-215	A	ast	0.5	0.57	0.64 - 0.39	0.67 - 0.49	46%	1,0,0,0,0,0,0,0,0,1	0%	'+140	-175
David Krejci	BOS	-215	A	g	0.5	0.23	0.29 - 0.05	0.21 - 0.24	20%	0,0,0,0,0,1,1,1,0,0	0%	'+310	0
David Pastrnak	BOS	-215	A	sog	4.5	4.88	4.8 - 4.48	4.76 - 5.0	61%	8,5,8,7,5,5,7,5,6,5	46%	-120	-110
David Pastrnak	BOS	-215	A	pts	1.5	1.33	1.44 - 0.92	1.37 - 1.29	39%	3,1,1,2,0,2,0,1,2,1	31%	'+135	-165
David Pastrnak	BOS	-215	A	ast	0.5	0.59	0.64 - 0.44	0.61 - 0.58	49%	0,0,0,0,0,1,0,0,1,1	43%	'+100	-130
David Pastrnak	BOS	-215	A	g	0.5	0.74	0.8 - 0.48	0.76 - 0.71	58%	3,1,1,2,0,1,0,1,1,0	37%	-120	0
David Perron	DET	'+230	A	sog	2.5	2.36	2.54 - 1.99	2.32 - 2.39	36%	3,2,4,1,0,2,0,1,1,1	49%	'+120	-150
David Perron	DET	'+230	A	pts	0.5	0.67	0.87 - 0.46	0.73 - 0.61	48%	1,2,3,0,1,1,1,0,0,0	57%	-115	-115
David Perron	DET	'+230	A	g	0.5	0.27	0.26 - 0.26	0.32 - 0.21	23%	1,0,3,0,0,0,0,0,0,0	32%	'+230	0
Dawson Mercer	NJ	-105	A	sog	1.5	2.0	1.79 - 2.15	2.32 - 1.68	49%	4,3,2,1,1,1,1,3,2,2	56%	-165	'+135
Dawson Mercer	NJ	-105	A	pts	0.5	0.68	0.79 - 0.38	0.84 - 0.53	49%	1,0,0,1,0,0,0,0,1,0	39%	-125	-105
Dawson Mercer	NJ	-105	A	ast	0.5	0.37	0.43 - 0.19	0.5 - 0.24	30%	0,0,0,0,0,0,0,0,1,0	25%	'+180	-220
Dawson Mercer	NJ	-105	A	g	0.5	0.32	0.36 - 0.19	0.34 - 0.29	28%	1,0,0,1,0,0,0,0,0,0	21%	'+240	0
Derek Forbort	BOS	-215	A	g	0.5	0.09	0.11 - 0.0	0.1 - 0.08	9%	0,0,0,0,0,0,0,0,0,0	5%	'+800	0
Derek Grant	ANA	'+410	A	g	0.5	0.12	0.17 - 0.1	0.14 - 0.11	12%	0,0,1,0,0,0,0,0,0,0	17%	'+700	0
Derek Stepan	CAR	-175	H	g	0.5	0.07	0.11 - 0.0	0.09 - 0.06	6%	0,0,0,0,0,0,0,0,0,0	14%	'+600	0
Derick Brassard	OTT	-180	A	g	0.5	0.21	0.35 - 0.06	0.23 - 0.19	19%	0,1,0,1,0,0,0,0,0,0	15%	'+350	0
Dillon Dube	CGY	-520	H	g	0.5	0.24	0.33 - 0.16	0.28 - 0.19	21%	0,0,0,0,0,0,0,1,0,0	17%	'+190	0
Dmitry Orlov	BOS	-215	A	pts	0.5	0.54	0.84 - 0.14	0.7 - 0.39	38%	1,0,0,1,0,0,0,0,1,1	32%	'+130	-160
Dmitry Orlov	BOS	-215	A	ast	0.5	0.44	0.67 - 0.14	0.57 - 0.32	34%	1,0,0,1,0,0,0,0,1,1	22%	'+180	-220
Dmitry Orlov	BOS	-215	A	g	0.5	0.1	0.17 - 0.0	0.13 - 0.06	8%	0,0,0,0,0,0,0,0,0,0	15%	'+500	0
Dominik Kubalik	DET	'+230	A	sog	1.5	2.24	2.16 - 1.98	2.22 - 2.27	59%	1,3,3,4,0,2,3,4,3,3	61%	-190	'+155
Dominik Kubalik	DET	'+230	A	pts	0.5	0.58	0.77 - 0.35	0.51 - 0.65	45%	0,1,1,0,1,1,0,0,0,0	36%	'+150	-185
Dominik Kubalik	DET	'+230	A	ast	0.5	0.31	0.33 - 0.22	0.16 - 0.46	28%	0,0,0,0,1,1,0,0,0,0	19%	'+300	-400
Dominik Kubalik	DET	'+230	A	g	0.5	0.27	0.44 - 0.13	0.35 - 0.19	24%	0,1,1,0,0,0,0,0,0,0	19%	'+270	0
Dougie Hamilton	NJ	-105	A	sog	3.5	3.43	3.41 - 3.11	3.24 - 3.63	46%	4,5,5,1,2,9,2,5,5,2	39%	'+110	-140
Dougie Hamilton	NJ	-105	A	pts	0.5	0.93	1.08 - 0.63	0.84 - 1.03	63%	2,1,0,1,1,0,2,0,1,0	41%	-130	'+100
Dougie Hamilton	NJ	-105	A	ast	0.5	0.67	0.69 - 0.57	0.66 - 0.68	51%	1,1,0,0,1,0,2,0,1,0	30%	'+125	-155
Dougie Hamilton	NJ	-105	A	g	0.5	0.26	0.39 - 0.06	0.18 - 0.34	24%	1,0,0,1,0,0,0,0,0,0	15%	'+285	0
Drake Batherson	OTT	-180	A	sog	2.5	3.05	3.04 - 2.89	2.78 - 3.31	59%	4,3,2,3,4,9,2,4,3,2	41%	-150	'+120
Drake Batherson	OTT	-180	A	pts	0.5	0.76	1.03 - 0.48	0.62 - 0.9	61%	0,0,1,1,1,0,1,0,1,1	59%	-160	'+130
Drake Batherson	OTT	-180	A	ast	0.5	0.49	0.64 - 0.34	0.43 - 0.54	42%	0,0,1,1,1,0,0,0,0,1	48%	'+120	-150
Drake Batherson	OTT	-180	A	g	0.5	0.28	0.39 - 0.14	0.19 - 0.36	25%	0,0,0,0,0,0,1,0,1,0	27%	'+155	0
Drake Caggiula	PIT	-215	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0	0%	0,0,0,0	0%	'+450	0
Drew Doughty	LA	-120	A	pts	0.5	0.64	0.76 - 0.49	0.54 - 0.74	48%	0,0,0,1,2,2,0,1,1,0	56%	-155	'+125
Drew Doughty	LA	-120	A	ast	0.5	0.53	0.56 - 0.49	0.51 - 0.55	40%	0,0,0,0,1,1,0,0,0,0	50%	-120	-110
Drew Doughty	LA	-120	A	g	0.5	0.11	0.2 - 0.0	0.03 - 0.18	11%	0,0,0,1,1,1,0,1,1,0	14%	'+450	0
Dylan Coghlan	CAR	-175	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	6%	'+750	0
Dylan Demelo	WPG	-115	H	g	0.5	0.08	0.11 - 0.03	0.03 - 0.14	8%	1,0,0,0,0,0,0,0,1,0	1%	'+1000	0
Dylan Gambrell	OTT	-180	A	g	0.5	0.04	0.0 - 0.08	0.07 - 0.0	4%	0,0,0,0,0,1,0,0,0,0	5%	'+500	0
Dylan Larkin	DET	'+230	A	sog	2.5	3.08	3.37 - 2.58	2.86 - 3.29	59%	1,6,4,2,2,2,1,3,5,3	55%	-155	'+125
Dylan Larkin	DET	'+230	A	pts	0.5	0.99	1.48 - 0.55	0.86 - 1.11	69%	1,1,3,0,1,1,1,1,0,3	63%	-160	'+130
Dylan Larkin	DET	'+230	A	ast	0.5	0.61	0.93 - 0.33	0.5 - 0.71	49%	1,0,2,0,1,1,0,1,0,2	37%	'+120	-150
Dylan Larkin	DET	'+230	A	g	0.5	0.38	0.56 - 0.22	0.36 - 0.39	34%	0,1,1,0,0,0,1,0,0,1	36%	'+210	0
Dylan Samberg	WPG	-115	H	g	0.5	0.04	0.05 - 0.0	0.04 - 0.03	4%	0,0,0,0,0,0,0,0,0,0	0%	'+1200	0
Dylan Strome	WSH	'+115	H	sog	1.5	1.89	1.72 - 1.92	1.82 - 1.97	51%	2,1,6,3,3,2,2,2,1,1	42%	-165	'+135
Dylan Strome	WSH	'+115	H	pts	0.5	0.76	0.97 - 0.58	0.87 - 0.64	52%	0,0,2,2,1,2,0,2,1,2	52%	-130	'+100
Dylan Strome	WSH	'+115	H	ast	0.5	0.52	0.69 - 0.36	0.62 - 0.42	41%	0,0,1,2,1,1,0,2,1,1	38%	'+135	-165
Dylan Strome	WSH	'+115	H	g	0.5	0.24	0.27 - 0.21	0.26 - 0.22	21%	0,0,1,0,0,1,0,0,0,1	25%	'+310	0
Egor Zamula	PHI	'+185	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1100	0
Elias Lindholm	CGY	-520	H	sog	2.5	2.2	2.34 - 1.96	2.16 - 2.25	38%	4,2,1,0,3,1,3,1,6,4	44%	-115	-115
Elias Lindholm	CGY	-520	H	pts	0.5	0.85	1.2 - 0.53	0.87 - 0.83	57%	0,1,1,0,1,1,2,2,0,2	72%	-220	'+180
Elias Lindholm	CGY	-520	H	ast	0.5	0.57	0.77 - 0.38	0.63 - 0.5	41%	0,1,1,0,0,1,1,2,0,1	40%	-115	-115
Elias Lindholm	CGY	-520	H	g	0.5	0.28	0.43 - 0.14	0.24 - 0.33	27%	0,0,0,0,1,0,1,0,0,1	43%	'+125	0
Elias Pettersson	VAN	'+100	H	sog	3.5	3.29	3.42 - 3.1	3.58 - 2.97	36%	5,2,7,2,2,1,4,3,5,1	32%	'+115	-145
Elias Pettersson	VAN	'+100	H	pts	1.5	1.32	1.9 - 0.79	1.32 - 1.31	38%	1,2,2,1,1,1,2,1,2,1	25%	'+165	-205
Elias Pettersson	VAN	'+100	H	ast	0.5	0.82	1.15 - 0.52	0.79 - 0.86	58%	0,2,0,1,1,1,1,0,1,1	37%	-130	'+100
Elias Pettersson	VAN	'+100	H	g	0.5	0.49	0.75 - 0.27	0.53 - 0.46	41%	1,0,2,0,0,0,1,1,1,0	33%	'+115	0
Emil Bemstrom	CBJ	'+155	H	g	0.5	0.12	0.1 - 0.1	0.16 - 0.09	12%	0,0,0,0,0,1,0,0,0,0	15%	'+320	0
Eric Robinson	CBJ	'+155	H	g	0.5	0.15	0.37 - 0.02	0.18 - 0.12	12%	0,0,0,0,1,1,0,0,0,0	13%	'+425	0
Erik Brannstrom	OTT	-180	A	g	0.5	0.03	0.03 - 0.03	0.0 - 0.06	3%	0,0,0,0,1,0,0,0,0,0	0%	'+450	0
Erik Gudbranson	CBJ	'+155	H	g	0.5	0.01	0.04 - 0.0	0.03 - 0.0	1%	0,0,0,0,0,0,0,0,0,0	7%	'+1000	0
Erik Gustafsson	TOR	-275	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0	0%	'+380	0
Erik Haula	NJ	-105	A	pts	0.5	0.46	0.48 - 0.39	0.5 - 0.42	37%	2,1,1,0,0,0,0,0,0,0	41%	'+125	-155
Erik Haula	NJ	-105	A	ast	0.5	0.32	0.37 - 0.19	0.32 - 0.32	28%	1,0,0,0,0,0,0,0,0,0	23%	'+235	-300
Erik Haula	NJ	-105	A	g	0.5	0.14	0.11 - 0.21	0.18 - 0.11	13%	1,1,1,0,0,0,0,0,0,0	19%	'+450	0
Evgeni Malkin	PIT	-215	H	sog	2.5	2.92	3.23 - 2.44	2.71 - 3.13	54%	4,4,6,2,3,2,4,2,0,3	50%	-140	'+110
Evgeni Malkin	PIT	-215	H	pts	1.5	1.03	1.29 - 0.73	0.82 - 1.24	29%	0,1,2,1,0,1,1,0,0,2	23%	'+175	-215
Evgeni Malkin	PIT	-215	H	ast	0.5	0.7	0.94 - 0.42	0.58 - 0.82	51%	0,1,2,0,0,1,1,0,0,1	44%	-145	'+115
Evgeni Malkin	PIT	-215	H	g	0.5	0.33	0.36 - 0.3	0.24 - 0.42	28%	0,0,0,1,0,0,0,0,0,1	40%	'+160	0
Evgeny Kuznetsov	WSH	'+115	H	sog	1.5	2.19	1.96 - 2.28	2.03 - 2.35	64%	0,4,0,0,2,2,3,4,0,2	72%	-175	'+140
Evgeny Kuznetsov	WSH	'+115	H	pts	0.5	0.72	1.19 - 0.35	0.63 - 0.81	51%	1,0,1,1,0,0,0,1,0,0	69%	-110	-120
Evgeny Kuznetsov	WSH	'+115	H	ast	0.5	0.56	0.93 - 0.25	0.55 - 0.57	43%	1,0,1,1,0,0,0,0,0,0	51%	'+160	-195
Evgeny Kuznetsov	WSH	'+115	H	g	0.5	0.16	0.26 - 0.09	0.08 - 0.24	13%	0,0,0,0,0,0,0,1,0,0	26%	'+260	0
Filip Chytil	NYR	-135	A	sog	2.5	2.31	2.28 - 2.11	2.09 - 2.55	37%	2,2,3,5,1,2,6,1,4,1	34%	'+120	-150
Filip Chytil	NYR	-135	A	pts	0.5	0.6	0.86 - 0.29	0.51 - 0.7	47%	1,0,1,2,0,0,1,1,0,0	33%	'+115	-145
Filip Chytil	NYR	-135	A	ast	0.5	0.31	0.45 - 0.12	0.31 - 0.3	28%	1,0,0,1,0,0,0,1,0,0	19%	'+260	-335
Filip Chytil	NYR	-135	A	g	0.5	0.29	0.4 - 0.18	0.2 - 0.39	26%	0,0,1,1,0,0,1,0,0,0	16%	'+240	0
Filip Zadina	DET	'+230	A	g	0.5	0.1	0.26 - 0.0	0.07 - 0.12	10%	0,1,0,0,0,0,0,0,0,0	15%	'+450	0
Frank Vatrano	ANA	'+410	A	sog	2.5	2.83	2.97 - 2.55	2.95 - 2.69	52%	6,4,1,3,4,2,4,3,1,0	49%	'+115	-145
Frank Vatrano	ANA	'+410	A	pts	0.5	0.48	0.69 - 0.36	0.51 - 0.44	40%	0,0,0,1,1,0,0,1,1,1	40%	'+135	-165
Frank Vatrano	ANA	'+410	A	ast	0.5	0.24	0.36 - 0.16	0.18 - 0.31	23%	0,0,0,0,0,0,0,1,0,1	22%	'+295	-390
Frank Vatrano	ANA	'+410	A	g	0.5	0.24	0.33 - 0.19	0.33 - 0.14	21%	0,0,0,1,1,0,0,0,1,0	24%	'+300	0
Gabriel Vilardi	LA	-120	A	g	0.5	0.37	0.45 - 0.24	0.28 - 0.44	35%	0,0,1,0,0,0,0,1,0,1	19%	'+210	0
Garnet Hathaway	BOS	-215	A	g	0.5	0.16	0.21 - 0.0	0.1 - 0.22	16%	0,0,0,0,1,0,0,1,0,0	0%	'+400	0
Gavin Bayreuther	CBJ	'+155	H	g	0.5	0.05	0.0 - 0.05	0.05 - 0.05	5%	0,0,0,0,0,0,0,0,0,0	0%	'+1200	0
Guillaume Brisebois	VAN	'+100	H	g	0.5	0.06	0.1 - 0.0	0.0 - 0.09	6%	0,0,0,0,0,1,0,0,0,0	0%	'+950	0
Gustav Lindstrom	DET	'+230	A	g	0.5	0.03	0.07 - 0.0	0.06 - 0.0	3%	0,0,0,0,0,0,0,0,0,0	0%	'+1800	0
Hampus Lindholm	BOS	-215	A	pts	0.5	0.68	0.76 - 0.35	0.69 - 0.66	49%	0,1,0,1,0,2,1,1,0,2	31%	-115	-115
Hampus Lindholm	BOS	-215	A	ast	0.5	0.54	0.61 - 0.3	0.5 - 0.58	41%	0,1,0,1,0,2,0,1,0,1	26%	'+125	-155
Hampus Lindholm	BOS	-215	A	g	0.5	0.14	0.15 - 0.06	0.19 - 0.08	14%	0,0,0,0,0,0,1,0,0,1	6%	'+500	0
Hudson Fasching	NYI	'+150	A	g	0.5	0.16	0.21 - 0.08	0.14 - 0.17	16%	0,0,0,0,0,1,0,1,0,0	0%	'+500	0
Isac Lundestrom	ANA	'+410	A	g	0.5	0.07	0.13 - 0.05	0.07 - 0.08	7%	0,0,0,0,0,0,0,0,0,0	17%	'+700	0
Ivan Provorov	PHI	'+185	A	g	0.5	0.07	0.08 - 0.06	0.03 - 0.11	7%	0,0,0,0,1,0,0,0,0,0	9%	'+800	0
Jaccob Slavin	CAR	-175	H	g	0.5	0.1	0.11 - 0.07	0.18 - 0.03	10%	0,1,0,0,0,0,0,0,0,1	5%	'+900	0
Jack Drury	CAR	-175	H	g	0.5	0.06	0.05 - 0.06	0.0 - 0.15	6%	0,0,0,1,0,0,0,0,0,1	100%	'+425	0
Jack Hughes	NJ	-105	A	sog	3.5	4.43	4.31 - 4.55	4.31 - 4.54	65%	2,3,4,6,4,10,3,4,6,2	46%	-140	'+110
Jack Hughes	NJ	-105	A	pts	1.5	1.24	1.54 - 0.83	1.17 - 1.3	42%	2,1,0,2,3,0,0,0,1,1	34%	'+160	-195
Jack Hughes	NJ	-105	A	ast	0.5	0.68	0.85 - 0.44	0.57 - 0.78	50%	2,1,0,1,1,0,0,0,1,1	44%	-125	-105
Jack Hughes	NJ	-105	A	g	0.5	0.56	0.68 - 0.39	0.6 - 0.51	42%	0,0,0,1,2,0,0,0,0,0	46%	'+120	0
Jack Roslovic	CBJ	'+155	H	g	0.5	0.14	0.29 - 0.08	0.11 - 0.18	10%	1,0,0,0,2,0,0,0,0,0	19%	'+265	0
Jack Studnicka	VAN	'+100	H	g	0.5	0.1	0.11 - 0.07	0.14 - 0.05	10%	0,0,0,0,0,0,0,0,0,0	0%	'+500	0
Jacob Christiansen	CBJ	'+155	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	12%	'+850	0
Jacob Trouba	NYR	-135	A	sog	2.5	2.53	2.39 - 2.56	2.24 - 2.82	49%	1,2,3,3,0,2,1,3,3,4	38%	'+120	-150
Jacob Trouba	NYR	-135	A	g	0.5	0.11	0.15 - 0.02	0.08 - 0.13	11%	0,0,0,0,0,0,0,1,0,1	12%	'+600	0
Jake Debrusk	BOS	-215	A	sog	2.5	3.02	3.08 - 2.08	3.0 - 3.03	53%	3,2,1,5,2,5,5,4,3,2	40%	-115	-115
Jake Debrusk	BOS	-215	A	pts	0.5	0.81	0.85 - 0.62	0.96 - 0.69	59%	0,0,1,0,0,1,1,4,1,0	40%	-135	'+105
Jake Debrusk	BOS	-215	A	ast	0.5	0.4	0.38 - 0.47	0.62 - 0.22	31%	0,0,1,0,0,0,0,3,0,0	21%	'+195	-240
Jake Debrusk	BOS	-215	A	g	0.5	0.41	0.47 - 0.15	0.35 - 0.47	36%	0,0,0,0,0,1,1,1,1,0	27%	'+145	0
Jake Guentzel	PIT	-215	H	sog	3.5	3.25	4.12 - 2.35	2.85 - 3.61	40%	3,4,2,7,2,4,5,3,6,6	47%	-115	-115
Jake Guentzel	PIT	-215	H	pts	1.5	0.96	1.27 - 0.68	0.88 - 1.03	25%	1,1,1,1,1,2,0,0,1,3	26%	'+135	-165
Jake Guentzel	PIT	-215	H	ast	0.5	0.47	0.58 - 0.38	0.38 - 0.55	42%	0,0,0,0,1,1,0,0,0,1	49%	-125	-105
Jake Guentzel	PIT	-215	H	g	0.5	0.49	0.69 - 0.3	0.5 - 0.47	42%	1,1,1,1,0,1,0,0,1,2	45%	-105	0
Jake Leschyshyn	NYR	-135	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	0%	'+600	0
Jake Mccabe	TOR	-275	H	g	0.5	0.07	0.1 - 0.0	0.1 - 0.0	7%	0,0,0,0,0,0,1,0,0,0	0%	'+750	0
Jake Sanderson	OTT	-180	A	g	0.5	0.06	0.06 - 0.05	0.06 - 0.06	6%	0,0,0,0,0,0,0,0,0,0	0%	'+350	0
Jake Walman	DET	'+230	A	sog	2.5	2.25	2.04 - 2.25	1.96 - 2.54	39%	1,2,1,0,4,3,4,2,0,1	46%	'+140	-175
Jake Walman	DET	'+230	A	g	0.5	0.16	0.22 - 0.11	0.11 - 0.21	16%	0,1,0,0,1,0,0,0,0,0	6%	'+600	0
Jakob Pelletier	CGY	-520	H	g	0.5	0.13	0.21 - 0.07	0.25 - 0.0	13%	0,0,0,0,0,0,0,0,0,0	0%	'+235	0
Jakob Silfverberg	ANA	'+410	A	g	0.5	0.13	0.21 - 0.09	0.16 - 0.11	12%	0,0,0,0,0,0,0,0,0,0	8%	'+400	0
Jakub Lauko	BOS	-215	A	g	0.5	0.2	0.17 - 0.0	0.15 - 0.29	15%	0,0,1,0,0,0,0,0,2,0	0%	'+500	0
Jakub Vrana	STL	'+185	H	sog	2.5	2.79	2.51 - 2.92	2.64 - 3.0	58%	3,3,4,3,3,2,5,2,2,5	46%	-135	'+105
Jakub Vrana	STL	'+185	H	pts	0.5	0.68	0.84 - 0.41	0.55 - 0.88	47%	0,1,2,0,2,0,0,1,1,2	50%	'+100	-130
Jakub Vrana	STL	'+185	H	ast	0.5	0.16	0.28 - 0.0	0.27 - 0.0	16%	0,0,0,0,1,0,0,0,1,0	23%	'+285	-375
Jakub Vrana	STL	'+185	H	g	0.5	0.53	0.56 - 0.41	0.27 - 0.88	42%	0,1,2,0,1,0,0,1,0,2	35%	'+220	0
Jakub Zboril	BOS	-215	A	g	0.5	0.05	0.06 - 0.0	0.11 - 0.0	5%	0,0,0,0,0,0,0,0,1,0	0%	'+1300	0
Jalen Chatfield	CAR	-175	H	g	0.5	0.08	0.1 - 0.04	0.11 - 0.06	8%	0,0,0,0,0,0,1,0,0,0	0%	'+750	0
James Van Riemsdyk	PHI	'+185	A	g	0.5	0.17	0.16 - 0.15	0.13 - 0.21	17%	0,0,0,0,0,0,1,0,0,0	23%	'+290	0
Jan Rutta	PIT	-215	H	g	0.5	0.06	0.11 - 0.0	0.04 - 0.08	6%	0,0,0,0,0,0,0,0,0,0	5%	'+1000	0
Jaret Anderson-Dolan	LA	-120	A	g	0.5	0.17	0.18 - 0.1	0.22 - 0.11	14%	0,0,0,0,0,1,0,1,0,0	0%	'+300	0
Jason Zucker	PIT	-215	H	sog	2.5	2.61	2.84 - 2.18	2.32 - 2.87	49%	0,2,3,6,3,5,2,3,4,4	50%	-130	'+100
Jason Zucker	PIT	-215	H	pts	0.5	0.64	0.81 - 0.42	0.5 - 0.76	47%	0,1,1,1,0,1,0,0,0,0	37%	-125	-105
Jason Zucker	PIT	-215	H	g	0.5	0.36	0.47 - 0.21	0.32 - 0.39	32%	0,1,1,0,0,0,0,0,0,0	15%	'+165	0
Jayson Megna	ANA	'+410	A	g	0.5	0.05	0.12 - 0.0	0.05 - 0.05	5%	0,0,0,0,0,1,0,0,0,0	0%	'+800	0
Jean-Gabriel Pageau	NYI	'+150	A	pts	0.5	0.55	0.88 - 0.22	0.44 - 0.68	42%	0,0,1,0,0,2,2,1,1,0	43%	'+160	-195
Jean-Gabriel Pageau	NYI	'+150	A	ast	0.5	0.37	0.6 - 0.12	0.21 - 0.55	31%	0,0,1,0,0,2,1,1,0,0	28%	'+265	-345
Jean-Gabriel Pageau	NYI	'+150	A	g	0.5	0.18	0.28 - 0.1	0.24 - 0.13	15%	0,0,0,0,0,0,1,0,1,0	22%	'+400	0
Jeff Carter	PIT	-215	H	g	0.5	0.16	0.22 - 0.08	0.19 - 0.14	15%	0,0,1,0,0,2,0,0,0,0	22%	'+320	0
Jeff Petry	PIT	-215	H	g	0.5	0.09	0.13 - 0.04	0.15 - 0.04	7%	0,0,0,0,0,0,0,0,0,0	6%	'+450	0
Jesper Boqvist	NJ	-105	A	g	0.5	0.14	0.19 - 0.04	0.24 - 0.03	12%	1,0,0,0,0,1,0,0,0,0	18%	'+500	0
Jesper Bratt	NJ	-105	A	sog	2.5	2.59	2.53 - 2.57	2.58 - 2.61	41%	2,1,2,2,5,2,5,3,2,2	47%	'+120	-150
Jesper Bratt	NJ	-105	A	pts	0.5	0.88	1.06 - 0.61	0.95 - 0.82	64%	1,0,0,1,1,1,3,0,0,0	67%	-130	'+100
Jesper Bratt	NJ	-105	A	ast	0.5	0.47	0.52 - 0.36	0.5 - 0.45	39%	1,0,0,0,1,1,0,0,0,0	53%	'+180	-220
Jesper Bratt	NJ	-105	A	g	0.5	0.41	0.54 - 0.24	0.45 - 0.37	32%	0,0,0,1,0,0,3,0,0,0	29%	'+205	0
Jesper Fast	CAR	-175	H	g	0.5	0.11	0.15 - 0.04	0.09 - 0.13	10%	0,0,0,0,0,0,0,0,0,0	17%	'+475	0
Jesperi Kotkaniemi	CAR	-175	H	pts	0.5	0.48	0.62 - 0.17	0.32 - 0.63	35%	0,0,0,0,1,0,1,0,1,3	30%	'+115	-145
Jesperi Kotkaniemi	CAR	-175	H	ast	0.5	0.29	0.42 - 0.03	0.27 - 0.32	23%	0,0,0,0,1,0,1,0,1,1	22%	'+210	-265
Jesperi Kotkaniemi	CAR	-175	H	g	0.5	0.19	0.2 - 0.14	0.05 - 0.32	17%	0,0,0,0,0,0,0,0,0,2	12%	'+230	0
Jesse Puljujarvi	CAR	-175	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	0%	'+255	0
Jimmy Vesey	NYR	-135	A	g	0.5	0.13	0.16 - 0.07	0.11 - 0.16	12%	0,0,0,0,0,0,0,0,0,1	11%	'+400	0
Joe Snively	WSH	'+115	H	g	0.5	0.11	0.0 - 0.12	0.0 - 0.2	11%	0,0,1,0,0,0,0,0,0	25%	'+475	0
Joe Veleno	DET	'+230	A	g	0.5	0.11	0.12 - 0.09	0.11 - 0.11	11%	1,0,0,0,0,0,0,0,0,0	13%	'+500	0
Joel Farabee	PHI	'+185	A	sog	1.5	1.73	1.99 - 1.36	1.56 - 1.89	50%	0,1,5,3,3,1,1,3,1,1	57%	-150	'+120
Joel Farabee	PHI	'+185	A	pts	0.5	0.47	0.7 - 0.29	0.47 - 0.47	38%	1,0,1,2,2,1,1,0,0,0	36%	'+115	-145
Joel Farabee	PHI	'+185	A	ast	0.5	0.3	0.43 - 0.19	0.31 - 0.29	28%	1,0,1,1,1,0,0,0,0,0	19%	'+225	-285
Joel Farabee	PHI	'+185	A	g	0.5	0.18	0.26 - 0.1	0.17 - 0.18	18%	0,0,0,1,1,1,1,0,0,0	28%	'+215	0
John Carlson	WSH	'+115	H	sog	2.5	3.32	3.32 - 3.26	3.68 - 2.87	68%	1,1,7,3,2,3,3,1,4,3	50%	-160	'+130
