EV	EV Book	Imp	Game	Player	Prop	FD	DK	MGM	Bet365	Kambi/BR	ESPN
65.3	2700 ESPN	4%	VGK @ MIN	Marco Rossi	fgs	-	-	-	'+2200	-	'+2700
65.1	7000 DK	1%	WSH @ MTL	Matt Roy	fgs	'+6000	'+7000	-	-	-	-
65.0	3000 DK	3%	LA @ EDM	Phillip Danault	fgs	'+2600	'+3000	-	'+2200	-	-
64.9	2000 DK	5%	WSH @ MTL	Ivan Demidov	fgs	'+1800	'+2000	-	'+1400	-	-
64.8	2000 DK	5%	WSH @ MTL	Patrik Laine	fgs	'+1700	'+2000	-	'+1600	-	-
64.6	2200 ESPN	4%	TOR @ OTT	Shane Pinto	fgs	-	-	-	'+1800	-	'+2200
64.3	3000 DK	3%	LA @ EDM	Evander Kane	fgs	'+2900	'+3000	-	'+2200	-	-
64.2	3300 FD	3%	WSH @ MTL	Andrew Mangiapane	fgs	'+3300	'+3000	-	'+2500	-	-
64.1	4000 ESPN	2%	WPG @ STL	David Gustafsson	fgs	-	-	-	'+3300	-	'+4000
64.0	5500 DK	2%	LA @ EDM	Alex Turcotte	fgs	'+4600	'+5500	-	-	-	-
63.7	1300 DK	7%	CAR @ NJ	Seth Jarvis	fgs	'+1100	'+1300	-	'+1000	-	-
63.6	3000 DK	3%	CAR @ NJ	Erik Haula	fgs	'+2700	'+3000	-	'+2200	-	-
63.6	4000 DK	2%	CAR @ NJ	Dougie Hamilton	fgs	'+3500	'+4000	-	'+3500	-	-
63.4	7000 DK	1%	CAR @ NJ	Jalen Chatfield	fgs	'+5500	'+7000	-	'+6000	-	-
63.1	5500 DK	2%	LA @ EDM	Jake Walman	fgs	'+4300	'+5500	-	'+5000	-	-
63.0	2000 DK	5%	WSH @ MTL	Tom Wilson	fgs	'+1700	'+2000	-	'+1800	-	-
63.0	1600 DK	6%	CAR @ NJ	Andrei Svechnikov	fgs	'+1500	'+1600	-	'+1200	-	-
62.9	3000 DK	3%	CAR @ NJ	Jack Roslovic	fgs	'+2600	'+3000	-	'+2500	-	-
62.8	6000 FD	2%	LA @ EDM	Brandt Clarke	fgs	'+6000	'+6000	-	'+4000	-	-
62.6	1800 DK	5%	WSH @ MTL	Dylan Strome	fgs	'+1400	'+1800	-	'+1600	-	-
62.6	1800 DK	5%	CAR @ NJ	Jesper Bratt	fgs	'+1600	'+1800	-	'+1400	-	-
62.6	2200 DK	4%	CAR @ NJ	Jackson Blake	fgs	'+1800	'+2200	-	'+1800	-	-
62.0	4000 DK	2%	CAR @ NJ	Jordan Martinook	fgs	'+3900	'+4000	-	'+3300	-	-
61.7	4100 FD	2%	WSH @ MTL	Lars Eller	fgs	'+4100	'+4000	-	'+3500	-	-
61.4	8000 DK	1%	CAR @ NJ	Justin Dowling	fgs	'+7500	'+8000	-	'+6000	-	-
61.3	3000 DK	3%	CAR @ NJ	Ondrej Palat	fgs	'+2500	'+3000	-	'+2500	-	-
61.2	4000 DK	2%	CAR @ NJ	Brent Burns	fgs	'+3300	'+4000	-	'+4000	-	-
60.9	4500 DK	2%	WSH @ MTL	Joel Armia	fgs	'+3500	'+4500	-	'+4000	-	-
60.9	2600 ESPN	4%	TOR @ OTT	Claude Giroux	fgs	-	-	-	'+2200	-	'+2600
60.9	6000 DK	2%	CAR @ NJ	Nathan Bastian	fgs	'+5000	'+6000	-	'+6000	-	-
60.5	2200 DK	4%	WSH @ MTL	Connor Mcmichael	fgs	'+1900	'+2200	-	'+1800	-	-
60.5	7000 DK	1%	LA @ EDM	Jeff Malott	fgs	'+5500	'+7000	-	'+6500	-	-
60.2	1300 DK	7%	LA @ EDM	Adrian Kempe	fgs	'+1100	'+1300	-	'+1100	-	-
59.8	4500 DK	2%	CAR @ NJ	William Carrier	fgs	'+3600	'+4500	-	'+4000	-	-
58.9	2900 ESPN	3%	WPG @ STL	Mason Appleton	fgs	-	-	-	'+2500	-	'+2900
58.9	2900 ESPN	3%	TOR @ OTT	Max Domi	fgs	-	-	-	'+2500	-	'+2900
58.9	4000 FD	2%	CAR @ NJ	Cody Glass	fgs	'+4000	'+4000	-	'+3500	-	-
58.5	1200 FD	8%	WSH @ MTL	Cole Caufield	fgs	'+1200	'+1100	-	'+1000	-	-
57.8	2300 ESPN	4%	TOR @ OTT	Fabian Zetterlund	fgs	-	-	-	'+2000	-	'+2300
