NAME	TEAM	ML	A/H	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 OVER	L5 OVER	LAST 10 GAMES	LYR OVER	FD	DK	Best	Implied
Arthur Kaliyev	LA	'124	A	sog	1.5	2.14	74% - '57%'	'68%' - 63%	66%	0,4,2,3,2,1,2,1,0,3	0%	-175	'+135
Artturi Lehkonen	COL	-270	A	ast	0.5	0.4	'29%' - 27%	'21%' - 36%	28%	1,0,0,0,0,1,2,0,0,1	39%	'+145	-190
Artturi Lehkonen	COL	-270	A	pts	0.5	0.76	'50%' - 36%	'29%' - 64%	44%	2,1,0,1,0,2,4,0,0,1	56%	-150	'+120
Artturi Lehkonen	COL	-270	A	sog	2.5	2.28	'57%' - 18%	'43%' - 36%	40%	1,3,0,2,1,1,5,1,3,1	38%	'+140	-180
Auston Matthews	TOR	-230	H	ast	0.5	0.44	'38%' - 40%	47% - '30%'	39%	0,1,0,0,1,2,0,0,1,1	45%	-105	-125
Auston Matthews	TOR	-230	H	pts	1.5	1.35	'47%' - 36%	40% - '44%'	42%	0,1,1,2,2,5,3,0,2,2	31%	'+130	-166
Auston Matthews	TOR	-230	H	sog	4.5	4.3	'34%' - 44%	33% - '44%'	39%	2,4,6,4,3,4,6,2,6,5	47%	-110	-125
Bo Horvat	NYI	-108	A	ast	0.5	0.47	'46%' - 33%	'39%' - 38%	39%	0,0,0,1,0,0,0,1,0,0	27%	'+110	-140
Bo Horvat	NYI	-108	A	pts	0.5	0.88	'71%' - 52%	'61%' - 59%	60%	1,0,0,1,1,0,0,2,0,0	54%	-200	'+154
Bo Horvat	NYI	-108	A	sog	2.5	3.16	'58%' - 61%	'61%' - 59%	60%	7,1,5,3,2,4,3,4,3,3	55%	-175	'+135
Bobby Mcmann	TOR	-230	H	sog	1.5	1.74	'48%' - 46%	39% - '56%'	47%	2,4,3,1,2,4,1,6,0,1	50%	-180	'+140
Brandon Montour	FLA	-340	H	ast	0.5	0.42	'34%' - 21%	29% - '32%'	30%	2,2,0,1,2,0,1,0,0,0	46%	'+114	-145
Brandon Montour	FLA	-340	H	pts	0.5	0.53	'38%' - 21%	33% - '32%'	33%	3,2,0,2,3,0,1,0,0,0	59%	-130	'+100
Brandon Montour	FLA	-340	H	sog	2.5	2.6	'45%' - 57%	38% - '59%'	49%	5,1,3,3,5,0,2,5,5,0	53%	-175	'+135
Brock Faber	MIN	-105	A	ast	0.5	0.51	'46%' - 32%	'55%' - 23%	39%	0,1,0,0,0,0,0,2,1,1	0%	'+154	-200
Brock Faber	MIN	-105	A	pts	0.5	0.58	'54%' - 32%	'55%' - 30%	42%	0,1,0,0,0,0,0,2,1,1	0%	'+120	-150
Brock Nelson	NYI	-108	A	ast	0.5	0.36	'62%' - 12%	'36%' - 30%	33%	0,0,0,1,1,0,0,1,1,0	43%	'+145	-190
Brock Nelson	NYI	-108	A	pts	0.5	0.79	'67%' - 44%	'50%' - 57%	53%	0,1,0,2,2,0,1,1,1,0	65%	-175	'+135
Brock Nelson	NYI	-108	A	sog	3.5	3.31	'38%' - 44%	'39%' - 43%	41%	2,4,5,8,3,3,4,6,1,3	23%	'+114	-145
Cale Makar	COL	-270	A	ast	0.5	0.89	'65%' - 48%	'50%' - 67%	58%	1,1,0,0,0,0,0,0,0,0	56%	-175	'+135
Cale Makar	COL	-270	A	pts	1.5	1.13	'41%' - 24%	'29%' - 41%	35%	1,1,0,0,0,0,0,0,0,1	34%	'+180	-238
Cale Makar	COL	-270	A	sog	2.5	3.04	'59%' - 62%	'54%' - 67%	60%	0,3,3,1,6,2,3,2,3,6	51%	-160	'+124
Cam Fowler	ANA	-135	A	ast	0.5	0.41	'60%' - 18%	'31%' - 34%	33%	0,1,0,0,0,2,0,1,0,0	37%	'+110	-140
Cam Fowler	ANA	-135	A	pts	0.5	0.48	'65%' - 18%	'34%' - 34%	34%	0,1,0,0,0,3,0,2,0,0	42%	-115	-115
Carter Verhaeghe	FLA	-340	H	ast	0.5	0.53	'59%' - 25%	40% - '55%'	47%	1,1,0,1,1,0,0,0,1,0	35%	'+120	-150
Carter Verhaeghe	FLA	-340	H	pts	0.5	1.03	'82%' - 35%	57% - '76%'	66%	1,1,0,1,3,2,0,1,1,1	58%	-215	'+165
Carter Verhaeghe	FLA	-340	H	sog	3.5	3.29	'46%' - 40%	43% - '45%'	44%	1,5,7,2,6,2,1,7,0,4	39%	-105	-125
Casey Mittelstadt	BUF	'136	A	ast	0.5	0.53	56% - '28%'	'45%' - 37%	41%	0,0,0,0,0,0,0,1,0,0	37%	'+170	-220
Casey Mittelstadt	BUF	'136	A	pts	0.5	0.75	67% - '38%'	'55%' - 47%	51%	0,0,0,0,0,1,0,1,0,0	49%	'+100	-130
