NAME	TEAM	ML	A/H	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 OVER	L5 OVER	LAST 10 GAMES	LYR OVER	FD	DK	Implied
Cam Talbot	LA	-112	A	25.5	25.36	*57%* - 50%	*55%* - 55%	55%	47%	60%	92,92,31,02,42,72,42,71,82,92	50%	-118/-108	-115/-115	54.12844036697248%
Casey Desmith	VAN	-155	H	27.5	26.18	*57%* - 50%	75% - *0%*	55%	55%	40%	73,43,02,82,03,43,81,62,03,62	49%	-112/-112	-115/-115	53.48837209302325%
Samuel Ersson	PHI	'130	A	24.5	23.0	62% - *17%*	*38%* - 50%	43%	43%	60%	71,53,02,52,92,91,72,33,42,72	83%	-112/-112	-115/-115	53.48837209302325%
Stuart Skinner	EDM	-425	A	23.5	22.35	*58%* - 27%	*40%* - 46%	43%	40%	20%	52,12,32,52,93,71,22,71,81,13	67%	-118/-108	-120/-110	54.54545454545454%
