NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Nikola Vucevic	C	33	'+185	A	CHI	MIA	1st	ast	2.5	3.3	3.49 - 3.02	3.07 - 3.44	60%	53%	80%	4,0,4,4,3,2,0,6,5,1	61%	-120	-110
Nikola Vucevic	C	33	'+185	A	CHI	MIA	2nd	pts	15.5	17.6	17.95 - 17.26	18.17 - 17.02	59%	60%	60%	14,8,20,21,19,13,21,29,20,4	66%	-130	'+100
Nikola Vucevic	C	33	'+185	A	CHI	MIA	1st	reb+ast	13.5	14.3	15.32 - 13.29	13.86 - 14.73	59%	47%	60%	17,7,14,15,13,12,8,18,13,3	50%	-110	-120
Nikola Vucevic	C	33	'+185	A	CHI	MIA	2nd	reb	10.5	11.0	11.83 - 10.26	10.79 - 11.29	55%	40%	40%	13,7,10,11,10,10,8,12,8,2	47%	-120	-110
Nikola Vucevic	C	33	'+185	A	CHI	MIA	5th	stl	0.5	0.7	0.78 - 0.69	0.71 - 0.76	47%	53%	40%	1,3,0,0,0,1,0,0,0,1	64%	-120	-110
Nikola Vucevic	C	33	'+185	A	CHI	MIA	2nd	stl+blk	1.5	1.4	1.63 - 1.24	1.24 - 1.63	41%	33%	40%	2,3,0,0,0,2,0,0,0,1	59%	'+175	-215
Nikola Vucevic	C	33	'+185	A	CHI	MIA	3rd	blk	0.5	0.7	0.85 - 0.55	0.52 - 0.88	40%	27%	20%	1,0,0,0,0,1,0,0,0,0	55%	'+130	-160
Patrick Beverley	PG	27	'+185	A	CHI	MIA	4th	stl	0.5	0.9	0.86 - 1.03	1.2 - 0.67	57%	80%	80%	1,3,4,1,0,2,1,2,1,1	74%	-190	'+155
Patrick Beverley	PG	27	'+185	A	CHI	MIA	8th	ast	2.5	2.9	2.91 - 2.82	3.17 - 2.55	57%	53%	60%	1,4,7,0,3,2,1,2,5,4	77%	-105	-125
Patrick Beverley	PG	27	'+185	A	CHI	MIA	4th	blk	0.5	0.6	0.69 - 0.55	0.71 - 0.52	53%	67%	80%	1,1,1,1,0,0,1,1,0,1	59%	-120	-110
Patrick Beverley	PG	27	'+185	A	CHI	MIA	18th	reb	3.5	3.7	3.83 - 3.52	3.97 - 3.36	49%	53%	20%	3,2,5,2,2,5,2,0,4,6	59%	-125	-105
Patrick Beverley	PG	27	'+185	A	CHI	MIA	2nd	stl+blk	1.5	1.6	1.54 - 1.58	1.91 - 1.18	43%	73%	80%	2,4,5,2,0,2,2,3,1,2	59%	-120	-110
Patrick Beverley	PG	27	'+185	A	CHI	MIA	29th	3ptm	1.5	1.2	1.23 - 1.15	1.2 - 1.18	29%	33%	40%	1,0,2,3,0,0,0,3,1,0	43%	'+165	-205
Patrick Williams	PF	28	'+185	A	CHI	MIA	13th	reb	2.5	4.0	4.1 - 3.81	4.05 - 3.85	71%	53%	40%	2,2,8,6,2,3,0,1,2,3	87%	-175	'+140
Patrick Williams	PF	28	'+185	A	CHI	MIA	8th	pts+reb	11.5	14.1	14.71 - 13.52	13.79 - 14.44	69%	67%	80%	12,4,31,12,17,15,15,3,18,10	65%	-115	-115
Patrick Williams	PF	28	'+185	A	CHI	MIA	26th	stl	0.5	0.9	0.83 - 0.95	0.9 - 0.88	64%	80%	80%	2,1,2,0,2,1,1,1,1,1	57%	-160	'+130
Patrick Williams	PF	28	'+185	A	CHI	MIA	6th	pts	8.5	10.2	10.61 - 9.71	9.74 - 10.59	61%	53%	60%	10,2,23,6,15,12,15,2,16,7	48%	-110	-120
Patrick Williams	PF	28	'+185	A	CHI	MIA	11th	blk	0.5	0.9	0.93 - 0.81	0.95 - 0.78	57%	67%	80%	2,1,2,0,2,3,0,1,1,0	43%	-125	-105
Patrick Williams	PF	28	'+185	A	CHI	MIA	17th	stl+blk	1.5	1.8	1.76 - 1.76	1.86 - 1.66	54%	67%	80%	4,2,4,0,4,4,1,2,2,1	43%	-105	-125
Patrick Williams	PF	28	'+185	A	CHI	MIA	5th	3ptm	1.5	1.4	1.46 - 1.36	1.31 - 1.51	47%	60%	80%	2,0,3,2,2,2,3,0,2,1	39%	'+180	-220
Rudy Gobert	C	30	-215	H	MIN	OKC	14th	pts	13.5	13.5	14.12 - 12.86	14.26 - 12.65	54%	53%	20%	2,12,10,14,7,16,10,12,16,14	55%	-105	-125
Rudy Gobert	C	30	-215	H	MIN	OKC	15th	pts+ast	14.5	14.7	15.48 - 13.89	15.71 - 13.56	54%	53%	20%	2,14,13,15,9,20,12,14,19,17	59%	-125	-105
Rudy Gobert	C	30	-215	H	MIN	OKC	4th	stl	0.5	0.8	0.79 - 0.83	0.6 - 1.03	52%	53%	40%	0,0,0,2,2,0,0,1,1,0	49%	-145	'+115
Rudy Gobert	C	30	-215	H	MIN	OKC	29th	reb+ast	13.5	12.8	13.21 - 12.42	13.54 - 12.03	48%	60%	60%	3,14,18,12,17,20,20,14,10,15	59%	-140	'+110
Rudy Gobert	C	30	-215	H	MIN	OKC	22nd	pts+reb	25.5	25.1	25.97 - 24.25	26.34 - 23.76	46%	33%	0%	5,24,25,25,22,32,28,24,23,26	61%	-115	-115
Rudy Gobert	C	30	-215	H	MIN	OKC	29th	reb	12.5	11.6	11.85 - 11.39	12.09 - 11.12	43%	40%	40%	3,12,15,11,15,16,18,12,7,12	66%	-140	'+110
Rudy Gobert	C	30	-215	H	MIN	OKC	22nd	pts+reb+ast	27.5	26.3	27.33 - 25.28	27.8 - 24.68	43%	40%	20%	5,26,28,26,24,36,30,26,26,29	56%	-110	-120
Rudy Gobert	C	30	-215	H	MIN	OKC	24th	blk	1.5	1.3	1.3 - 1.33	1.31 - 1.32	39%	20%	0%	0,1,0,0,0,2,1,1,1,1	56%	-115	-115
Rudy Gobert	C	30	-215	H	MIN	OKC	15th	stl+blk	2.5	2.1	2.09 - 2.17	1.91 - 2.35	35%	27%	0%	0,1,0,2,2,2,1,2,2,1	44%	'+110	-140
Shai Gilgeous Alexander	PG	35	'+185	A	OKC	MIN	12th	ast	4.5	5.4	5.53 - 5.31	5.15 - 5.77	64%	33%	60%	3,7,7,5,4,3,8,3,4,4	72%	-140	'+110
Shai Gilgeous Alexander	PG	35	'+185	A	OKC	MIN	13th	3ptm	0.5	0.9	0.76 - 0.97	0.87 - 0.87	62%	67%	60%	2,1,2,0,0,0,1,1,1,0	85%	-235	'+190
Shai Gilgeous Alexander	PG	35	'+185	A	OKC	MIN	2nd	blk	0.5	1.0	1.15 - 0.77	0.82 - 1.13	59%	40%	40%	1,0,0,0,1,0,1,3,0,0	57%	-115	-115
Shai Gilgeous Alexander	PG	35	'+185	A	OKC	MIN	19th	stl	1.5	1.7	1.94 - 1.4	1.72 - 1.6	55%	47%	40%	3,1,0,2,1,4,1,1,0,1	30%	-145	'+115
Shai Gilgeous Alexander	PG	35	'+185	A	OKC	MIN	9th	stl+blk	2.5	2.6	3.09 - 2.17	2.54 - 2.73	49%	33%	20%	4,1,0,2,2,4,2,4,0,1	37%	-105	-125
Shai Gilgeous Alexander	PG	35	'+185	A	OKC	MIN	23rd	reb+ast	10.5	10.3	10.35 - 10.17	9.72 - 10.97	48%	47%	60%	8,14,12,8,13,5,13,7,11,9	48%	-105	-125
Shai Gilgeous Alexander	PG	35	'+185	A	OKC	MIN	26th	pts+ast	38.5	36.8	37.85 - 35.83	36.21 - 37.63	43%	47%	60%	35,29,39,44,43,34,35,33,35,44	11%	-105	-125
Shai Gilgeous Alexander	PG	35	'+185	A	OKC	MIN	28th	pts+reb+ast	43.5	41.7	42.68 - 40.69	40.77 - 42.83	42%	40%	60%	40,36,44,47,52,36,40,37,42,49	15%	-115	-115
Shai Gilgeous Alexander	PG	35	'+185	A	OKC	MIN	27th	pts	33.5	31.4	32.32 - 30.51	31.05 - 31.87	38%	40%	40%	32,22,32,39,39,31,27,30,31,40	6%	-105	-125
Shai Gilgeous Alexander	PG	35	'+185	A	OKC	MIN	28th	reb	5.5	4.8	4.82 - 4.86	4.56 - 5.2	38%	40%	40%	5,7,5,3,9,2,5,4,7,5	43%	'+100	-130
Shai Gilgeous Alexander	PG	35	'+185	A	OKC	MIN	27th	pts+reb	38.5	36.2	37.15 - 35.37	35.62 - 37.07	35%	40%	40%	37,29,37,42,48,33,32,34,38,45	13%	-120	-110
Tyler Herro	PG	34	-215	H	MIA	CHI	10th	stl+blk	0.5	1.0	1.11 - 0.9	0.85 - 1.18	62%	53%	80%	2,0,1,1,1,0,0,2,0,0	56%	-150	'+120
Tyler Herro	PG	34	-215	H	MIA	CHI	4th	pts+reb+ast	28.5	29.7	28.24 - 31.42	30.26 - 29.12	57%	47%	40%	32,8,33,25,24,19,42,28,29,29	59%	-110	-120
Tyler Herro	PG	34	-215	H	MIA	CHI	25th	reb+ast	8.5	9.5	9.73 - 9.23	9.35 - 9.65	57%	47%	40%	6,4,9,7,9,3,9,5,7,10	56%	-115	-115
Tyler Herro	PG	34	-215	H	MIA	CHI	4th	pts+reb	24.5	25.6	23.89 - 27.58	26.26 - 24.88	56%	53%	40%	32,5,28,23,21,18,36,25,25,25	56%	-120	-110
Tyler Herro	PG	34	-215	H	MIA	CHI	3rd	pts+ast	23.5	24.3	22.86 - 26.03	24.91 - 23.71	56%	47%	40%	26,7,29,20,18,17,39,26,26,23	55%	-105	-125
Tyler Herro	PG	34	-215	H	MIA	CHI	6th	stl	0.5	0.8	0.86 - 0.68	0.68 - 0.88	54%	47%	80%	2,0,1,1,1,0,0,2,0,0	45%	-115	-115
Tyler Herro	PG	34	-215	H	MIA	CHI	9th	3ptm	2.5	3.0	2.89 - 3.16	3.29 - 2.74	54%	47%	20%	2,0,5,2,2,2,6,3,4,3	45%	-150	'+120
Tyler Herro	PG	34	-215	H	MIA	CHI	3rd	pts	19.5	20.2	18.51 - 22.19	20.91 - 19.47	53%	47%	40%	26,4,24,18,15,16,33,23,22,19	53%	-120	-110
Tyler Herro	PG	34	-215	H	MIA	CHI	15th	ast	3.5	4.1	4.35 - 3.84	4.0 - 4.24	51%	40%	20%	0,3,5,2,3,1,6,3,4,4	53%	'+105	-135
Tyler Herro	PG	34	-215	H	MIA	CHI	27th	reb	5.5	5.4	5.38 - 5.39	5.35 - 5.41	40%	40%	40%	6,1,4,5,6,2,3,2,3,6	46%	'+140	-175
Tyler Herro	PG	34	-215	H	MIA	CHI	18th	blk	0.5	0.2	0.24 - 0.23	0.18 - 0.29	19%	7%	0%	0,0,0,0,0,0,0,0,0,0	17%	'+450	-650
Zach Lavine	SG	36	'+185	A	CHI	MIA	19th	stl	0.5	0.9	1.03 - 0.77	0.92 - 0.88	58%	40%	60%	1,0,0,1,1,1,3,0,0,0	54%	-175	'+140
Zach Lavine	SG	36	'+185	A	CHI	MIA	20th	reb+ast	8.5	8.7	8.59 - 8.85	8.78 - 8.66	49%	60%	80%	9,5,12,9,12,6,8,8,6,12	62%	-125	-105
Zach Lavine	SG	36	'+185	A	CHI	MIA	8th	reb	4.5	4.5	4.21 - 4.79	4.65 - 4.37	47%	27%	40%	6,3,5,3,3,3,2,5,2,4	50%	'+110	-140
Zach Lavine	SG	36	'+185	A	CHI	MIA	26th	3ptm	2.5	2.6	3.33 - 1.95	2.84 - 2.46	47%	33%	20%	2,1,1,1,3,3,0,0,2,6	49%	-110	-120
Zach Lavine	SG	36	'+185	A	CHI	MIA	29th	ast	4.5	4.2	4.38 - 4.05	4.14 - 4.29	45%	60%	60%	3,2,7,6,9,3,6,3,4,8	49%	'+110	-140
Zach Lavine	SG	36	'+185	A	CHI	MIA	9th	pts+reb+ast	35.5	33.7	35.59 - 31.9	35.68 - 32.0	42%	40%	40%	48,22,25,35,48,29,24,31,38,45	49%	-115	-115
Zach Lavine	SG	36	'+185	A	CHI	MIA	6th	pts+reb	31.5	29.5	31.21 - 27.85	31.54 - 27.71	40%	33%	40%	45,20,18,29,39,26,18,28,34,37	41%	-110	-120
Zach Lavine	SG	36	'+185	A	CHI	MIA	13th	pts+ast	31.5	29.2	31.38 - 27.1	31.03 - 27.63	38%	47%	60%	42,19,20,32,45,26,22,26,36,41	46%	-105	-125
Zach Lavine	SG	36	'+185	A	CHI	MIA	8th	pts	26.5	25.0	27.0 - 23.05	26.89 - 23.34	37%	33%	40%	39,17,13,26,36,23,16,23,32,33	46%	-130	'+100
Zach Lavine	SG	36	'+185	A	CHI	MIA	15th	stl+blk	1.5	1.1	1.33 - 0.92	1.16 - 1.1	35%	13%	0%	1,0,1,1,1,1,3,0,0,1	24%	'+150	-185
Zach Lavine	SG	36	'+185	A	CHI	MIA	9th	blk	0.5	0.2	0.31 - 0.15	0.24 - 0.22	22%	27%	20%	0,0,1,0,0,0,0,0,0,1	32%	'+210	-265
