NAME	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	OVER	UNDER
Bj Hill	'+200	A	CIN	BUF	8th	TACKLES	3.5	4.3	4.38 - 4.0	4.78 - 3.75	71%	100%	5,4,4,7,3,4,7,2,4,5,3,6,3,4,4,5,3	50%	-115	-115
Cam Taylor Britt	'+200	A	CIN	BUF	8th	TACKLES	4.5	6.0	6.25 - 5.0	8.33 - 2.5	60%	67%	8,12,2,5,3	0%	'+110	-140
Charvarius Ward	-200	H	SF	DAL	25th	TACKLES	4.5	5.0	4.86 - 5.5	5.5 - 4.6	50%	33%	3,2,6,3,6,8,1,5,10,2,6,10,2,4,4,8,8,2	54%	'+120	-150
Daron Bland	'+170	A	DAL	SF	23rd	TACKLES	5.5	4.7	4.7 - 4.67	5.0 - 4.43	46%	67%	7,2,7,5,6,6,8,5,2,6,3,1,3	0%	'+140	-175
Dean Marlowe	-240	H	BUF	CIN	19th	TACKLES	4.5	3.5	3.5 - 0	0 - 3.5	0%	0%	4,3	69%	-110	-120
Deommodore Lenoir	-200	H	SF	DAL	25th	TACKLES	5.5	4.9	5.21 - 3.67	5.43 - 4.6	35%	67%	5,7,7,9,10,5,1,5,4,1,2,4,2,8,8,5,1	0%	'+120	-150
Dre Greenlaw	-200	H	SF	DAL	25th	TACKLES	8.5	8.6	9.5 - 6.0	8.14 - 9.0	38%	33%	11,8,8,8,15,8,6,9,7,3,6,11,15,10,8,5	33%	-120	-110
Ed Oliver	-240	H	BUF	CIN	19th	TACKLES	2.5	2.8	2.82 - 3.0	3.0 - 2.71	46%	67%	3,1,4,2,4,1,6,5,2,4,2,1,2	44%	-140	'+110
Eli Apple	'+200	A	CIN	BUF	8th	TACKLES	3.5	3.7	3.83 - 3.0	3.75 - 3.57	53%	67%	6,6,0,7,4,3,4,4,2,6,3,2,2,4,2	25%	-145	'+115
Fred Warner	-200	H	SF	DAL	25th	TACKLES	7.5	7.6	7.64 - 7.25	8.75 - 6.6	44%	67%	6,8,12,12,8,7,2,6,6,7,12,6,10,9,9,7,3,6	69%	-115	-115
Germaine Pratt	'+200	A	CIN	BUF	8th	TACKLES	6.5	6.7	6.42 - 7.5	7.75 - 5.62	50%	33%	8,4,3,9,5,4,6,8,1,9,6,14,8,9,5,8	43%	-135	'+105
Jimmie Ward	-200	H	SF	DAL	25th	TACKLES	3.5	4.3	4.55 - 2.0	5.25 - 3.88	67%	33%	2,3,7,4,4,8,5,3,5,4,5,2	81%	-105	-125
Jordan Poyer	-240	H	BUF	CIN	19th	TACKLES	5.5	5.1	5.08 - 0	4.67 - 5.43	31%	33%	3,9,1,5,7,5,10,5,5,4,6,4,2	50%	-115	-115
Leighton Vander Esch	'+170	A	DAL	SF	23rd	TACKLES	7.5	7.1	6.91 - 7.67	5.67 - 8.12	50%	67%	9,14,1,8,3,7,8,10,7,5,8,3,7,9	12%	-150	'+110
Logan Wilson	'+200	A	CIN	BUF	8th	TACKLES	8.5	8.3	8.83 - 6.75	7.89 - 8.86	38%	67%	10,8,9,15,17,7,9,8,4,8,5,7,7,7,3,9	31%	-130	'+100
Matt Milano	-240	H	BUF	CIN	19th	TACKLES	8.5	6.8	7.07 - 5.0	6.57 - 7.0	25%	33%	10,8,6,8,9,6,7,12,6,5,3,2,13,4,3,7	19%	'+115	-145
Mike Hilton	'+200	A	CIN	BUF	8th	TACKLES	4.5	4.1	3.91 - 4.75	4.75 - 3.43	27%	33%	2,3,5,4,3,7,2,4,1,4,4,4,8,4,7	29%	'+130	-160
Nick Bosa	-200	H	SF	DAL	25th	TACKLES	3.5	3.3	3.21 - 3.67	2.57 - 3.8	41%	33%	5,2,1,7,2,3,3,3,3,4,4,4,1,3,2,4,5	35%	'+100	-130
Talanoa Hufanga	-200	H	SF	DAL	25th	TACKLES	4.5	5.7	5.5 - 6.25	6.75 - 4.8	67%	67%	5,4,9,8,5,5,1,9,6,2,8,4,6,5,4,4,6,11	17%	-150	'+120
Taron Johnson	-240	H	BUF	CIN	19th	TACKLES	4.5	5.7	5.79 - 5.33	5.0 - 6.33	71%	67%	7,8,3,4,8,4,3,8,5,5,7,6,5,4,6,5,9	38%	-140	'+110
Tashaun Gipson Sr	-200	H	SF	DAL	25th	TACKLES	4.5	3.8	3.23 - 5.5	4.57 - 3.2	29%	0%	3,2,4,4,5,5,3,3,3,4,5,9,3,2,5,1,3	33%	'+130	-160
Tredavious White	-240	H	BUF	CIN	19th	TACKLES	3.5	3.7	3.67 - 0	4.5 - 3.25	67%	67%	2,4,5,3,4,4	45%	-120	-110
Tremaine Edmunds	-240	H	BUF	CIN	19th	TACKLES	7.5	7.6	8.09 - 6.0	8.43 - 6.86	50%	33%	5,7,9,8,7,6,3,10,16,10,9,5,2,10	47%	-125	-105
Trevon Diggs	'+170	A	DAL	SF	23rd	TACKLES	3.5	3.4	3.23 - 3.8	3.22 - 3.56	39%	0%	2,1,1,2,7,5,1,7,3,5,8,1,3,6,0,1,5,3	50%	'+130	-160
Vonn Bell	'+200	A	CIN	BUF	8th	TACKLES	4.5	4.8	4.69 - 5.0	5.56 - 3.88	47%	33%	4,4,6,3,7,5,6,6,2,4,3,3,7,4,8,7,2	81%	-135	'+105
