NAME	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	OVER	UNDER
Brock Purdy	-200	H	SF	DAL	15th	pass_cmp	20.5	13.2	14.22 - 4.0	9.75 - 15.5	20%	33%	18,15,22,15,17,16,25,0,4,0	0%	'+110	-140
Brock Purdy	-200	H	SF	DAL	16th	rush_yds	7.5	2.9	3.11 - 1.0	-0.75 - 5.33	10%	33%	16,7,-3,6,-2,3,-1,3,1,-1	0%	-125	-105
Josh Allen	-240	H	BUF	CIN	10th	rush_yds	46.5	46.0	40.36 - 72.33	53.75 - 39.11	53%	0%	20,16,41,77,47,20,78,7,84,86,49,32,42,70,47,10,56	41%	-135	-105
Trevon Diggs	'+170	A	DAL	SF	23rd	tackles_combined	3.5	3.4	3.23 - 3.8	3.22 - 3.56	39%	0%	2,1,1,2,7,5,1,7,3,5,8,1,3,6,0,1,5,3	50%	'+130	-160
Dawson Knox	-240	H	BUF	CIN	11th	rec	3.5	3.2	3.08 - 3.67	2.38 - 4.0	38%	0%	3,2,3,6,4,0,2,7,4,3,2,3,3,4,4,1	40%	'+100	-130
Sam Hubbard	'+200	A	CIN	BUF		sacks	0.75	0.4	0.38 - 0.5	0.44 - 0.38	38%	0%	0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0	31%	'+165	-205
George Kittle	-200	H	SF	DAL	8th	rec_yds	45.5	50.1	45.62 - 69.67	56.71 - 45.0	38%	0%	37,29,23,120,93,28,22,26,84,21,39,98,83,47,24,28	50%	-115	-115
Joe Burrow	'+200	A	CIN	BUF	11th	rush_yds	12.5	15.6	14.23 - 20.25	12.11 - 19.62	35%	0%	9,10,5,8,10,46,32,5,9,2,20,25,6,6,0,26,47	12%	-105	-125
Tashaun Gipson Sr	-200	H	SF	DAL	25th	tackles_combined	4.5	3.8	3.23 - 5.5	4.57 - 3.2	29%	0%	3,2,4,4,5,5,3,3,3,4,5,9,3,2,5,1,3	33%	'+130	-160
Shaq Lawson	-240	H	BUF	CIN		sacks	0.25	0.2	0.25 - 0.17	0.14 - 0.31	27%	0%	0,0,0,1,1,0,0,0,0,0,1,0,0,0,0	17%	'+220	-280
Dean Marlowe	-240	H	BUF	CIN	19th	tackles_combined	4.5	3.5	3.5 - 0	0 - 3.5	0%	0%	4,3	69%	-110	-120
