EV	EV Book	Game	Player	Prop	O/U	FD	DK	ESPN	MGM	Kambi	PN	CZ	BV
6.6	710 FD	iowa @ minnesota	Lemeke Brockington	attd	o  	'+710	'+450	-	-	-	-	-	-
6.4	280 MGM	utah @ oklahoma state	Micah Bernard	team_ftd	o  	'+210	-	-	280	-	-	-	-
6.1	175 MGM	georgia tech @ louisville	Tyler Shough	attd	o  	'+172	'+140	'+130/-180	175	-	-	105	-
5.3	210 MGM	tennessee @ oklahoma	Nic Anderson	attd	o  	'+205	'+135	-	210	-	-	150	-
4.8	115 CZ	ucla @ lsu	Josh Williams	attd	o  	-150	-150	'+107/-145	-160	-	-	115	-
4.8	106 FD	iowa @ minnesota	Kaleb Johnson	attd	o  	'+106	-120	-	-	-	-	-	-
4.7	115 DK	miami ohio @ notre dame	Jadarian Price	attd	o  	-106	'+115	-110/-125	-	-	-	-125	-
4.6	300 ESPN	arizona state @ texas tech	Behren Morton	attd	o  	'+200	'+205	'+300/-475	-	-	-	280	-
3.8	800 MGM	michigan state @ boston college	Kayron Lynch Adams	team_ftd	o  	'+500	-	-	800	-	-	-	-
3.6	185 DK	ucla @ lsu	Cj Daniels	attd	o  	'+172	'+185	'+135/-190	180	-	-	145	-
3.6	245 FD	tennessee @ oklahoma	Gavin Sawchuk	attd	o  	'+245	'+195	-	180	-	-	200	-
3.3	130 DK	tennessee @ oklahoma	Nico Iamaleava	attd	o  	'+116	'+130	-	110	-	-	-110	-
3.2	390 ESPN	arizona state @ texas tech	Melquan Stovall	attd	o  	'+300	'+210	'+390/-700	-	-	-	360	-
3.1	-111 FD	usc @ michigan	Woody Marks	attd	o  	-111	-120	-145/+107	-115	-	-	-167	-
2.5	700 DK	iowa @ minnesota	Cade Mcnamara	attd	o  	'+460	'+700	-	-	-	-	-	-
2.1	625 ESPN	vanderbilt @ missouri	Mekhi Miller	attd	o  	-	'+250	'+625/-1400	-	-	-	600	-
1.7	210 MGM	michigan state @ boston college	Nate Carter	attd	o  	'+192	'+175	-	210	-	-	145	-
1.7	120 ESPN	california @ florida state	Roydell Williams	attd	o  	-102	'+105	'+120/-165	100	-	-	-	-
1.6	142 FD	ucla @ lsu	Kaleb Jackson	attd	o  	'+142	'+110	'+115/-160	140	-	-	105	-
1.5	-135 DK	vanderbilt @ missouri	Marcus Carroll	attd	o  	-	-135	-165/+120	-	-	-	-187	-
1.5	175 ESPN	utah @ oklahoma state	Rashod Owens	attd	o  	-	'+145	'+175/-250	120	-	-	170	-
1.5	-162 FD	utah @ oklahoma state	Ollie Gordon	attd	o  	-162	-230	-210/+148	-175	-	-	-250	-
1.5	425 DK	usc @ michigan	Makai Lemon	attd	o  	-	'+425	'+315/-500	-	-	-	290	-
1.5	270 MGM	michigan state @ boston college	Jaron Glover	attd	o  	-	'+215	-	270	-	-	-	-
1.3	350 MGM	utah @ oklahoma state	Micah Bernard	2+td	o  	'+270	-	-	350	-	-	-	-
1.2	255 FD	utah @ oklahoma state	Dorian Singer	attd	o  	'+255	'+185	'+200/-290	240	-	-	188	-
1.2	-102 FD	michigan state @ boston college	Thomas Castellanos	attd	o  	-102	-115	-	-110	-	-	-143	-
1.1	144 FD	arizona state @ texas tech	Jordyn Tyson	attd	o  	'+144	'+125	'+120/-165	-	-	-	110	-
1.0	275 ESPN	arkansas @ auburn	Rivaldo Fairweather	attd	o  	'+186	'+215	'+275/-425	-	-	-	260	-
0.9	-245 DK	vanderbilt @ missouri	Nate Noel	attd	o  	-	-245	-320/+220	-	-	-	-450	-
0.8	142 FD	michigan state @ boston college	Treshaun Ward	attd	o  	'+142	'+140	-	130	-	-	-110	-
0.5	145 MGM	utah @ oklahoma state	Dezhaun Stribling	attd	o  	'+144	'+140	'+115/-160	145	-	-	110	-
0.5	140 FD	usc @ michigan	Kalel Mullings	attd	o  	'+140	'+115	'+120/-165	125	-	-	-105	-
0.5	-122 FD	arkansas @ auburn	Jaquinden Jackson	attd	o  	-122	-160	-134/-102	-	-	-	-225	-
0.1	125 DK	vanderbilt @ missouri	Brady Cook	attd	o  	-	'+125	'+107/-145	-	-	-	105	-
0.1	-250 ESPN	miami ohio @ notre dame	Jeremiyah Love	attd	o  	-350	-300	-250/+175	-	-	-	-333	-
0.1	-150 DK	arkansas @ auburn	Jarquez Hunter	attd	o  	-156	-150	-185/+135	-	-	-	-200	-
0.0	185 DK	michigan state @ boston college	Kye Robichaux	attd	o  	'+178	'+185	-	160	-	-	130	-
-0.3	240 DK	michigan state @ boston college	Kayron Lynch Adams	attd	o  	'+205	'+240	-	230	-	-	160	-
-0.3	300 ESPN	georgia tech @ louisville	Jadon Thompson	attd	o  	'+240	'+205	'+300/-475	230	-	-	290	-
-0.4	370 FD	arkansas @ auburn	Robert Lewis	attd	o  	'+370	'+150	'+300/-475	-	-	-	290	-
-0.5	470 FD	ucla @ lsu	Josh Williams	team_ftd	o  	'+470	-	-	350	-	-	-	-
-0.9	2300 FD	utah @ oklahoma state	Sesi Vailahi	team_ftd	o  	'+2300	-	-	900	-	-	-	-
-0.9	116 FD	tennessee @ oklahoma	Deion Burks	attd	o  	'+116	-110	-	115	-	-	100	-
-0.9	210 MGM	georgia tech @ louisville	Malik Rutherford	attd	o  	'+200	'+160	'+175/-250	210	-	-	150	-
-1.0	108 FD	iowa @ minnesota	Darius Taylor	attd	o  	'+108	-105	-	-	-	-	-	-
-1.1	-125 CZ	ucla @ lsu	Caden Durham	attd	o  	-128	-165	-	-140	-	-	-125	-
-1.4	310 FD	usc @ michigan	Quinten Joyner	attd	o  	'+310	'+220	'+250/-375	260	-	-	230	-
-1.5	-134 ESPN	utah @ oklahoma state	Micah Bernard	attd	o  	-164	-140	-134/-102	-140	-	-	-175	-
-1.6	130 MGM	tennessee @ oklahoma	Jovantae Barnes	attd	o  	'+100	'+125	-	130	-	-	120	-
-1.7	180 DK	california @ florida state	Jaivian Thomas	attd	o  	'+158	'+180	-	155	-	-	-	-
-1.8	-145 ESPN	miami ohio @ notre dame	Riley Leonard	attd	o  	-166	-155	-145/+107	-	-	-	-175	-
-1.9	400 MGM	michigan state @ boston college	Jaedn Skeete	attd	o  	'+375	'+330	-	400	-	-	230	-
-1.9	550 FD	miami florida @ south florida	Mark Fletcher	team_ftd	o  	'+550	-	-	400	-	-	-	-
-2.0	150 DK	ucla @ lsu	Aaron Anderson	attd	o  	'+140	'+150	'+125/-175	-	-	-	138	-
-2.0	370 FD	arkansas @ auburn	Isaiah Sategna	attd	o  	'+370	'+200	'+300/-475	-	-	-	280	-
-2.1	210 ESPN	arkansas @ auburn	Keandre Lambert Smith	attd	o  	'+144	'+195	'+210/-300	-	-	-	200	-
-2.2	220 DK	utah @ oklahoma state	Cameron Rising	attd	o  	'+176	'+220	-	200	-	-	-	-
-2.2	460 FD	ucla @ lsu	Caden Durham	team_ftd	o  	'+460	-	-	350	-	-	-	-
-2.5	-115 DK	ucla @ lsu	Tj Harden	attd	o  	-136	-115	-	-120	-	-	-	-
-2.5	140 CZ	michigan state @ boston college	Lewis Bond	attd	o  	'+130	'+115	-	130	-	-	140	-
-2.5	300 ESPN	miami ohio @ notre dame	Jeremiyah Love	ftd	o  	'+230	'+265	'+300/-450	-	-	-	-	-
-2.7	120 ESPN	arizona state @ texas tech	Josh Kelly	attd	o  	'+106	'+110	'+120/-165	-	-	-	110	-
-2.8	130 MGM	georgia tech @ louisville	Haynes King	attd	o  	'+126	'+125	'+115/-160	130	-	-	-110	-
-3.0	305 FD	california @ florida state	Jakhi Douglas	attd	o  	'+305	'+265	-	240	-	-	-	-
-3.1	165 ESPN	utah @ oklahoma state	Brant Kuithe	attd	o  	'+150	'+130	'+165/-235	150	-	-	160	-
-3.1	-275 MGM	tennessee @ oklahoma	Dylan Sampson	attd	o  	-280	-275	-	-275	-	-	-450	-
-3.2	-180 ESPN	arizona state @ texas tech	Cam Skattebo	attd	o  	-	-	-180/+130	-	-	-	-200	-
-3.5	185 FD	tennessee @ oklahoma	Squirrel White	attd	o  	'+185	'+150	-	180	-	-	163	-
-3.7	460 ESPN	vanderbilt @ missouri	Richie Hoskins	attd	o  	-	'+260	'+460/-850	-	-	-	450	-
-3.7	155 DK	ucla @ lsu	Chris Hilton	attd	o  	'+140	'+155	-	-	-	-	-	-
-3.8	150 FD	usc @ michigan	Alex Orji	attd	o  	'+150	'+150	'+135/-185	140	-	-	110	-
-3.8	-155 DK	ucla @ lsu	Kyren Lacy	attd	o  	-166	-155	-175/+125	-160	-	-	-167	-
-4.0	450 FD	michigan state @ boston college	Montorie Foster	team_ftd	o  	'+450	-	-	350	-	-	-	-
-4.1	600 FD	utah @ oklahoma state	Alan Bowman	attd	o  	'+600	'+450	'+420/-750	575	-	-	320	-
-4.2	102 FD	utah @ oklahoma state	Brennan Presley	attd	o  	'+102	'+100	-102/-134	100	-	-	-150	-
-4.2	210 MGM	tennessee @ oklahoma	Dylan Sampson	team_ftd	o  	'+185	-	-	210	-	-	-	-
-4.5	310 FD	california @ florida state	Mavin Anderson	attd	o  	'+310	'+220	-	300	-	-	-	-
-4.6	200 MGM	utah @ oklahoma state	Money Parks	attd	o  	'+200	'+160	'+175/-250	200	-	-	160	-
-4.8	240 MGM	utah @ oklahoma state	Mike Mitchell	attd	o  	'+215	'+205	-	240	-	-	-	-
-5.1	-200 CZ	vanderbilt @ missouri	Luther Burdeni	attd	o  	-	-210	-	-	-	-	-200	-
-5.3	-215 FD	miami florida @ south florida	Xavier Restrepo	attd	o  	-215	-	-	-225	-	-	-	-
-5.3	104 FD	miami florida @ south florida	Byrum Brown	attd	o  	'+104	-	-	100	-	-	-	-
-5.4	100 MGM	miami florida @ south florida	Mark Fletcher	attd	o  	-104	-	-	100	-	-	-	-
-5.6	190 MGM	tennessee @ oklahoma	Chris Brazzell	attd	o  	'+188	'+155	-	190	-	-	175	-
-5.7	185 DK	tennessee @ oklahoma	Jackson Arnold	attd	o  	'+182	'+185	-	180	-	-	145	-
-5.7	333 MGM	miami florida @ south florida	Byrum Brown	team_ftd	o  	'+280	-	-	333	-	-	-	-
-5.9	105 MGM	miami florida @ south florida	Jacolby George	attd	o  	'+102	-	-	105	-	-	-	-
-6.2	125 DK	california @ florida state	Lawrance Toafili	attd	o  	'+120	'+125	-	-	-	-	-	-
-6.4	190 FD	usc @ michigan	Zachariah Branch	attd	o  	'+190	'+180	-	170	-	-	-	-
-6.4	750 FD	ucla @ lsu	Garrett Nussmeier	attd	o  	'+750	'+500	'+500/-1000	575	-	-	450	-
-6.4	200 FD	arizona state @ texas tech	Cameron Dickey	attd	o  	'+200	'+175	-	-	-	-	190	-
-6.5	900 ESPN	ucla @ lsu	Josh Williams	ftd	o  	'+600	'+600	'+900/-2000	550	-	-	-	-
-6.5	-265 FD	arizona state @ texas tech	Tahj Brooks	attd	o  	-265	-265	-265/+185	-	-	-	-350	-
-6.5	-184 FD	arizona state @ texas tech	Cameron Skattebo	attd	o  	-184	-185	-	-	-	-	-	-
-6.6	-120 MGM	georgia tech @ louisville	Jamal Haynes	attd	o  	-120	-120	-122/-114	-120	-	-	-133	-
-6.6	950 FD	arkansas @ auburn	Taylen Green	ftd	o  	'+950	'+800	'+600/-1200	-	-	-	-	-
-6.6	220 FD	arizona state @ texas tech	Jalin Conyers	attd	o  	'+220	'+175	'+200/-290	-	-	-	188	-
-6.6	162 FD	arizona state @ texas tech	Coy Eakin	attd	o  	'+162	'+160	'+148/-210	-	-	-	138	-
-6.7	165 ESPN	vanderbilt @ missouri	Diego Pavia	attd	o  	-	'+150	'+165/-235	-	-	-	160	-
-6.7	190 MGM	georgia tech @ louisville	Chris Bell	attd	o  	'+182	'+140	'+175/-250	190	-	-	170	-
-6.7	400 MGM	california @ florida state	Trond Grizzell	attd	o  	'+390	'+265	-	400	-	-	-	-
-6.7	120 FD	california @ florida state	Jaydn Ott	attd	o  	'+120	'+120	-	115	-	-	-	-
-6.8	120 DK	georgia tech @ louisville	Jacorey Brooks	attd	o  	'+114	'+120	'+115/-160	115	-	-	110	-
-6.8	375 MGM	georgia tech @ louisville	Chase Lane	attd	o  	'+370	'+255	-	375	-	-	-	-
-7.0	120 CZ	ucla @ lsu	Mason Taylor	attd	o  	'+110	'+115	'+115/-160	115	-	-	120	-
-7.0	4700 FD	ucla @ lsu	Garrett Nussmeier	ftd	o  	'+4700	'+2800	'+2000/-6000	3300	-	-	-	-
-7.0	460 FD	tennessee @ oklahoma	Brenen Thompson	attd	o  	'+460	'+300	-	425	-	-	375	-
-7.5	220 DK	tennessee @ oklahoma	Desean Bishop	attd	o  	'+205	'+220	-	200	-	-	-	-
-7.5	270 MGM	michigan state @ boston college	Aidan Chiles	attd	o  	'+240	'+255	-	270	-	-	225	-
-7.5	140 MGM	miami florida @ south florida	Sean Atkins	attd	o  	'+136	-	-	140	-	-	-	-
-7.5	122 FD	miami florida @ south florida	Cam Ward	attd	o  	'+122	-	-	120	-	-	-	-
-7.7	700 FD	ucla @ lsu	Kaleb Jackson	team_ftd	o  	'+700	-	-	500	-	-	-	-
-7.7	700 MGM	tennessee @ oklahoma	Jovantae Barnes	2+td	o  	'+500	-	-	700	-	-	-	-
-7.7	700 FD	california @ florida state	Malik Benson	team_ftd	o  	'+700	-	-	500	-	-	-	-
-7.8	144 FD	miami florida @ south florida	Isaiah Horton	attd	o  	'+144	-	-	140	-	-	-	-
-7.9	285 FD	usc @ michigan	Lake Mcree	attd	o  	'+285	'+275	'+250/-375	240	-	-	210	-
-8.1	400 FD	utah @ oklahoma state	Brennan Presley	team_ftd	o  	'+400	-	-	333	-	-	-	-
