EV	Player	Prop	Team	FD	DK	Bet365	MGM	Kambi	CZ	BR
14.1	thomas yassmin	attd	utah @ baylor	165	200	-	165	-	-	-
14.0	joey aguilar	attd	appalachian state @ north carolina	470	550	-	-	-	-	-
14.0	jatavion sanders	attd	texas @ alabama	165	190	-	210	-	-	-
14.0	casey filkins	attd	stanford @ usc	135	185	-	185	-	-	-
14.0	cade mcnamara	attd	iowa @ iowa state	750	850	-	700	-	-	-
13.8	cameron rising	attd	utah @ baylor	190	230	-	190	-	-	-
13.3	gibran payne	attd	notre dame @ nc state	200	215	-	155	-	-	-
13.2	rivaldo fairweather	attd	auburn @ california	300	330	-	240	-	-	-
12.6	isaiah bond	attd	texas @ alabama	-110	-110	-	115	-	-	-
12.5	iowa state defense	attd	iowa @ iowa state	800	700	-	-	-	-	-
12.3	rueben owens	attd	texas a&m @ miami florida	250	265	-	200	-	-	-
12.1	bryson barnes	attd	utah @ baylor	190	225	-	190	-	-	-
11.7	aidan bitter	attd	iowa @ iowa state	420	475	-	425	-	-	-
11.6	jayden thomas	attd	notre dame @ nc state	170	165	-	120	-	-	-
11.2	easton dean	attd	iowa @ iowa state	400	450	-	475	-	-	-
11.1	jaden greathouse	attd	notre dame @ nc state	175	165	-	200	-	-	-
11.1	bryce bohanon	attd	mississippi @ tulane	-	1900	-	1700	-	-	-
10.9	giovanni sanders	attd	oklahoma state @ arizona state	130	155	-	130	-	-	-
10.8	xavier worthy	attd	texas @ alabama	105	105	-	125	-	-	-
10.6	taylen green	attd	ucf @ boise state	135	160	-	-	-	-	-
10.5	stevo klotz	attd	iowa @ iowa state	-	950	-	850	-	-	-
10.3	chris tyree	attd	notre dame @ nc state	210	220	-	170	-	-	-
10.2	jarquez hunter	attd	auburn @ california	-210	-175	-	-250	-	-	-
10.2	austin jones	attd	stanford @ usc	-175	-265	-	-250	-	-	-
10.0	kamari morales	attd	appalachian state @ north carolina	-110	110	-	-	-	-	-
10.0	jonah burton	attd	utah @ baylor	440	360	-	450	-	-	-
10.0	henry parrish	attd	texas a&m @ miami florida	-105	105	-	120	-	-	-
9.7	leshon williams	attd	iowa @ iowa state	260	295	-	250	-	-	-
9.5	jonathon brooks	attd	texas @ alabama	165	155	-	110	-	-	-
9.5	jermaine burton	attd	texas @ alabama	120	115	-	-150	-	-	-
9.5	javon baker	attd	ucf @ boise state	110	130	-	-	-	-	-
9.4	mark redman	attd	ucla @ san diego state	380	425	-	380	-	-	-
9.4	logan loya	attd	ucla @ san diego state	220	250	-	220	-	-	-
9.3	riley smith	attd	ucf @ boise state	330	370	-	-	-	-	-
9.1	carson hansen	attd	iowa @ iowa state	-	1100	-	1000	-	-	-
8.9	syveon wilkerson	attd	nebraska @ colorado	170	150	-	145	-	-	-
8.7	marshawn lloyd	attd	stanford @ usc	-340	-525	-	-550	-	-	-
8.6	travis hunter	attd	nebraska @ colorado	-145	-125	-	-145	-	-	-
8.6	jaylen jenkins	attd	wisconsin @ washington state	190	215	-	190	-	-	-
8.4	mikey matthews	attd	utah @ baylor	320	350	-	325	-	-	-
8.3	jaylon glover	attd	utah @ baylor	200	200	-	200	-	-	-
8.3	jacorey brooks	attd	texas @ alabama	200	200	-	225	-	-	-
8.3	casey kelly	attd	oregon @ texas tech	-	500	-	550	-	-	-
8.2	diante vines	attd	iowa @ iowa state	330	360	-	320	-	-	-
8.1	john humphreys	attd	stanford @ usc	230	260	-	240	-	-	-
8.1	erick all	attd	iowa @ iowa state	500	475	-	390	-	-	-
8.0	kyle williams	attd	wisconsin @ washington state	150	170	-	150	-	-	-
