EV	Player	Prop	Team	FD	DK	Bet365	MGM	Kambi	CZ	BR
0.7	cameron skattebo	attd	oklahoma state @ arizona state	-135	-130	-	-130	-	-	-
0.5	richard reese	attd	utah @ baylor	290	285	-	290	-	-	-
0.5	porter rooks	attd	notre dame @ nc state	280	275	-	280	-	-	-
0.2	colston loveland	attd	unlv @ michigan	-165	-	-	-165	-	-	-
0.0	xzavier henderson	attd	cincinnati @ pittsburgh	190	-	-	-	-	-	-
0.0	xavier white	attd	oregon @ texas tech	-	270	-	270	-	-	-
0.0	will nixon	attd	tulsa @ washington	100	-	-	100	-	-	-
0.0	wesley grimes	attd	vanderbilt @ wake forest	110	-	-	110	-	-	-
-0.0	washington defense	attd	tulsa @ washington	135	-	-	135	-	-	-
0.0	vanderbilt defense	attd	vanderbilt @ wake forest	550	-	-	550	-	-	-
0.0	unlv defense	attd	unlv @ michigan	1000	-	-	1000	-	-	-
0.0	tyrone tracy	attd	purdue @ virginia tech	190	-	-	190	-	-	-
0.0	tyquan henderson	attd	southern miss @ florida state	800	-	-	800	-	-	-
0.0	tyler moore	attd	iowa @ iowa state	-	1000	-	1000	-	-	-
0.0	tucker ashcraft	attd	wisconsin @ washington state	-	310	-	310	-	-	-
-0.0	tsion nunnally	attd	wisconsin @ washington state	-	600	-	600	-	-	-
0.0	tez johnson	attd	oregon @ texas tech	-110	-110	-	-110	-	-	-
0.0	texas a&m defense	attd	texas a&m @ miami florida	400	400	-	-	-	-	-
0.0	tarvarish dawson	attd	nebraska @ colorado	-	340	-	340	-	-	-
0.0	shield taylor	attd	stanford @ usc	-	1400	-	1400	-	-	-
-0.0	senika mckie	attd	unlv @ michigan	600	-	-	600	-	-	-
0.0	sedrick irvin	attd	stanford @ usc	-	1400	-	1400	-	-	-
-0.0	sedrick alexander	attd	vanderbilt @ wake forest	155	-	-	155	-	-	-
0.0	sean jackson	attd	auburn @ california	-	1000	-	1000	-	-	-
0.0	savion red	attd	texas @ alabama	-	900	-	900	-	-	-
0.0	sam roush	attd	stanford @ usc	-	650	-	650	-	-	-
-0.0	rodney hill	attd	southern miss @ florida state	135	-	-	135	-	-	-
0.0	reggie brown	attd	mississippi @ tulane	-	700	-	700	-	-	-
0.0	ray ray joseph	attd	texas a&m @ miami florida	-	900	-	900	-	-	-
0.0	purdue defense	attd	purdue @ virginia tech	650	-	-	650	-	-	-
-0.0	patrick smith	attd	vanderbilt @ wake forest	130	-	-	130	-	-	-
0.0	patrick herbert	attd	oregon @ texas tech	-	250	-	250	-	-	-
0.0	montana lemonious craig	attd	arizona @ mississippi state	150	-	-	150	-	-	-
-0.0	mitch griffis	attd	vanderbilt @ wake forest	230	-	-	230	-	-	-
0.0	michigan defense	attd	unlv @ michigan	340	-	-	340	-	-	-
0.0	michael penix	attd	tulsa @ washington	165	-	-	165	-	-	-
0.0	marquis shoulders	attd	tulsa @ washington	190	-	-	190	-	-	-
-0.0	malachi thomas	attd	purdue @ virginia tech	195	-	-	195	-	-	-
0.0	malachi coleman	attd	nebraska @ colorado	-	750	-	750	-	-	-
-0.0	makai lemon	attd	stanford @ usc	-	600	-	600	-	-	-
0.0	luke lindenmeyer	attd	nebraska @ colorado	-	1100	-	1100	-	-	-
0.0	lideatrick griffin	attd	arizona @ mississippi state	100	-	-	100	-	-	-
-0.0	lawrance toafili	attd	southern miss @ florida state	210	-	-	210	-	-	-
0.0	kyron hudson	attd	stanford @ usc	-	175	-	175	-	-	-
-0.0	kyle morlock	attd	southern miss @ florida state	210	-	-	210	-	-	-
0.0	konata mumpfield	attd	cincinnati @ pittsburgh	170	-	-	-	-	-	-
0.0	keon coleman	attd	southern miss @ florida state	-300	-	-	-300	-	-	-
-0.0	kendrick law	attd	texas @ alabama	-	500	-	500	-	-	-
0.0	kenan christon	attd	ucla @ san diego state	165	165	-	165	-	-	-
0.0	keilan robinson	attd	texas @ alabama	-	380	-	380	-	-	-
0.0	justin ball	attd	vanderbilt @ wake forest	340	-	-	340	-	-	-
-0.0	jude wolfe	attd	stanford @ usc	-	600	-	600	-	-	-
0.0	jordan ford	attd	tulsa @ washington	160	-	-	160	-	-	-
0.0	johnny wilson	attd	southern miss @ florida state	-185	-	-	-185	-	-	-
0.0	johnny richardson	attd	ucf @ boise state	105	105	-	-	-	-	-
0.0	jayson raines	attd	stanford @ usc	-	800	-	800	-	-	-
-0.0	jaylin lane	attd	purdue @ virginia tech	125	-	-	125	-	-	-
-0.0	jayden york	attd	oregon @ texas tech	-	500	-	500	-	-	-
0.0	jayden mcgowan	attd	vanderbilt @ wake forest	140	-	-	140	-	-	-
-0.0	jayden limar	attd	oregon @ texas tech	-	210	-	210	-	-	-
0.0	jayden de laura	attd	arizona @ mississippi state	180	-	-	180	-	-	-
0.0	janiran bonner	attd	nebraska @ colorado	-	1100	-	1100	-	-	-
-0.0	jalen mcmillan	attd	tulsa @ washington	-600	-	-	-600	-	-	-
0.0	jalen knox	attd	mississippi @ tulane	-	400	-	400	-	-	-
0.0	jakarius caston	attd	southern miss @ florida state	270	-	-	270	-	-	-
-0.0	jaheim bell	attd	southern miss @ florida state	125	-	-	125	-	-	-
-0.0	jacob de jesus	attd	unlv @ michigan	500	-	-	500	-	-	-
0.0	jackson carver	attd	texas a&m @ miami florida	-	700	-	700	-	-	-
-0.0	jack westover	attd	tulsa @ washington	130	-	-	130	-	-	-
-0.0	isaiah horton	attd	texas a&m @ miami florida	-	1300	-	1300	-	-	-
0.0	isaiah hamilton	attd	wisconsin @ washington state	-	1100	-	1100	-	-	-
0.0	hudson card	attd	purdue @ virginia tech	320	-	-	320	-	-	-
-0.0	henry teeter	attd	oregon @ texas tech	-	500	-	500	-	-	-
0.0	grant wells	attd	purdue @ virginia tech	175	-	-	175	-	-	-
-0.0	george holani	attd	ucf @ boise state	-115	-115	-	-	-	-	-
0.0	gamarion carter	attd	vanderbilt @ wake forest	360	-	-	360	-	-	-
0.0	frank gore	attd	southern miss @ florida state	220	-	-	220	-	-	-
0.0	ethan hall	attd	tulsa @ washington	550	-	-	550	-	-	-
-0.0	emory jones	attd	cincinnati @ pittsburgh	230	-	-	-	-	-	-
0.0	emmett johnson	attd	nebraska @ colorado	-	550	-	550	-	-	-
0.0	elijah yelverton	attd	nebraska @ colorado	-	400	-	400	-	-	-
-0.0	dylan paine	attd	wisconsin @ washington state	-	600	-	600	-	-	-
0.0	djouvensky schlenbaker	attd	wisconsin @ washington state	-	2000	-	2000	-	-	-
0.0	dillon johnson	attd	tulsa @ washington	-250	-	-	-250	-	-	-
0.0	devin mockobee	attd	purdue @ virginia tech	-135	-	-	-135	-	-	-
0.0	devan williams	attd	tulsa @ washington	185	-	-	185	-	-	-
0.0	demond claiborne	attd	vanderbilt @ wake forest	110	-	-	110	-	-	-
0.0	deion burks	attd	purdue @ virginia tech	-105	-	-	-105	-	-	-
-0.0	dee wiggins	attd	cincinnati @ pittsburgh	230	-	-	-	-	-	-
-0.0	darwin barlow	attd	stanford @ usc	-	600	-	600	-	-	-
0.0	daquan felton	attd	purdue @ virginia tech	220	-	-	220	-	-	-
0.0	dante moore	attd	ucla @ san diego state	-105	-	-	-105	-	-	-
0.0	dante dowdell	attd	oregon @ texas tech	-	550	-	550	-	-	-
0.0	daequan wright	attd	purdue @ virginia tech	340	-	-	340	-	-	-
-0.0	daejon reynolds	attd	cincinnati @ pittsburgh	210	-	-	-	-	-	-
0.0	creed whittemore	attd	arizona @ mississippi state	140	-	-	140	-	-	-
-0.0	corey kiner	attd	cincinnati @ pittsburgh	130	-	-	-	-	-	-
0.0	cooper hausmann	attd	nebraska @ colorado	-	1100	-	1100	-	-	-
0.0	chamon metayer	attd	cincinnati @ pittsburgh	250	-	-	-	-	-	-
-0.0	cartevious norton	attd	iowa @ iowa state	230	230	-	230	-	-	-
0.0	carson steele	attd	ucla @ san diego state	-175	-175	-	-175	-	-	-
-0.0	cameron hite	attd	vanderbilt @ wake forest	-120	-	-	-120	-	-	-
-0.0	california defense	attd	auburn @ california	500	500	-	-	-	-	-
0.0	cade yacamelli	attd	wisconsin @ washington state	-	900	-	900	-	-	-
-0.0	bucky irving	attd	oregon @ texas tech	-210	-210	-	-210	-	-	-
0.0	bub means	attd	cincinnati @ pittsburgh	110	-	-	-	-	-	-
0.0	brashard smith	attd	texas a&m @ miami florida	-	700	-	700	-	-	-
0.0	brandon hayes	attd	southern miss @ florida state	900	-	-	900	-	-	-
-0.0	blake corum	attd	unlv @ michigan	-1600	-	-	-1600	-	-	-
0.0	billy wiles	attd	southern miss @ florida state	650	-	-	650	-	-	-
0.0	billy rivierei	attd	wisconsin @ washington state	-	475	-	475	-	-	-
0.0	bill jackson	attd	tulsa @ washington	260	-	-	260	-	-	-
0.0	bhayshul tuten	attd	purdue @ virginia tech	120	-	-	120	-	-	-
-0.0	benjamin brahmer	attd	iowa @ iowa state	-	1300	-	1300	-	-	-
-0.0	baylor defense	attd	utah @ baylor	600	-	-	600	-	-	-
0.0	arizona defense	attd	arizona @ mississippi state	550	-	-	550	-	-	-
-0.0	antonio harmon	attd	arizona @ mississippi state	280	-	-	280	-	-	-
0.0	andre dollar	attd	wisconsin @ washington state	-	1100	-	1100	-	-	-
0.0	ali jennings	attd	purdue @ virginia tech	-135	-	-	-135	-	-	-
-0.0	aj swann	attd	vanderbilt @ wake forest	280	-	-	280	-	-	-
0.0	abdur rahmaan yaseen	attd	purdue @ virginia tech	180	-	-	180	-	-	-
