EV	Player	Team	Line	FD	DK	Bet365	MGM	Kambi
19.8	hank bachmeier	louisiana tech	330 (fd)	330	-	+275	-	245
9.7	josiah miamen	florida intl	240 (fd)	240	-	+200	-	220
5.1	grayson james	florida intl	170 (fd)	170	-	+150	-	165
4.7	nate jones	louisiana tech	210 (fd)	210	-	+175	-	220
3.2	julien lewis	louisiana tech	160 (fd)	160	-	+137	-	170
0.9	kejon owens	florida intl	240 (fd)	240	-	+210	-	270
-1.2	cyrus allen	louisiana tech	-185 (fd)	-185	-	-150	-	-215
-2.7	jalen bracey	florida intl	120 (fd)	120	-	+125	-	128
-6.8	smoke harris	louisiana tech	-260 (fd)	-260	-	-175	-	-245
-7.5	tyre shelton	louisiana tech	160 (fd)	160	-	+150	-	220
-8.2	charvis thornton	louisiana tech	-360 (fd)	-360	-	-200	-	-335
-10.3	kris mitchell	florida intl	135 (fd)	135	-	+125	-	215
-10.7	dean patterson	florida intl	300 (fd)	300	-	+300	-	410
-14.1	shomari lawrence	florida intl	125 (fd)	125	-	+125	-	215
-25.7	tru edwards	louisiana tech	120 (fd)	120	-	+175	-	220
