PLAYER	ECR / ADP	REC	REC_YD	REC_TD	POINTS
Jamarr Chase	1.03 / 1.03	100.7	1352.4	10.7	199.44
Justin Jefferson	1.01 / 1.01	107.3	1449.0	8.7	197.1
Cooper Kupp	1.07 / 1.07	108.3	1281.3	9.0	182.13
Tyreek Hill	1.05 / 1.06	101.6	1324.3	7.7	178.63
Davante Adams	2.05 / 2.05	98.3	1227.6	8.7	174.96
Stefon Diggs	1.11 / 1.11	99.7	1188.8	8.6	170.48
Aj Brown	2.03 / 2.01	77.0	1139.8	7.9	161.38
Ceedee Lamb	2.01 / 1.12	94.9	1149.0	7.6	160.5
Garrett Wilson	2.06 / 2.09	84.2	1142.2	7.7	160.42
Jaylen Waddle	2.09 / 2.12	82.9	1098.3	7.0	151.83
Tee Higgins	3.04 / 3.07	76.1	1035.3	6.7	143.73
Chris Olave	2.10 / 3.02	76.9	1069.6	5.6	140.56
Amon Ra St Brown	2.04 / 2.07	97.4	1062.0	5.7	140.4
Dk Metcalf	3.10 / 3.11	76.4	950.8	7.5	140.08
Devonta Smith	3.01 / 3.03	80.7	998.8	6.6	139.48
*Jerry Jeudy	4.09 / 5.09	71.3	992.3	6.1	135.83
Amari Cooper	4.02 / 4.06	73.2	953.4	6.7	135.54
Calvin Ridley	4.01 / 4.02	76.1	962.2	6.3	134.02
Terry Mclaurin	4.12 / 5.02	73.9	1043.9	4.9	133.79
Mike Evans	6.12 / 7.06	65.5	910.9	5.9	126.49
Keenan Allen	3.12 / 4.11	86.3	916.9	5.6	125.29
Tyler Lockett	6.01 / 6.05	71.1	885.8	5.9	123.98
Mike Williams	6.02 / 6.11	61.6	875.0	5.9	122.9
Deandre Hopkins	5.03 / 5.03	75.8	900.4	5.2	121.24
Gabe Davis	8.01 / 8.11	52.1	800.2	6.8	120.82
Dj Moore	4.06 / 5.05	65.8	866.6	5.5	119.66
Christian Watson	5.04 / 6.03	64.2	861.2	5.4	118.52
Christian Kirk	6.07 / 7.02	72.0	850.1	5.5	118.01
Brandon Aiyuk	5.12 / 6.07	66.1	849.5	5.3	116.75
Drake London	5.05 / 5.12	73.6	859.6	4.9	115.36
Chris Godwin	5.10 / 6.06	82.8	853.1	4.7	113.51
Marquise Brown	7.01 / 7.12	72.6	851.4	4.7	113.34
*Treylon Burks	8.09 / 9.05	62.6	837.9	4.6	111.39
Michael Pittman	7.05 / 7.05	75.6	832.0	4.6	110.8
George Pickens	7.10 / 7.10	57.0	804.4	4.9	109.84
Brandin Cooks	8.05 / 8.12	64.4	793.6	5.0	109.36
Jordan Addison	7.11 / 8.05	66.2	789.3	5.0	108.93
Diontae Johnson	6.04 / 7.09	81.2	833.8	4.2	108.58
*Jaxon Smith Njigba	8.04 / 8.04	65.3	797.5	4.8	108.55
Jahan Dotson	7.07 / 8.06	57.4	781.5	4.9	107.55
Deebo Samuel	4.04 / 4.03	62.4	790.3	4.5	106.03
Michael Thomas	9.09 / 9.04	72.3	746.9	4.7	102.89
Courtland Sutton	8.10 / 10.06	57.2	756.9	4.5	102.69
*Darnell Mooney	12.01 / 15.01	55.9	757.4	4.2	100.94
Jakobi Meyers	10.05 / 14.04	67.5	763.6	4.0	100.36
Juju Smith Schuster	9.10 / 10.12	74.6	724.2	4.2	97.62
Tyler Boyd	12.02 / 13.10	58.9	692.7	4.5	96.27
*Rashee Rice	16.09 / 15.12	50.2	657.2	5.0	95.72
Zay Flowers	9.04 / 10.08	53.2	660.7	4.9	95.47
*Zay Jones	12.09 / 15.10	63.5	705.5	4.1	95.15
Allen Lazard	11.01 / 11.12	52.8	658.6	4.7	94.06
Quentin Johnston	9.12 / 11.03	56.8	649.4	4.6	92.54
Skyy Moore	10.03 / 11.07	56.2	635.0	4.8	92.3
Rashod Bateman	10.01 / 12.07	48.5	660.7	4.0	90.07
*Jameson Williams	12.03 / 12.05	43.5	653.9	4.0	89.39
*Kadarius Toney	10.06 / 9.12	54.5	623.5	4.5	89.35
Michael Gallup	13.05 / 15.08	50.4	621.6	4.5	89.16
Dj Chark	13.03 / 16.05	45.2	644.9	3.8	87.29
Odell Beckham	11.02 / 9.11	45.2	595.5	4.5	86.55
Romeo Doubs	11.10 / 13.03	51.7	589.1	4.6	86.51
*Jonathan Mingo	14.12 / 18.11	50.8	646.9	3.5	85.69
Nico Collins	10.10 / 14.11	50.7	640.4	3.6	85.64
Marquez Valdes Scantling	15.05 / 20.03	40.2	638.4	3.6	85.44
Adam Thielen	12.08 / 12.10	56.4	576.8	4.5	84.68
Elijah Moore	9.05 / 10.04	48.9	604.0	3.9	83.8
*Jayden Reed	16.04 / 20.10	52.0	614.0	3.7	83.6
*Kj Osborn	14.05 / 18.08	49.0	572.6	4.0	81.26
Donovan Peoples Jones	14.01 / 18.06	43.5	582.5	3.7	80.45
*Rondale Moore	12.10 / 17.05	64.2	646.2	2.6	80.22
*Devante Parker	16.03 / 23.07	42.5	600.0	3.3	79.8
Alec Pierce	14.07 / 19.02	42.4	578.4	3.5	78.84
Van Jefferson	14.02 / 19.12	42.6	564.6	3.7	78.66
*Mecole Hardman	 / 	47.7	560.0	3.6	77.6
Hunter Renfrow	15.12 / 21.10	55.4	562.9	3.3	76.09
*Rashid Shaheed	14.06 / 21.02	40.8	567.6	3.2	75.96
*Marvin Mims	16.02 / 20.04	40.8	543.6	3.3	74.16
*Darius Slayton	15.07 / 22.07	37.1	563.2	2.9	73.72
Marvin Jones	 / 	44.2	502.8	3.8	73.08
*Khalil Shakir	 / 	37.9	521.9	3.2	71.39
*Curtis Samuel	14.09 / 21.12	51.2	539.8	2.9	71.38
Isaiah Hodgins	15.03 / 20.09	45.6	487.8	3.6	70.38
Robert Woods	17.02 / 22.11	51.8	547.3	2.6	70.33
*John Metchie	17.03 / 20.07	41.5	520.8	3.0	70.08
*Parris Campbell	16.08 / 19.11	47.2	529.5	2.7	69.15
*Jalin Hyatt	17.10 / 14.01	38.7	501.1	3.0	68.11
*Chase Claypool	17.07 / 22.03	37.5	505.3	2.9	67.93
*Allen Robinson	 / 	42.0	486.6	3.0	66.66
*Wandale Robinson	 / 	41.0	487.0	2.4	63.1
*Tyquan Thornton	 / 	35.0	462.4	2.7	62.44
*Mack Hollins	 / 	36.4	432.3	2.8	60.03
*Josh Downs	 / 	36.5	465.6	2.2	59.76
*Joshua Palmer	 / 	35.8	443.5	2.5	59.35
*Kendrick Bourne	 / 	34.3	435.1	2.5	58.51
*Richie James	 / 	34.8	426.9	2.5	57.69
*Tank Dell	 / 	38.7	452.9	1.9	56.69
*Terrace Marshall	 / 	28.5	414.0	2.3	55.2
*Nick Westbrook Ikhine	 / 	29.1	393.2	2.5	54.32
*Josh Reynolds	 / 	28.5	372.4	2.5	52.24
*Greg Dortch	 / 	39.6	396.9	1.9	51.09
*Quez Watkins	 / 	25.5	337.1	2.0	45.71
*Kalif Raymond	 / 	29.2	328.5	2.0	44.85
*Michael Wilson	 / 	28.2	336.9	1.6	43.29
*Cedric Tillman	 / 	23.8	331.6	1.6	42.76
*Ben Skowronek	 / 	30.2	317.9	1.7	41.99
*Sterling Shepard	 / 	27.0	301.5	1.8	40.95
*Noah Brown	 / 	25.5	309.9	1.6	40.59
*Amari Rodgers	 / 	21.0	303.7	1.7	40.57
*Tutu Atwell	 / 	22.5	318.8	1.4	40.28
*Trey Palmer	 / 	28.8	306.1	1.4	39.01
*Isaiah Mckenzie	 / 	28.0	299.1	1.5	38.91
*Randall Cobb	 / 	29.0	291.0	1.6	38.7
