Player	ECR / ADP	PASS_YD	PASS_TD	INT	RUSH_ATT	RUSH_YD	RUSH_TD	REC	REC_YD	REC_TD	Points
Brenden Bates	-	-	-	-	-	-	-	7.4	71.0	0.7	11.3
Devin Duvernay	-	-	-	-	-	-	-	8.8	88.6	0.4	11.26
Xavier Hutchinson	-	-	-	-	-	-	-	6.4	76.6	0.6	11.26
Ronnie Bell	-	-	-	-	-	-	-	6.3	76.0	0.6	11.2
Case Keenum	-	205.0	1.0	1.0	-	8.0	0.0	-	-	-	11.0
Trey Lance	-	177.0	1.0	1.0	-	18.5	0.0	-	-	-	10.93
Boston Scott	-	-	-	-	2.6	54.8	0.5	2.4	17.5	0.1	10.83
Michael Pratt	-	190.0	1.0	1.0	-	12.0	0.0	-	-	-	10.8
Hunter Long	-	-	-	-	-	-	-	6.4	64.7	0.7	10.67
Jordan Travis	-	188.0	1.0	1.0	-	10.0	0.0	-	-	-	10.52
Mecole Hardman	-	-	-	-	-	-	-	5.2	65.5	0.6	10.15
Marcedes Lewis	-	-	-	-	-	-	-	6.9	59.2	0.7	10.12
Chris Conley	-	-	-	-	-	-	-	5.3	65.0	0.6	10.1
Israel Abanikanda	-	-	-	-	14.9	57.4	0.3	2.7	19.0	0.1	10.04
John Bates	-	-	-	-	-	-	-	8.1	76.3	0.4	10.03
Julian Hill	-	-	-	-	-	-	-	6.8	63.9	0.6	9.99
Bryce Ford Wheaton	-	-	-	-	-	-	-	7.1	74.8	0.4	9.88
Bo Melton	-	-	-	-	-	-	-	5.9	68.6	0.5	9.86
Ben Sims	-	-	-	-	-	-	-	5.6	49.6	0.8	9.76
River Cracraft	-	-	-	-	-	-	-	9.3	78.9	0.3	9.69
Jake Haener	-	119.0	1.0	0.0	-	8.0	0.0	-	-	-	9.56
John Stephens	-	-	-	-	-	-	-	6.2	63.9	0.5	9.39
Tim Jones	-	-	-	-	-	-	-	4.9	57.0	0.6	9.3
Sione Vaki	-	-	-	-	12.6	60.0	0.2	2.5	18.7	0.0	9.07
Stetson Bennett	-	92.0	1.0	0.0	-	13.0	0.0	-	-	-	8.98
Kyle Allen	-	149.0	1.0	1.0	-	10.0	0.0	-	-	-	8.96
Sean Clifford	-	154.0	1.0	1.0	-	8.0	0.0	-	-	-	8.96
Mike White	-	155.0	1.0	1.0	-	7.0	0.0	-	-	-	8.9
Avery Williams	-	-	-	-	7.6	35.0	0.4	3.9	23.2	0.1	8.82
Scotty Miller	-	-	-	-	-	-	-	5.6	69.6	0.3	8.76
Charlie Kolar	-	-	-	-	-	-	-	5.8	63.5	0.4	8.75
Bailey Zappe	-	140.0	1.0	1.0	-	11.0	0.0	-	-	-	8.7
Sam Hartman	-	100.0	1.0	0.0	-	7.0	0.0	-	-	-	8.7
Malik Heath	-	-	-	-	-	-	-	4.9	56.7	0.5	8.67
Raheem Blackshear	-	-	-	-	7.2	38.6	0.2	4.7	34.6	0.0	8.52
Brady Russell	-	-	-	-	-	-	-	5.0	48.5	0.6	8.45
Dareke Young	-	-	-	-	-	-	-	5.1	59.7	0.4	8.37
Nate Adkins	-	-	-	-	-	-	-	5.4	47.6	0.6	8.36
Easop Winston	-	-	-	-	-	-	-	5.1	59.3	0.4	8.33
Ko Kieft	-	-	-	-	-	-	-	4.8	46.1	0.6	8.21
Tanner Mckee	-	80.0	1.0	0.0	-	8.0	0.0	-	-	-	8.0
Dorian Thompson Robinson	-	121.5	0.5	0.5	-	21.0	0.0	-	-	-	7.96
Sam Ehlinger	-	76.0	1.0	0.0	-	8.0	0.0	-	-	-	7.84
Malik Davis	-	-	-	-	0.0	55.0	0.0	3.0	23.0	0.0	7.8
Alec Ingold	-	-	-	-	1.1	4.4	0.0	7.6	55.5	0.3	7.79
Charlie Woerner	-	-	-	-	-	-	-	7.3	58.5	0.3	7.65
Britain Covey	-	-	-	-	-	-	-	5.2	57.3	0.3	7.53
Eric Saubert	-	-	-	-	-	-	-	6.9	57.2	0.3	7.52
Trequan Smith	-	-	-	-	-	-	-	11.0	74.0	0.0	7.4
Hassan Haskins	-	-	-	-	9.5	42.1	0.1	2.7	17.4	0.1	7.15
Laviska Shenault	-	-	-	-	-	-	-	5.2	54.9	0.2	6.69
Emani Bailey	-	-	-	-	0.0	47.0	0.0	2.0	18.0	0.0	6.5
Terrace Marshall	-	-	-	-	-	-	-	5.0	64.0	0.0	6.4
Travis Homer	-	-	-	-	2.3	32.3	0.0	3.1	22.1	0.1	6.04
Patrick Taylor	-	-	-	-	7.9	28.0	0.2	1.9	13.5	0.1	5.95
Anthony Firkser	-	-	-	-	-	-	-	4.4	41.4	0.3	5.94
Gunner Olszewski	-	-	-	-	-	-	-	4.2	44.5	0.2	5.65
Dee Eskridge	-	-	-	-	-	-	-	4.0	56.0	0.0	5.6
Parker Hesse	-	-	-	-	-	-	-	3.7	36.8	0.3	5.48
Nick Muse	-	-	-	-	-	-	-	3.7	35.8	0.3	5.38
Chris Manhertz	-	-	-	-	-	-	-	5.4	46.8	0.1	5.28
Deejay Dallas	-	-	-	-	2.5	28.0	0.0	3.5	24.0	0.0	5.2
Reggie Gilliam	-	-	-	-	0.0	0.0	0.0	4.4	33.2	0.3	5.12
Josiah Deguara	-	-	-	-	-	-	-	5.0	51.0	0.0	5.1
Nyheim Hines	-	-	-	-	1.3	17.1	0.0	4.5	32.3	0.0	4.94
Dj Turner	-	-	-	-	-	-	-	3.3	37.4	0.2	4.94
Patrick Ricard	-	-	-	-	2.7	10.9	0.0	3.7	26.2	0.2	4.91
Adam Prentice	-	-	-	-	3.3	14.0	0.1	3.3	23.0	0.1	4.9
Keilan Robinson	-	-	-	-	0.0	33.0	0.0	2.0	15.0	0.0	4.8
Tylan Wallace	-	-	-	-	-	-	-	3.2	41.3	0.1	4.73
Michael Burton	-	-	-	-	2.4	9.4	0.0	3.7	24.5	0.2	4.59
Irvin Charles	-	-	-	-	-	-	-	2.6	29.7	0.2	4.17
Jhaquan Jackson	-	-	-	-	-	-	-	4.0	41.0	0.0	4.1
Kenny Yeboah	-	-	-	-	-	-	-	3.0	28.6	0.2	4.06
Keaontay Ingram	-	-	-	-	0.0	30.0	0.0	2.0	10.0	0.0	4.0
Tyler Johnson	-	-	-	-	-	-	-	2.1	25.1	0.2	3.71
Myles Gaskin	-	-	-	-	0.0	26.0	0.0	2.0	11.0	0.0	3.7
Cj Ham	-	-	-	-	2.0	8.3	0.0	3.3	22.4	0.1	3.67
Lamical Perine	-	-	-	-	0.0	25.0	0.0	2.0	11.0	0.0	3.6
Teagan Quitoriano	-	-	-	-	-	-	-	2.0	22.4	0.2	3.44
Montrell Washington	-	-	-	-	-	-	-	1.7	21.1	0.2	3.31
Simi Fehoko	-	-	-	-	-	-	-	1.7	20.2	0.2	3.22
Cody White	-	-	-	-	-	-	-	1.7	19.5	0.2	3.15
Stephen Carlson	-	-	-	-	-	-	-	2.0	19.4	0.2	3.14
Tommy Hudson	-	-	-	-	-	-	-	2.0	19.3	0.2	3.13
Velus Jones	-	-	-	-	-	-	-	1.9	25.1	0.1	3.11
Trishton Jackson	-	-	-	-	-	-	-	1.7	18.8	0.2	3.08
Kristian Wilkerson	-	-	-	-	-	-	-	1.5	17.6	0.2	2.96
Jake Tonges	-	-	-	-	-	-	-	1.8	17.4	0.2	2.94
Devin Leary	-	65.0	0.0	0.0	-	0.0	0.0	-	-	-	2.6
Byron Pringle	-	-	-	-	-	-	-	1.9	18.9	0.1	2.49
Mitchell Wilcox	-	-	-	-	-	-	-	3.4	24.4	0.0	2.44
David Sills	-	-	-	-	-	-	-	1.5	16.9	0.1	2.29
Deandre Carter	-	-	-	-	-	-	-	2.0	21.0	0.0	2.1
Tyrion Davis Price	-	-	-	-	0.0	17.0	0.0	1.0	3.0	0.0	2.0
