Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Kendrick Bourne	2.8	-	-	-	-	-	-	2.5	3
Robert Woods	2.8	-	-	-	-	-	-	2.5	3.1
Mack Hollins	2.8	-	-	-	-	-	-	2.8	2.9
Rondale Moore	2.6	-	-	-	-	-	-	2.2	3
Josh Reynolds	2.6	-	-	-	-	-	-	2.3	2.9
Nick Westbrook Ikhine	2.5	-	-	-	-	-	-	2.4	2.6
Terrace Marshall	2.4	-	-	-	-	-	-	1.5	3.3
Josh Downs	2.2	-	-	-	-	-	-	1.6	2.9
Khalil Shakir	2.2	-	-	-	-	-	-	1.6	2.8
Greg Dortch	2.1	-	-	-	-	-	-	1.4	2.8
Tank Dell	2.0	-	-	-	-	-	-	1.8	2.2
Tyquan Thornton	2.0	-	-	-	-	-	-	1.7	2.2
Quez Watkins	2.0	-	-	-	-	-	-	1.4	2.6
Kalif Raymond	2.0	-	-	-	-	-	-	1.3	2.8
Noah Brown	2.0	-	-	-	-	-	-	1.1	3
Randall Cobb	1.9	-	-	-	-	-	-	2.0	1.9
Sterling Shepard	1.8	-	-	-	-	-	-	1.7	1.8
Ben Skowronek	1.7	-	-	-	-	-	-	1.4	2
Dyami Brown	1.7	-	-	-	-	-	-	1.7	-
Olamide Zaccheaus	1.7	-	-	-	-	-	-	1.3	2.1
Isaiah Mckenzie	1.6	-	-	-	-	-	-	1.8	1.4
Michael Wilson	1.6	-	-	-	-	-	-	1.5	1.8
Puka Nacua	1.6	-	-	-	-	-	-	1.0	2.3
Jauan Jennings	1.6	-	-	-	-	-	-	1.3	2
Jamal Agnew	1.6	-	-	-	-	-	-	1.1	2.1
Calvin Austin	1.6	-	-	-	-	-	-	0.8	2.5
Tutu Atwell	1.5	-	-	-	-	-	-	1.3	1.6
Trey Palmer	1.5	-	-	-	-	-	-	1.5	-
Braxton Berrios	1.5	-	-	-	-	-	-	1.5	-
Cedrick Wilson	1.5	-	-	-	-	-	-	1.5	-
Demarcus Robinson	1.5	-	-	-	-	-	-	0.9	2.1
Chris Moore	1.4	-	-	-	-	-	-	0.9	1.9
Deonte Harty	1.3	-	-	-	-	-	-	1.3	-
Laviska Shenault	1.2	-	-	-	-	-	-	0.8	1.7
Trent Sherfield	1.2	-	-	-	-	-	-	1.2	-
Marquise Goodwin	1.2	-	-	-	-	-	-	1.3	1.2
Cedric Tillman	1.1	-	-	-	-	-	-	1.1	-
Zach Pascal	1.1	-	-	-	-	-	-	1.1	-
Trenton Irwin	1.1	-	-	-	-	-	-	1.1	1
Cade Johnson	1.1	-	-	-	-	-	-	1.1	-
Devin Duvernay	1.1	-	-	-	-	-	-	0.4	1.9
Nelson Agholor	1.1	-	-	-	-	-	-	0.4	1.9
Demario Douglas	1.0	-	-	-	-	-	-	1.0	-
Charlie Jones	1.0	-	-	-	-	-	-	1.0	-
Khadarel Hodge	1.0	-	-	-	-	-	-	1.0	-
Kayshon Boutte	0.9	-	-	-	-	-	-	0.9	-
Deven Thompkins	0.9	-	-	-	-	-	-	0.9	-
Rakim Jarrett	0.9	-	-	-	-	-	-	0.9	-
Samori Toure	0.9	-	-	-	-	-	-	0.8	1
Justyn Ross	0.9	-	-	-	-	-	-	0.8	1
Justin Watson	0.9	-	-	-	-	-	-	0.9	-
Deandre Carter	0.9	-	-	-	-	-	-	0.6	1.3
Trequan Smith	0.9	-	-	-	-	-	-	0.6	1.2
Marquez Callaway	0.8	-	-	-	-	-	-	1.7	0
Dontayvion Wicks	0.8	-	-	-	-	-	-	0.8	-
Britain Covey	0.8	-	-	-	-	-	-	0.8	-
Tre Nixon	0.8	-	-	-	-	-	-	0.8	-
