PLAYER	REC	REC_YD	REC_TD
Jauan Jennings	19.9	257.8	1.1
Michael Wilson	15.1	245.3	0.6
Olamide Zaccheaus	19.5	244.0	1.2
Noah Brown	21.2	239.6	0.9
Robert Tonyan	21.1	236.4	1.6
Foster Moreau	16.0	230.4	1.0
Demarcus Robinson	22.1	228.9	1.0
Jordan Akins	18.6	225.1	1.2
Noah Gray	20.1	225.0	1.0
Marquez Callaway	20.9	224.6	1.3
Charlie Jones	17.8	219.5	1.1
Amari Rodgers	21.0	218.1	1.1
Samori Toure	19.9	216.0	1.1
Will Dissly	19.0	215.6	1.1
David Bell	12.7	215.1	0.5
Donald Parham	17.9	215.1	1.5
At Perry	0.0	213.7	0.0
Tyler Scott	0.0	213.7	0.0
Jonnu Smith	18.5	211.6	1.2
Marquise Goodwin	15.8	210.2	1.4
Kyle Philips	13.2	207.6	0.6
Durham Smythe	20.8	207.4	1.0
Kalif Raymond	16.8	205.4	1.1
Kylen Granson	17.9	204.6	0.8
Jalen Guyton	15.8	204.3	0.9
Cedrick Wilson	19.3	203.1	1.0
Devin Duvernay	9.8	199.3	0.6
Randall Cobb	19.9	199.2	1.1
Cj Uzomah	18.3	199.0	1.4
Cole Beasley	17.7	196.8	1.3
Brevin Jordan	16.0	196.3	0.6
Darnell Washington	15.2	194.8	0.8
Brenton Strange	22.6	193.4	1.3
Cade Johnson	16.5	191.1	1.2
Taysom Hill	12.7	188.1	1.8
Harrison Bryant	17.8	186.8	0.9
Josiah Deguara	19.9	186.1	1.0
Justin Watson	13.7	183.9	0.9
Jimmy Graham	19.0	183.0	1.2
Albert Okwuegbunam	14.8	180.6	1.1
Trey Palmer	15.2	178.1	0.5
Brock Wright	17.3	177.0	2.0
Dyami Brown	11.8	176.6	0.6
Colby Parkinson	14.5	171.3	0.8
Mo Alie Cox	12.5	168.9	1.1
Trent Sherfield	11.6	168.3	0.7
Tucker Kraft	14.0	168.3	0.9
Elijah Higgins	11.0	167.6	0.7
Dan Arnold	10.0	166.2	0.8
Adam Trautman	11.4	163.1	0.6
Tommy Tremble	16.7	159.3	1.6
Charlie Kolar	14.8	158.7	0.9
Cody Chrest	12.9	156.8	1.0
Daniel Bellinger	9.9	153.4	0.6
Brycen Hopkins	13.1	151.0	0.9
Ian Thomas	16.5	150.5	0.7
Josh Oliver	15.2	150.4	1.1
Zach Pascal	14.0	141.3	0.5
Calvin Austin	11.3	141.0	0.5
Nelson Agholor	3.7	139.2	0.2
John Bates	14.2	138.3	0.7
Garett Maag	12.1	138.0	0.9
Tre Nixon	10.1	137.5	0.9
Lynn Bowden	12.3	136.9	0.7
Peyton Hendershot	11.2	135.9	1.1
Lawrence Cager	11.5	134.0	1.0
Greg Ward	10.0	131.0	0.6
Jamison Crowder	3.4	130.2	0.1
Parker Washington	0.0	129.3	0.0
Teagan Quitoriano	10.9	128.2	0.9
Trenton Irwin	13.5	125.1	0.5
Shi Smith	10.1	125.0	0.5
Jody Fortson	10.8	124.4	0.6
Cameron Latu	13.1	123.7	0.8
Khadarel Hodge	11.6	123.2	0.9
Jamal Agnew	14.6	123.1	0.5
Tre Mckitty	11.9	123.0	0.6
Eric Saubert	13.1	120.9	0.7
Andre Baccellia	9.1	116.9	0.4
James Mitchell	8.0	114.5	0.6
Steven Sims	9.3	112.2	0.6
Payne Durham	13.7	112.2	0.6
Josh Whyle	10.5	111.0	0.7
Miller Forristall	11.0	109.0	1.0
Kendall Hinton	9.6	108.9	0.5
Dee Eskridge	13.4	108.5	0.5
Deandre Carter	8.6	105.8	0.4
Geoff Swaim	20.9	105.7	0.7
Demario Douglas	0.0	105.5	0.0
Zack Kuntz	7.1	104.4	0.5
Jalen Tolbert	3.8	104.3	0.2
David Moore	8.7	104.1	0.6
Damiere Byrd	7.7	103.4	0.5
Jack Stoll	10.4	103.3	0.4
Jeremy Ruckert	6.5	100.7	0.5
Deonte Harty	2.6	100.3	0.2
Cole Turner	3.7	98.3	0.3
Tre Tucker	10.4	97.0	0.4
Equanimeous St Brown	6.7	95.3	0.4
Connor Heyward	7.1	94.7	0.6
Denzel Mims	5.8	94.6	0.3
Brayden Willis	10.0	94.4	0.7
Tyler Kroft	8.0	94.3	0.6
Hunter Long	5.3	94.3	0.5
Trequan Smith	5.8	94.1	0.4
Andrei Iosivas	0.0	93.7	0.0
Scott Miller	6.7	93.4	0.3
Jalen Virgil	7.1	92.2	0.6
Ashton Dulin	8.0	89.6	0.4
Andrew Beck	8.5	89.6	0.3
Zach Gentry	10.6	89.6	0.5
Blake Bell	9.4	88.9	1.0
Andrew Ogletree	10.0	88.0	1.0
Ko Kieft	7.8	87.9	0.7
Stephen Sullivan	8.8	87.2	0.5
Davis Allen	16.2	86.9	0.8
Phillip Dorsett	10.7	86.1	0.6
Deven Thompkins	6.3	85.9	0.4
Cody Thompson	7.4	85.7	0.4
Marcedes Lewis	8.0	85.0	2.0
Dontayvion Wicks	5.2	83.8	0.2
Bryan Edwards	7.7	82.8	0.3
Bryce Ford Wheaton	0.0	81.8	0.0
Justin Shorter	0.0	81.8	0.0
Drew Sample	8.5	81.3	0.5
Will Mallory	5.1	80.1	0.5
Brandon Powell	10.2	79.9	0.4
Velus Jones	3.9	79.1	0.2
Ross Dwelley	3.6	76.5	0.6
Johnny Mundt	5.6	75.7	0.3
Quintin Morris	5.7	74.5	0.4
Jesper Horsted	5.8	74.2	0.5
Luke Farrell	6.1	71.4	0.4
Kaylon Geiger Sr	5.5	70.7	0.4
Tanner Hudson	7.5	70.6	0.4
Jalen Reagor	7.5	70.1	0.3
Grant Calcaterra	3.1	69.9	0.3
Montrell Washington	4.6	68.6	0.4
Chris Manhertz	5.1	68.6	0.4
Mike Strachan	5.7	67.9	0.3
Shane Zylstra	3.9	66.1	0.3
Dante Pettis	6.2	64.6	0.2
Byron Pringle	6.8	63.9	0.2
Lance Mccutcheon	3.8	63.4	0.3
Simi Fehoko	5.7	62.5	0.5
Trevon Wesco	2.4	60.7	0.3
Curtis Hodges	6.3	60.2	0.6
Kendall Blanton	0.0	57.1	0.3
Stone Smartt	8.7	56.7	0.5
Chris Myarick	3.7	56.6	0.3
Devin Asiasi	5.6	55.9	0.4
Kevin Rader	0.8	55.5	0.3
Darrius Shepherd	4.1	55.4	0.3
Matthew Slater	2.3	54.2	0.2
Kevin Austin	4.3	53.9	0.3
Parker Hesse	3.3	52.6	0.2
Jakeem Grant Sr	4.8	52.2	0.2
Armani Rogers	7.3	52.0	0.4
Danny Gray	1.5	50.8	0.1
Tommy Sweeney	3.7	50.8	0.3
Eric Tomlinson	5.6	50.4	0.4
Maurice Alexander	3.6	48.3	0.3
Easop Winston	3.6	47.8	0.2
River Cracraft	4.6	47.2	0.2
Seth Williams	3.7	47.0	0.2
Trinity Benson	3.5	46.9	0.3
Derius Davis	0.0	46.6	0.0
Ray Ray Mccloud	3.9	46.4	0.2
Jacob Harris	3.7	46.2	0.2
Joe Reed	2.1	45.4	0.2
Jaelon Darden	2.4	45.2	0.2
Isaiah Coulter	3.7	44.4	0.3
Jalen Nailor	2.8	44.3	0.2
Mitchell Wilcox	0.0	44.1	0.0
Dezmon Patmon	3.6	44.0	0.3
James Proche	2.1	43.7	0.2
Stanley Morgan	3.8	42.9	0.3
Dennis Houston	3.5	42.3	0.3
Brandon Johnson	3.4	42.3	0.2
