Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Travis Kelce	864.4	900.5	830.5	800.5	850.5	850.5	850.5	-	-
Sam Laporta	853.1	850.5	825.5	825.5	875.5	850.5	850.5	-	-
Trey Mcbride	789.0	-	800.5	750.5	775.5	750.5	775.5	-	-
Kyle Pitts	786.4	750.5	775.5	775.5	800.5	775.5	750.5	-	-
George Kittle	783.3	750.5	750.5	-	-	-	750.5	-	-
Mark Andrews	778.5	800.5	750.5	725.5	800.5	750.5	750.5	-	-
Dalton Kincaid	774.9	750.5	775.5	775.5	750.5	800.5	750.5	-	-
Evan Engram	740.7	-	-	725.5	-	725.5	725.5	-	-
David Njoku	715.5	725.5	675.5	675.5	700.5	-	750.5	-	-
Jake Ferguson	673.3	675.5	-	650.5	-	650.5	650.5	-	-
Brock Bowers	653.7	650.5	640.5	625.5	675.5	650.5	650.5	-	-
Dallas Goedert	636.1	-	625.5	625.5	-	600.5	625.5	-	-
Tj Hockenson	618.5	-	-	-	-	-	-	-	-
Dalton Schultz	534.1	550.5	525.5	500.5	525.5	500.5	525.5	-	-
Cole Kmet	531.6	-	-	500.5	-	500.5	-	-	-
Pat Freiermuth	529.0	475.5	-	525.5	-	-	500.5	-	-
Chigoziem Okonkwo	502.1	475.5	-	-	-	-	-	-	-
Luke Musgrave	492.6	-	-	-	-	-	-	-	-
Cade Otton	485.4	-	-	-	-	-	-	-	-
Noah Fant	480.8	-	-	-	-	-	-	-	-
Tyler Conklin	461.7	-	-	425.5	-	425.5	-	-	-
Hunter Henry	441.5	-	-	400.5	-	-	-	-	-
Juwan Johnson	433.6	-	-	-	-	-	425.5	-	-
Jonnu Smith	415.9	-	-	-	-	-	-	-	-
Isaiah Likely	388.9	-	-	-	-	-	-	-	-
Ben Sinnott	386.9	-	-	-	-	-	-	-	-
Hayden Hurst	377.3	-	-	-	-	-	-	-	-
Greg Dulcich	374.6	-	-	-	-	-	-	-	-
Tucker Kraft	361.7	-	-	-	-	-	-	-	-
Tyler Higbee	347.2	-	-	-	-	-	-	-	-
Mike Gesicki	340.4	-	-	-	-	-	-	-	-
Daniel Bellinger	333.9	-	-	-	-	-	-	-	-
Michael Mayer	312.7	-	-	-	-	-	-	-	-
Jatavion Sanders	311.5	-	-	-	-	-	-	-	-
Colby Parkinson	307.5	-	-	-	-	-	-	-	-
Zach Ertz	300.7	-	-	-	-	-	-	-	-
Dawson Knox	294.7	-	-	-	-	-	-	-	-
Theo Johnson	273.5	-	-	-	-	-	-	-	-
Jelani Woods	264.1	-	-	-	-	-	-	-	-
Kylen Granson	258.5	-	-	-	-	-	-	-	-
Tommy Tremble	254.3	-	-	-	-	-	-	-	-
Donald Parham	241.4	-	-	-	-	-	-	-	-
Noah Gray	237.0	-	-	-	-	-	-	-	-
Gerald Everett	232.6	-	-	-	-	-	-	-	-
Tanner Hudson	215.7	-	-	-	-	-	-	-	-
Will Dissly	199.8	-	-	-	-	-	-	-	-
Durham Smythe	190.3	-	-	-	-	-	-	-	-
Brevin Jordan	188.1	-	-	-	-	-	-	-	-
Johnny Mundt	186.1	-	-	-	-	-	-	-	-
Robert Tonyan	179.4	-	-	-	-	-	-	-	-
Elijah Higgins	177.5	-	-	-	-	-	-	-	-
