Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Patrick Mahomes	4312.8	4350.5	4225.5	4300.5	4400.5	4300.5	4240.5	4371.7	-
Cj Stroud	4210.3	4150.5	4175.5	4175.5	4275.5	4150.5	-	4334.6	-
Dak Prescott	4102.8	4100.5	4075.5	4050.5	4150.5	4100.5	4050.5	4191.5	-
Tua Tagovailoa	4081.7	4100.5	4000.5	4025.5	4075.5	4050.5	4050.5	4268.9	-
Jared Goff	4058.5	4050.5	4025.5	4000.5	4000.5	4100.5	4000.5	4231.7	-
Joe Burrow	4056.1	-	4000.5	4000.5	4100.5	4050.5	3945.5	4239.3	-
Brock Purdy	3913.5	3900.5	3850.5	3825.5	3925.5	-	3900.5	4078.2	-
Matthew Stafford	3913.5	3900.5	3825.5	3900.5	4000.5	3800.5	3840.5	4126.7	-
Kirk Cousins	3877.9	3800.5	3800.5	3875.5	4000.5	3800.5	3850.5	4017.1	-
Jordan Love	3870.2	3900.5	3825.5	3825.5	3850.5	3850.5	3850.5	3988.5	-
Josh Allen	3823.3	3750.5	3800.5	3825.5	3750.5	-	3750.5	4062.2	-
Trevor Lawrence	3808.8	3800.5	3775.5	3725.5	3800.5	3800.5	3775.5	3983.8	-
Aaron Rodgers	3677.7	3650.5	3600.5	3675.5	3650.5	3650.5	3675.5	3841.0	-
Justin Herbert	3675.1	-	3575.5	-	3600.5	-	-	3849.4	-
Baker Mayfield	3613.8	3550.5	3500.5	3600.5	3500.5	3550.5	3650.5	3943.4	-
Jalen Hurts	3611.9	3600.5	3525.5	3525.5	3625.5	3600.5	3595.5	3810.4	-
Caleb Williams	3537.4	3500.5	3500.5	3550.5	3450.5	3500.5	3475.5	3783.8	-
Sam Darnold	3518.2	3500.5	3475.5	3375.5	-	-	-	3721.2	-
Geno Smith	3506.5	-	3425.5	3450.5	3450.5	3450.5	-	3755.4	-
Kyler Murray	3484.2	3400.5	3525.5	3450.5	3450.5	3400.5	3450.5	3711.1	-
Derek Carr	3456.5	3350.5	3325.5	3425.5	3400.5	3400.5	3450.5	3842.8	-
Will Levis	3453.5	3400.5	3375.5	3350.5	3454.5	3400.5	3465.5	3727.7	-
Deshaun Watson	3358.6	3300.5	3200.5	3250.5	3300.5	-	3350.5	3749.0	-
Lamar Jackson	3324.3	3250.5	3275.5	3325.5	3250.5	3350.5	3250.5	3567.1	-
Bryce Young	3243.3	3200.5	3250.5	3250.5	3200.5	3150.5	3200.5	3450.0	-
Anthony Richardson	3207.9	3200.5	3075.5	3075.5	3250.5	3100.5	3250.5	3502.5	-
Jayden Daniels	3169.0	3150.5	3025.5	3050.5	3075.5	3150.5	3150.5	3579.7	-
Bo Nix	3094.4	3100.5	3015.5	-	3050.5	-	-	3211.0	-
Drake Maye	3074.6	-	-	-	-	-	-	3074.6	-
Gardner Minshew	2873.5	2925.5	-	-	2900.5	-	-	2794.5	-
Daniel Jones	2796.7	2800.5	2625.5	2700.5	2750.5	-	2675.5	3227.6	-
Russell Wilson	2653.3	-	-	2400.5	2675.5	-	-	2883.9	-
Aidan Oconnell	1243.7	-	-	-	-	-	-	1243.7	-
Justin Fields	841.1	-	-	-	-	-	-	841.1	-
Jacoby Brissett	684.7	-	-	-	-	-	-	684.7	-
Nick Mullens	561.8	-	-	-	-	-	-	561.8	-
Drew Lock	505.1	-	-	-	-	-	-	505.1	-
Sam Howell	495.4	-	-	-	-	-	-	495.4	-
Jarrett Stidham	439.5	-	-	-	-	-	-	439.5	-
Jameis Winston	424.0	-	-	-	-	-	-	424.0	-
Desmond Ridder	375.0	-	-	-	-	-	-	375.0	-
Skylar Thompson	340.5	-	-	-	-	-	-	340.5	-
Hendon Hooker	338.4	-	-	-	-	-	-	338.4	-
Spencer Rattler	336.6	-	-	-	-	-	-	336.6	-
Michael Penix	334.1	-	-	-	-	-	-	334.1	-
Jake Browning	328.0	-	-	-	-	-	-	328.0	-
Jimmy Garoppolo	317.7	-	-	-	-	-	-	317.7	-
Joe Flacco	317.2	-	-	-	-	-	-	317.2	-
Cooper Rush	298.9	-	-	-	-	-	-	298.9	-
Mac Jones	293.9	-	-	-	-	-	-	293.9	-
Josh Johnson	293.5	-	-	-	-	-	-	293.5	-
Tyson Bagent	291.3	-	-	-	-	-	-	291.3	-
Davis Mills	290.2	-	-	-	-	-	-	290.2	-
Kenny Pickett	283.3	-	-	-	-	-	-	283.3	-
Clayton Tune	282.5	-	-	-	-	-	-	282.5	-
Mason Rudolph	281.3	-	-	-	-	-	-	281.3	-
Carson Wentz	278.2	-	-	-	-	-	-	278.2	-
Mitchell Trubisky	275.1	-	-	-	-	-	-	275.1	-
Tyrod Taylor	273.1	-	-	-	-	-	-	273.1	-
Marcus Mariota	271.9	-	-	-	-	-	-	271.9	-
Andy Dalton	270.3	-	-	-	-	-	-	270.3	-
Joshua Dobbs	267.0	-	-	-	-	-	-	267.0	-
Kyle Trask	265.0	-	-	-	-	-	-	265.0	-
Easton Stick	264.2	-	-	-	-	-	-	264.2	-
Malik Willis	259.6	-	-	-	-	-	-	259.6	-
