Player	Prop	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
	rush_td	4.2	o4.5 -125/+100	o4.5 +108/-138	o3.5 -135/105	o4.5 -105/-115	o3.5 -124/100	o3.5 -135/110	5.2	-
	rec	45.1	-	-	-	-	-	-	45.1	-
	rec_yd	383.0	-	-	-	-	-	-	383.0	-
	rec_td	2.8	-	-	-	-	-	-	2.8	-

Isiah Pacheco
195.63 FPTS	rush_att	238.6	-	-	-	-	-	-	238.6	-
2.12 ADP	rush_yd	931.3	o900.5 -115/-105	o925.5 -112/-112	o900.5 -115/-115	o925.5 -110/-110	o900.5 -112/-112	o900.5 -115/-105	1065.8	-
	rush_td	7.1	o6.5 -110/-110	o6.5 -116/-110	o7.5 120/-150	o6.5 -110/-110	o6.5 -125/101	o7.5 110/-130	8.5	-
	rec	41.0	-	-	-	-	-	-	41.0	-
	rec_yd	274.0	-	-	-	-	-	-	274.0	-
	rec_td	2.0	-	-	-	-	-	-	2.0	-

Devon Achane
194.92 FPTS	rush_att	174.9	-	-	-	-	-	-	174.9	-
2.10 ADP	rush_yd	779.9	o750.5 -110/-110	o775.5 -112/-112	o775.5 -115/-115	o750.5 -130/+100	o750.5 -112/-112	o750.5 -110/-110	906.1	-
	rush_td	7.0	o7.5 +120/-145	o7.5 +124/-158	o6.5 -120/-110	o7.5 +130/-160	o6.5 -136/110	o6.5 -125/105	7.2	-
	rec	45.5	-	-	-	-	-	-	45.5	-
	rec_yd	347.8	-	-	-	-	-	-	347.8	-
	rec_td	2.9	-	-	-	-	-	-	2.9	-

Josh Jacobs
194.53 FPTS	rush_att	249.4	-	-	-	-	-	-	249.4	-
3.01 ADP	rush_yd	937.6	o925.5 -110/-110	o925.5 -112/-112	o925.5 -115/-115	o925.5 -110/-110	o900.5 -124/100	o925.5 -110/-110	1034.9	-
	rush_td	7.6	o7.5 +110/-130	o7.5 -112/-112	o7.5 -110/-120	o7.5 -110/-110	o7.5 105/-130	o7.5 100/-120	8.3	-
	rec	38.5	-	-	-	-	-	-	38.5	-
	rec_yd	293.2	-	-	-	-	-	-	293.2	-
	rec_td	1.1	-	-	-	-	-	-	1.1	-

Joe Mixon
190.27 FPTS	rush_att	247.0	-	-	-	-	-	-	247.0	-
4.07 ADP	rush_yd	853.1	o850.5 +100/-125	o825.5 -112/-112	o800.5 -115/-115	o850.5 -110/-110	o825.5 -112/-112	o850.5 100/-120	968.7	-
	rush_td	6.9	o5.5 -140/+115	o6.5 -124/-102	o7.5 115/-145	o7.5 +100/-130	o6.5 -137/110	-	7.6	-
	rec	40.0	-	-	-	-	-	-	40.0	-
	rec_yd	303.6	-	-	-	-	-	-	303.6	-
	rec_td	2.2	-	-	-	-	-	-	2.2	-

Alvin Kamara
186.93 FPTS	rush_att	203.4	-	-	-	-	-	-	203.4	-
4.10 ADP	rush_yd	668.1	o625.5 -110/-110	o650.5 -112/-112	o650.5 -115/-115	o650.5 -110/-110	o650.5 100/-124	o650.5 -115/-105	798.7	-
	rush_td	4.6	o4.5 -110/-110	o4.5 +102/-130	o4.5 -105/-125	o4.5 -105/-115	o4.5 -112/-112	o4.5 -105/-115	5.3	-
	rec	66.8	-	-	-	-	o65.5 -112/-112	-	68.1	-
	rec_yd	453.2	-	-	-	-	o425.5 100/-124	-	480.9	-
	rec_td	2.3	-	-	-	-	-	-	2.3	-

Kenneth Walker
183.73 FPTS	rush_att	238.3	-	-	-	-	-	-	238.3	-
4.09 ADP	rush_yd	914.7	-	o875.5 -112/-112	o925.5 -115/-115	o875.5 -110/-110	o900.5 -112/-112	-	996.7	-
