PLAYER	ECR / ADP	REC	REC_YD	REC_TD	POINTS
*Miller Forristall	 / 	5.0	52.5	0.5	10.75
*Hunter Long	 / 	5.2	62.8	0.3	10.68
*Tyler Kroft	 / 	5.2	62.6	0.3	10.66
*Jeremy Ruckert	 / 	4.7	67.2	0.2	10.27
*Ross Dwelley	 / 	4.2	62.4	0.3	10.14
*Johnny Mundt	 / 	5.7	59.3	0.2	9.98
*Andrew Ogletree	 / 	5.0	44.0	0.5	9.9
*Anthony Firkser	 / 	5.7	57.9	0.2	9.84
*James Mitchell	 / 	4.3	55.9	0.3	9.54
*Connor Heyward	 / 	4.5	52.2	0.3	9.27
*Charlie Woerner	 / 	3.4	54.6	0.3	8.96
*Marcedes Lewis	 / 	4.0	29.6	0.6	8.56
*Chris Myarick	 / 	3.7	34.0	0.3	7.05
*Stone Smartt	 / 	4.5	29.6	0.3	7.01
*Tyler Davis	 / 	2.5	35.6	0.3	6.61
*Curtis Hodges	 / 	3.1	30.1	0.3	6.36
*Mitchell Wilcox	 / 	3.1	37.4	0.1	5.89
*Parker Hesse	 / 	2.0	41.1	0.1	5.71
*Eric Tomlinson	 / 	2.8	24.9	0.2	5.09
*Shane Zylstra	 / 	1.9	33.0	0.1	4.85
*Grant Calcaterra	 / 	1.7	33.0	0.1	4.75
*Noah Togiai	 / 	1.5	23.9	0.1	3.74
*David Wells	 / 	1.6	15.8	0.2	3.58
*Dominique Dafney	 / 	1.9	19.9	0.1	3.54
*Nick Vannett	 / 	2.1	18.9	0.1	3.54
*Tanner Conner	 / 	1.9	18.9	0.1	3.44
*Mycole Pruitt	 / 	0.0	20.8	0.2	3.28
*Mason Schreck	 / 	1.8	17.6	0.1	3.26
*Dalton Keene	 / 	1.8	17.6	0.1	3.26
*Tommy Sweeney	 / 	1.9	17.0	0.1	3.25
*Kendall Blanton	 / 	0.0	23.1	0.1	2.91
*Kaden Smith	 / 	1.6	14.6	0.1	2.86
*Feleipe Franks	 / 	1.6	14.5	0.1	2.85
*Tyler Mabry	 / 	1.4	14.8	0.1	2.78
*Tyree Jackson	 / 	0.0	17.5	0.1	2.35
*Matt Sokol	 / 	0.8	8.6	0.1	1.86
*Jacob Hollister	 / 	0.0	3.9	0.2	1.59
*Sean Mckeon	 / 	0.5	6.3	0.1	1.48
*Hunter Kampmoyer	 / 	0.2	1.9	0.1	0.89
*Ben Mason	 / 	0.3	2.0	0.0	0.35
