Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Sam Laporta	46.0	-	-	-	-	-	-	42.6	49.3
Odell Beckham	45.9	40.5	-	40.5	-	41.5	-	51.1	55.9
Mecole Hardman	45.9	-	-	-	-	-	-	36.2	55.6
Jameson Williams	45.6	-	-	-	-	-	-	39.0	52.3
Marvin Jones	45.4	-	-	-	-	-	-	37.9	52.9
John Metchie	45.0	-	-	-	-	-	-	43.2	46.9
Donovan Peoples Jones	44.7	40.5	-	-	-	-	-	44.2	49.5
Zach Ertz	44.7	-	-	-	-	-	-	44.7	44.7
Dalton Kincaid	44.2	-	-	-	-	-	-	43.2	45.1
Allen Robinson	44.1	-	-	-	-	-	-	40.0	48.2
Rashid Shaheed	44.0	-	-	-	-	-	-	37.2	50.8
Van Jefferson	43.9	-	-	-	-	-	-	42.2	45.6
Devante Parker	43.5	-	-	-	-	-	-	45.7	41.3
Alec Pierce	43.3	42.5	-	-	-	-	-	39.2	48.1
Khalil Shakir	43.2	-	-	-	-	-	-	32.0	54.4
Irv Smith	43.1	-	-	-	-	-	-	43.4	42.9
Michael Mayer	42.8	-	-	-	-	-	-	37.8	47.8
Wandale Robinson	42.5	-	-	-	-	-	-	34.9	50
Tyler Conklin	42.5	-	-	-	-	-	-	45.2	39.7
Cade Otton	42.4	-	-	-	-	-	-	45.2	39.6
Noah Fant	41.6	-	-	-	-	-	-	43.7	39.5
Marquez Valdes Scantling	41.0	40.5	-	-	-	-	-	42.2	40.2
Greg Dortch	40.8	-	-	-	-	-	-	37.7	43.8
Dawson Knox	39.5	39.5	-	39.5	-	-	-	36.0	42.8
Trey Mcbride	39.5	-	-	-	-	-	-	35.7	43.3
Hunter Henry	39.4	-	-	-	-	-	-	41.1	37.6
Jalin Hyatt	38.8	-	-	-	-	-	-	28.2	49.3
Marvin Mims	38.5	-	-	-	-	-	-	26.8	50.3
Chase Claypool	38.4	-	-	-	-	-	-	35.7	41.1
Corey Davis	38.4	-	-	-	-	-	-	35.7	41.1
Darius Slayton	38.2	-	-	-	-	-	-	35.8	40.6
Juwan Johnson	38.0	-	-	-	-	-	-	40.3	35.7
Mike Gesicki	37.8	-	-	-	-	-	-	35.4	40.3
Mack Hollins	37.3	-	-	-	-	-	-	42.1	32.5
Richie James	36.3	-	-	-	-	-	-	24.4	48.3
Tyquan Thornton	36.1	-	-	-	-	-	-	29.3	43
Joshua Palmer	36.0	-	-	-	-	-	-	35.0	37.1
Josh Downs	36.0	-	-	-	-	-	-	23.7	48.3
Jake Ferguson	35.5	-	-	-	-	-	-	37.5	33.5
Russell Gage	35.1	-	-	-	-	-	-	60.5	9.7
Kendrick Bourne	35.1	-	-	-	-	-	-	31.3	38.9
Luke Musgrave	33.4	-	-	-	-	-	-	35.1	31.6
Braxton Berrios	32.9	-	-	-	-	-	-	24.6	41.1
Ben Skowronek	32.5	-	-	-	-	-	-	37.1	27.9
Trey Palmer	31.1	-	-	-	-	-	-	31.1	-
