PLAYER	ECR / ADP	RUSH_ATT	RUSH_YD	RUSH_TD	REC	REC_YD	REC_TD	POINTS
*Kevin Harris	 / 	29.2	104.5	0.5	10.1	54.4	0.2	25.14
*Julius Chestnut	 / 	26.3	100.2	0.6	8.0	56.9	0.2	24.51
*Brandon Bolden	 / 	18.3	78.6	0.5	7.4	61.7	0.4	23.13
*Travis Homer	 / 	18.0	92.6	0.3	7.5	67.3	0.2	22.74
*Gary Brightwell	 / 	24.5	115.4	0.8	5.0	30.9	0.1	22.53
*Dewayne Mcbride	 / 	59.7	138.2	0.3	2.0	46.2	0.1	21.84
*Emanuel Wilson	 / 	25.9	101.2	0.5	7.7	36.8	0.1	21.25
*Israel Abanikanda	 / 	50.1	131.0	0.4	1.5	39.2	0.0	20.17
*Jason Huntley	 / 	0.0	78.9	0.5	4.7	42.5	0.2	18.69
*Ty Montgomery	 / 	11.6	35.6	0.2	8.7	72.8	0.3	18.19
*Alec Ingold	 / 	5.2	14.0	0.1	12.0	75.8	0.4	17.98
*Kenny Mcintosh	 / 	34.4	100.9	0.5	3.0	33.2	0.0	17.91
*Ty Johnson	 / 	10.0	49.6	0.2	8.3	54.4	0.3	17.55
*Melvin Gordon	 / 	16.6	76.5	0.3	5.6	39.5	0.1	16.8
*Giovanni Ricci	 / 	4.7	19.7	0.2	6.4	84.8	0.2	16.05
*Zonovan Knight	 / 	26.8	86.8	0.2	4.7	30.4	0.1	15.87
*Reggie Gilliam	 / 	2.2	9.3	0.1	8.3	64.8	0.6	15.76
*Cj Ham	 / 	5.5	15.7	0.3	9.6	62.1	0.2	15.58
*Deneric Prince	 / 	35.1	113.6	0.0	0.0	42.1	0.0	15.57
*Keaton Mitchell	 / 	26.6	81.7	0.4	2.9	24.6	0.1	15.08
*Kene Nwangwu	 / 	27.4	75.9	0.2	3.8	32.2	0.1	14.51
*Snoop Conner	 / 	12.2	89.9	0.5	2.2	7.6	0.1	14.45
*Elijah Dotson	 / 	17.3	63.7	0.4	4.5	24.4	0.1	14.06
*Hunter Luepke	 / 	9.0	32.4	0.4	7.4	31.4	0.1	13.08
*Andrew Beck	 / 	0.0	0.0	0.0	7.8	60.5	0.3	11.75
*Patrick Ricard	 / 	5.5	15.9	0.1	7.3	41.1	0.3	11.75
*Royce Freeman	 / 	0.0	57.7	0.3	4.2	14.4	0.1	11.71
*Demetric Felton	 / 	10.3	38.2	0.1	5.8	35.6	0.1	11.48
*Malik Davis	 / 	24.2	85.0	0.0	0.0	29.4	0.0	11.44
*Jason Cabinda	 / 	9.1	22.4	0.2	4.4	33.3	0.3	10.77
*Ronnie Rivers	 / 	14.3	45.3	0.1	4.4	28.2	0.1	10.75
*Godwin Igwebuike	 / 	0.0	7.8	0.1	6.6	47.3	0.2	10.61
*Kirk Merritt	 / 	0.0	6.5	0.0	2.3	55.6	0.3	9.16
*Patrick Taylor	 / 	0.0	38.2	0.3	2.1	6.1	0.1	7.88
*Jakob Johnson	 / 	8.3	19.0	0.1	4.6	18.5	0.1	7.25
*Henry Pearson	 / 	0.0	13.1	0.1	3.7	16.4	0.2	6.6
*Chris Brooks	 / 	15.0	38.4	0.1	1.6	13.2	0.0	6.56
*Adam Prentice	 / 	2.4	13.6	0.1	4.3	17.8	0.1	6.49
*Jack Colletto	 / 	0.0	7.3	0.1	3.6	16.3	0.2	5.96
*Michael Burton	 / 	4.7	14.7	0.1	3.6	14.0	0.1	5.87
*Avery Williams	 / 	2.7	11.6	0.1	3.4	11.0	0.1	5.16
*Tony Jones	 / 	17.8	37.3	0.0	0.0	12.3	0.0	4.96
*Keith Smith	 / 	6.3	12.5	0.1	2.7	10.7	0.1	4.87
*Nick Bellore	 / 	4.4	9.3	0.0	2.3	15.8	0.1	4.26
*Khari Blasingame	 / 	2.8	9.0	0.1	2.6	8.2	0.1	4.22
*Zander Horvath	 / 	0.0	1.5	0.0	2.9	4.6	0.1	2.66
*Nick Bawden	 / 	0.0	1.1	0.0	2.9	4.6	0.1	2.62
*Darrynton Evans	 / 	6.1	17.1	0.0	0.0	5.9	0.0	2.3
*Jake Funk	 / 	0.0	3.4	0.0	0.3	3.6	0.0	0.85
*Lamical Perine	 / 	0.0	0.0	0.0	0.0	0.0	0.0	0.0
