Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Jase Mcclellan	129.2	-	-	-	-	-	-	129.2	-
Dewayne Mcbride	125.0	-	-	-	-	-	-	125.0	-
Cordarrelle Patterson	121.0	-	-	-	-	-	-	121.0	-
Chris Rodriguez	119.7	-	-	-	-	-	-	119.7	-
Michael Carter	113.9	-	-	-	-	-	-	113.9	-
Dernest Johnson	113.8	-	-	-	-	-	-	113.8	-
Ronnie Rivers	109.4	-	-	-	-	-	-	109.4	-
Blake Watson	108.0	-	-	-	-	-	-	108.0	-
Deuce Vaughn	105.2	-	-	-	-	-	-	105.2	-
Pierre Strong	103.1	-	-	-	-	-	-	103.1	-
Ameer Abdullah	102.6	-	-	-	-	-	-	102.6	-
Craig Reynolds	102.3	-	-	-	-	-	-	102.3	-
Kevin Harris	99.6	-	-	-	-	-	-	99.6	-
Isaiah Spiller	99.4	-	-	-	-	-	-	99.4	-
Jeff Wilson	89.7	-	-	-	-	-	-	89.7	-
Trayveon Williams	89.2	-	-	-	-	-	-	89.2	-
Emani Bailey	87.5	-	-	-	-	-	-	87.5	-
Cody Schrader	84.5	-	-	-	-	-	-	84.5	-
Kenny Mcintosh	82.4	-	-	-	-	-	-	82.4	-
Cam Akers	79.5	-	-	-	-	-	-	79.5	-
Joshua Kelley	71.2	-	-	-	-	-	-	71.2	-
Nyheim Hines	71.1	-	-	-	-	-	-	71.1	-
Jaret Patterson	71.0	-	-	-	-	-	-	71.0	-
Emanuel Wilson	70.5	-	-	-	-	-	-	70.5	-
Jordan Mims	68.0	-	-	-	-	-	-	68.0	-
Israel Abanikanda	63.8	-	-	-	-	-	-	63.8	-
Julius Chestnut	62.2	-	-	-	-	-	-	62.2	-
Tyler Goodson	61.4	-	-	-	-	-	-	61.4	-
Dare Ogunbowale	60.4	-	-	-	-	-	-	60.4	-
Jeremy Mcnichols	56.8	-	-	-	-	-	-	56.8	-
Boston Scott	54.3	-	-	-	-	-	-	54.3	-
Jamycal Hasty	51.6	-	-	-	-	-	-	51.6	-
Matt Breida	45.5	-	-	-	-	-	-	45.5	-
Myles Gaskin	44.3	-	-	-	-	-	-	44.3	-
Kene Nwangwu	42.8	-	-	-	-	-	-	42.8	-
James Robinson	40.6	-	-	-	-	-	-	40.6	-
Sione Vaki	39.5	-	-	-	-	-	-	39.5	-
Lamical Perine	38.8	-	-	-	-	-	-	38.8	-
Sean Tucker	38.7	-	-	-	-	-	-	38.7	-
Carlos Washington	37.0	-	-	-	-	-	-	37.0	-
Raheem Blackshear	35.6	-	-	-	-	-	-	35.6	-
Keilan Robinson	33.0	-	-	-	-	-	-	33.0	-
Keaontay Ingram	32.7	-	-	-	-	-	-	32.7	-
Travis Homer	32.3	-	-	-	-	-	-	32.3	-
Malik Davis	32.1	-	-	-	-	-	-	32.1	-
Hunter Luepke	31.2	-	-	-	-	-	-	31.2	-
Deejay Dallas	30.3	-	-	-	-	-	-	30.3	-
Chris Brooks	29.7	-	-	-	-	-	-	29.7	-
Dante Miller	29.2	-	-	-	-	-	-	29.2	-
Hassan Haskins	27.6	-	-	-	-	-	-	27.6	-
Darrynton Evans	20.7	-	-	-	-	-	-	20.7	-
Michael Burton	20.6	-	-	-	-	-	-	20.6	-
Zach Evans	20.6	-	-	-	-	-	-	20.6	-
Kyle Juszczyk	20.2	-	-	-	-	-	-	20.2	-
Spencer Brown	18.8	-	-	-	-	-	-	18.8	-
