Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Chase Claypool	37.5	-	-	-	-	-	-	36.0	38.9
Darius Slayton	37.1	-	-	-	-	-	-	35.4	38.8
Josh Downs	36.5	-	-	-	-	-	-	24.8	48.3
Mack Hollins	36.4	-	-	-	-	-	-	42.1	30.6
Joshua Palmer	35.8	-	-	-	-	-	-	37.6	33.9
Tyquan Thornton	35.0	-	-	-	-	-	-	29.3	40.8
Richie James	34.8	-	-	-	-	-	-	24.4	45.2
Kendrick Bourne	34.3	-	-	-	-	-	-	31.9	36.8
Russell Gage	33.5	-	-	-	-	-	-	60.5	6.4
Ben Skowronek	30.2	-	-	-	-	-	-	34.0	26.4
Kalif Raymond	29.2	-	-	-	-	-	-	20.4	38
Nick Westbrook Ikhine	29.1	-	-	-	-	-	-	28.6	29.7
Trey Palmer	28.8	-	-	-	-	-	-	28.8	-
Josh Reynolds	28.5	-	-	-	-	-	-	29.8	27.2
Terrace Marshall	28.5	-	-	-	-	-	-	25.4	31.7
Michael Wilson	28.2	-	-	-	-	-	-	33.0	23.4
Isaiah Mckenzie	28.0	-	-	-	-	-	-	23.2	32.8
Sterling Shepard	27.0	-	-	-	-	-	-	29.7	24.4
Randall Cobb	26.6	-	-	-	-	-	-	29.0	24.2
Braxton Berrios	25.7	-	-	-	-	-	-	25.7	-
Quez Watkins	25.5	-	-	-	-	-	-	20.6	30.3
Noah Brown	25.5	-	-	-	-	-	-	19.6	31.3
Jauan Jennings	24.1	-	-	-	-	-	-	18.4	29.8
Cedric Tillman	23.8	-	-	-	-	-	-	15.0	32.5
Robbie Chosen	23.7	-	-	-	-	-	-	30.3	17.1
Demarcus Robinson	22.8	-	-	-	-	-	-	19.7	25.9
Tutu Atwell	22.5	-	-	-	-	-	-	22.8	22.2
Jamal Agnew	21.9	-	-	-	-	-	-	15.9	27.8
Anthony Miller	21.7	-	-	-	-	-	-	21.7	-
Demario Douglas	21.7	-	-	-	-	-	-	21.7	-
Amari Rodgers	21.0	-	-	-	-	-	-	21.0	-
Chris Moore	20.6	-	-	-	-	-	-	20.5	20.6
Olamide Zaccheaus	20.6	-	-	-	-	-	-	17.7	23.6
Trent Sherfield	19.5	-	-	-	-	-	-	19.5	-
Laviska Shenault	19.0	-	-	-	-	-	-	21.3	16.7
Puka Nacua	18.3	-	-	-	-	-	-	25.0	11.6
Dontayvion Wicks	17.6	-	-	-	-	-	-	17.6	-
Marquez Callaway	17.4	-	-	-	-	-	-	19.5	15.3
David Moore	16.8	-	-	-	-	-	-	16.8	-
Deven Thompkins	16.7	-	-	-	-	-	-	16.7	-
Cedrick Wilson	16.5	-	-	-	-	-	-	16.5	-
Trenton Irwin	15.7	-	-	-	-	-	-	15.9	15.4
Zach Pascal	15.5	-	-	-	-	-	-	15.5	-
Charlie Jones	15.2	-	-	-	-	-	-	15.2	-
Cade Johnson	14.6	-	-	-	-	-	-	14.6	-
Trequan Smith	14.5	-	-	-	-	-	-	8.1	20.9
Kyle Philips	14.2	-	-	-	-	-	-	14.2	-
Khadarel Hodge	14.2	-	-	-	-	-	-	14.2	-
Devin Duvernay	14.1	-	-	-	-	-	-	6.4	21.7
Parker Washington	14.0	-	-	-	-	-	-	14.0	-
Dyami Brown	13.3	-	-	-	-	-	-	13.3	-
Nelson Agholor	13.1	-	-	-	-	-	-	4.9	21.3
Calvin Austin	12.8	-	-	-	-	-	-	14.7	11
Deandre Carter	12.8	-	-	-	-	-	-	9.0	16.6
Marquise Goodwin	12.4	-	-	-	-	-	-	12.7	12.2
Samori Toure	12.4	-	-	-	-	-	-	12.7	12.1
Brandon Powell	12.0	-	-	-	-	-	-	12.0	-
Deonte Harty	11.6	-	-	-	-	-	-	11.6	-
Justin Watson	11.4	-	-	-	-	-	-	11.4	-
Derius Davis	11.4	-	-	-	-	-	-	11.4	-
Jalen Guyton	10.3	-	-	-	-	-	-	10.3	-
