EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi	Bet365
6.5	-	230 FD	swiatek @ kudermetova	home_1_set	o 	230/-330	-	-	-	210	-	-	-
5.8	5.8	-172 FD	matushkina @ okutoyi	total_sets	u 2.5	126/-172	-	-	-	-	182/-252	-	-
3.8	3.8	-112 FD	tilbuerger @ tiglea	total	u 21.5	-118/-112	-	-	-	-	107/-142	-	-
3.0	3.0	-156 FD	tilbuerger @ tiglea	total_sets	u 2.5	118/-156	-	-	-	-	151/-204	-	-
2.9	2.9	-120 FD	verma @ ewing	total	u 21.5	-110/-120	-	-	-	-	113/-150	-	-
2.2	2.2	-166 FD	verma @ ewing	total_sets	u 2.5	122/-166	-	-	-	-	158/-215	-	-
1.8	1.8	-182 FD	fassbender @ gentzsch	total_sets	u 2.5	134/-182	-	-	-	-	172/-237	-	-
1.1	-	410 FD	kwong / proctor @ itzhaki / cheng	ml	u 	-700/410	-	-500/280	-	-	-	-	-
0.2	-	-4500 FD	swiatek @ kudermetova	away_1_set	o 	-4500/1240	-	-	-	-5000	-	-	-
-0.6	-	195 FD	siniakova @ podoroska	spread	u -0.5	-290/195	-	-225/165	-	-	-	-	-
-0.6	-0.6	-146 FD	matushkina @ okutoyi	home_total	u 12.5	110/-146	-	-	-	-	128/-171	-	-
-0.7	-	120 MGM	siniakova @ podoroska	spread	o -4.5	106/-138	-	120/-160	-	-	-	-	-
-0.8	-	-138 FD	siniakova @ podoroska	spread	u -4.5	106/-138	-	120/-160	-	-	-	-	-
-0.8	-	-225 MGM	siniakova @ podoroska	spread	o -0.5	-290/195	-	-225/165	-	-	-	-	-
-0.8	-	110 FD	siniakova @ podoroska	set1_total	o 9.5	110/-152	-	-105/-130	-	-	-	-	-
-0.8	-0.8	-126 FD	fassbender @ gentzsch	total	u 22.5	-106/-126	-	-	-	-	109/-145	-	-
-1.0	-1.0	-102 FD	verma @ ewing	away_total	u 11.5	-132/-102	-	-	-	-	-115/-115	-	-
-1.1	-	-130 MGM	siniakova @ podoroska	set1_total	u 9.5	110/-152	-	-105/-130	-	-	-	-	-
-1.3	-1.3	-172 FD	siniakova @ podoroska	total_sets	u 2.5	126/-172	-	-	-	-	159/-179	-	-
-1.5	-	-225 MGM	freund / ingildsen @ dahlin / steinegger	ml	o 	-275/198	-	-225/145	-	-275/185	-	-	-
-1.8	-1.8	-192 FD	matushkina @ okutoyi	set1_ml	u 	142/-192	-	-	-	-	164/-223	-	-
-2.0	-	-142 FD	siniakova @ podoroska	total	u 22.5	108/-142	-	120/-160	-	-	-	-	-
-2.0	-	-500 MGM	kwong / proctor @ itzhaki / cheng	ml	o 	-700/410	-	-500/280	-	-	-	-	-
-2.1	-	120 MGM	siniakova @ podoroska	total	o 22.5	108/-142	-	120/-160	-	-	-	-	-
-2.2	-2.2	-130 FD	verma @ ewing	spread	u 2.5	-102/-130	-	-	-	-	109/-145	-	-
-2.4	-2.4	-148 FD	verma @ ewing	home_total	u 12.5	112/-148	-	-	-	-	124/-165	-	-
-2.7	0.8	-165 MGM	verma @ ewing	ml	u 	140/-188	-	115/-165	-	130/-180	151/-204	125/-177	-
-2.7	-2.7	-700 PB	swiatek @ kudermetova	set1_spread	o 1.5	-	-	-	-	-700/380	-750/548	-	-
-2.7	-1.7	178 FD	jacquemot @ jones	ml	u 	-245/178	-	-225/150	-	-	-209/154	-220/150	-
-2.8	-2.8	110 BV	swiatek @ kudermetova	total	u 18.0	-	-	-	-145/+110	-	-123/109	-	-
-2.8	-	-3300 BV	swiatek @ kudermetova	set_spread	o 1.5	-7000/2000	-	-	-3300/+1200	-10000/1075	-	-5000/1700	-
-3.2	-3.2	-125 MGM	siniakova @ podoroska	set_spread	u -1.5	-	-	-105/-125	-	-	110/-124	-	-
-3.3	-	-650 MGM	siniakova @ podoroska	away_1_set	o 	-850/480	-	-650/400	-	-	-	-	-
-3.3	-	130 MGM	markus @ blatter	ml	o 	116/-154	-	130/-190	-	125/-170	-	110/-155	-
-3.4	-	198 FD	freund / ingildsen @ dahlin / steinegger	ml	u 	-275/198	-	-225/145	-	-275/185	-	-	-
-3.5	-3.1	-1200 BV	swiatek @ kudermetova	ml	o 	-1300/860	-	-	-1200/+700	-1250/650	-1054/827	-1250/800	-
-3.5	-3.5	-190 FD	swiatek @ kudermetova	away_total	u 12.5	140/-190	-	-	-	-	162/-191	-	-
-3.5	-	102 FD	siniakova @ podoroska	home_1_set	u 	-134/102	-	-125/-105	-	-	-	-	-
-3.5	-	-125 MGM	siniakova @ podoroska	home_1_set	o 	-134/102	-	-125/-105	-	-	-	-	-
-3.6	-0.4	-220 FD	matushkina @ okutoyi	ml	u 	162/-220	-	180/-275	-	170/-250	196/-275	150/-220	-
-3.7	-	-105 MGM	siniakova @ podoroska	total	o 21.5	-112/-118	-	-105/-125	-	-	-	-	-
-3.8	-4.9	-650 MGM	siniakova @ podoroska	set_spread	o 1.5	-800/500	-	-650/400	-	-	-558/454	-	-
-3.9	-	-118 FD	siniakova @ podoroska	total	u 21.5	-112/-118	-	-105/-125	-	-	-	-	-
-3.9	-	-154 FD	markus @ blatter	ml	u 	116/-154	-	130/-190	-	125/-170	-	110/-155	-
-4.0	7.0	154 FD	giovannini @ labrana	ml	u 	-210/154	-	-210/140	-	-210/150	-157/118	-200/140	-
-4.1	-	-270 FD	swiatek @ kudermetova	spread	u -7.5	180/-270	-	-	-	200/-280	-	225/-315	-
-4.1	-	174 FD	falabella / gagliardo @ tenti / villanueva	ml	o 	174/-240	-	145/-225	-	-	-	-	-
-4.1	-4.1	-180 FD	andrade @ braswell	ml	u 	140/-180	-	-	-	-	144/-193	-	-
-4.2	-4.2	120 FD	dickerson @ grant	ml	o 	120/-152	-	-	-	-	112/-148	-	-
