"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_rec","D. London","WR","ATL","LAC","2022-11-06T18:00:00Z","3.5","over","-111","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","D. London","WR","ATL","LAC","2022-11-06T18:00:00Z","38.5","over","-124","undefined","null","null","under","-108","undefined","null","null"
"recv_rec","K. Pitts","TE","ATL","LAC","2022-11-06T18:00:00Z","3.5","over","-122","undefined","null","null","under","-108","undefined","null","null"
"recv_yd","K. Pitts","TE","ATL","LAC","2022-11-06T18:00:00Z","40.5","over","-114","undefined","null","null","under","-115","undefined","null","null"
"pass_att","M. Mariota","QB","ATL","LAC","2022-11-06T18:00:00Z","24.5","over","-101","undefined","null","null","under","-131","undefined","null","null"
"pass_comp","M. Mariota","QB","ATL","LAC","2022-11-06T18:00:00Z","15.5","over","104","undefined","null","null","under","-141","undefined","null","null"
"pass_int","M. Mariota","QB","ATL","LAC","2022-11-06T18:00:00Z","0.5","over","129","undefined","null","null","under","-173","undefined","null","null"
"pass_td","M. Mariota","QB","ATL","LAC","2022-11-06T18:00:00Z","1.5","over","198","undefined","null","null","under","-277","undefined","null","null"
"pass_yd","M. Mariota","QB","ATL","LAC","2022-11-06T18:00:00Z","180.5","over","-112","undefined","null","null","under","-115","undefined","null","null"
"rush_yd","M. Mariota","QB","ATL","LAC","2022-11-06T18:00:00Z","33.5","over","101","undefined","null","null","under","-134","undefined","null","null"
"recv_rec","O. Zaccheaus","WR","ATL","LAC","2022-11-06T18:00:00Z","2.5","over","111","undefined","null","null","under","-149","undefined","null","null"
"recv_yd","O. Zaccheaus","WR","ATL","LAC","2022-11-06T18:00:00Z","29.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_rec","A. Ekeler","RB","LAC","ATL","2022-11-06T18:00:00Z","5.5","over","-153","undefined","null","null","under","114","undefined","null","null"
