"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"pass_att","L. Jackson","QB","BLT","CLV","2022-10-23T17:00:00Z","29.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"pass_comp","L. Jackson","QB","BLT","CLV","2022-10-23T17:00:00Z","18.5","over","-131","undefined","null","null","under","-102","undefined","null","null"
"pass_int","L. Jackson","QB","BLT","CLV","2022-10-23T17:00:00Z","0.5","over","-122","undefined","null","null","under","-110","undefined","null","null"
"pass_td","L. Jackson","QB","BLT","CLV","2022-10-23T17:00:00Z","1.5","over","111","undefined","null","null","under","-147","undefined","null","null"
"pass_yd","L. Jackson","QB","BLT","CLV","2022-10-23T17:00:00Z","211.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"rush_att","L. Jackson","QB","BLT","CLV","2022-10-23T17:00:00Z","8.5","over","-106","undefined","null","null","under","-128","undefined","null","null"
"rush_yd","L. Jackson","QB","BLT","CLV","2022-10-23T17:00:00Z","51.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_rec","M. Andrews","TE","BLT","CLV","2022-10-23T17:00:00Z","5.5","over","-119","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","M. Andrews","TE","BLT","CLV","2022-10-23T17:00:00Z","68.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_rec","A. Cooper","WR","CLV","BLT","2022-10-23T17:00:00Z","4.5","over","-106","undefined","null","null","under","-127","undefined","null","null"
"recv_yd","A. Cooper","WR","CLV","BLT","2022-10-23T17:00:00Z","55.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_rec","D. Bell","WR","CLV","BLT","2022-10-23T17:00:00Z","1.5","over","-107","undefined","null","null","under","-129","undefined","null","null"
"recv_yd","D. Bell","WR","CLV","BLT","2022-10-23T17:00:00Z","14.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_rec","D. Njoku","TE","CLV","BLT","2022-10-23T17:00:00Z","3.5","over","-124","undefined","null","null","under","-108","undefined","null","null"
"recv_yd","D. Njoku","TE","CLV","BLT","2022-10-23T17:00:00Z","39.5","over","-123","undefined","null","null","under","-110","undefined","null","null"
"recv_rec","D. Peoples-Jones","WR","CLV","BLT","2022-10-23T17:00:00Z","2.5","over","-143","undefined","null","null","under","107","undefined","null","null"
"recv_yd","D. Peoples-Jones","WR","CLV","BLT","2022-10-23T17:00:00Z","37.5","over","-114","undefined","null","null","under","-117","undefined","null","null"
"recv_rec","H. Bryant","TE","CLV","BLT","2022-10-23T17:00:00Z","1.5","over","123","undefined","null","null","under","-164","undefined","null","null"
"recv_yd","H. Bryant","TE","CLV","BLT","2022-10-23T17:00:00Z","11.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
