"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_rec","C. Kmet","TE","CHI","WAS","2022-10-14T00:15:00Z","2.5","over","-153","undefined","null","null","under","115","undefined","null","null"
"recv_yd","C. Kmet","TE","CHI","WAS","2022-10-14T00:15:00Z","28.5","over","-112","undefined","null","null","under","-120","undefined","null","null"
"recv_rec","D. Mooney","WR","CHI","WAS","2022-10-14T00:15:00Z","3.5","over","-104","undefined","null","null","under","-129","undefined","null","null"
"recv_yd","D. Mooney","WR","CHI","WAS","2022-10-14T00:15:00Z","44.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_rec","D. Montgomery","RB","CHI","WAS","2022-10-14T00:15:00Z","2.5","over","131","undefined","null","null","under","-176","undefined","null","null"
"recv_yd","D. Montgomery","RB","CHI","WAS","2022-10-14T00:15:00Z","14.5","over","-124","undefined","null","null","under","-109","undefined","null","null"
"rush_att","D. Montgomery","RB","CHI","WAS","2022-10-14T00:15:00Z","16.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"rush_recv_yd","D. Montgomery","RB","CHI","WAS","2022-10-14T00:15:00Z","81.5","over","-118","undefined","null","null","under","-116","undefined","null","null"
"rush_yd","D. Montgomery","RB","CHI","WAS","2022-10-14T00:15:00Z","63.5","over","-106","undefined","null","null","under","-126","undefined","null","null"
"recv_yd","E. St. Brown","WR","CHI","WAS","2022-10-14T00:15:00Z","17.5","over","-122","undefined","null","null","under","-110","undefined","null","null"
"pass_att","J. Fields","QB","CHI","WAS","2022-10-14T00:15:00Z","23.5","over","-121","undefined","null","null","under","-112","undefined","null","null"
"pass_comp","J. Fields","QB","CHI","WAS","2022-10-14T00:15:00Z","14.5","over","-104","undefined","null","null","under","-129","undefined","null","null"
"pass_int","J. Fields","QB","CHI","WAS","2022-10-14T00:15:00Z","0.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"pass_td","J. Fields","QB","CHI","WAS","2022-10-14T00:15:00Z","0.5","over","-214","undefined","null","null","under","158","undefined","null","null"
"pass_yd","J. Fields","QB","CHI","WAS","2022-10-14T00:15:00Z","168.5","over","-115","0.03727575490697643","null","null","under","-117","-0.11133945228963105","null","null"
"rush_att","J. Fields","QB","CHI","WAS","2022-10-14T00:15:00Z","7.5","over","-138","undefined","null","null","under","104","undefined","null","null"
"rush_yd","J. Fields","QB","CHI","WAS","2022-10-14T00:15:00Z","41.5","over","-112","undefined","null","null","under","-121","undefined","null","null"
"rush_recv_yd","K. Herbert","RB","CHI","WAS","2022-10-14T00:15:00Z","33.5","over","-112","undefined","null","null","under","-120","undefined","null","null"
"rush_yd","K. Herbert","RB","CHI","WAS","2022-10-14T00:15:00Z","26.5","over","-116","undefined","null","null","under","-114","undefined","null","null"
"rush_att","B. Robinson Jr.","RB","WAS","CHI","2022-10-14T00:15:00Z","11.5","over","-126","undefined","null","null","under","-107","undefined","null","null"
"rush_yd","B. Robinson Jr.","RB","WAS","CHI","2022-10-14T00:15:00Z","46.5","over","-122","undefined","null","null","under","-111","undefined","null","null"
"pass_att","C. Wentz","QB","WAS","CHI","2022-10-14T00:15:00Z","32.5","over","-111","undefined","null","null","under","-120","undefined","null","null"
"pass_comp","C. Wentz","QB","WAS","CHI","2022-10-14T00:15:00Z","20.5","over","-117","undefined","null","null","under","-114","undefined","null","null"
"pass_int","C. Wentz","QB","WAS","CHI","2022-10-14T00:15:00Z","0.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"pass_td","C. Wentz","QB","WAS","CHI","2022-10-14T00:15:00Z","1.5","over","149","undefined","null","null","under","-200","undefined","null","null"
"pass_yd","C. Wentz","QB","WAS","CHI","2022-10-14T00:15:00Z","220.5","over","-114","-0.01737009345794427","null","null","under","-114","-0.04807009345794355","null","null"
"rush_yd","C. Wentz","QB","WAS","CHI","2022-10-14T00:15:00Z","11.5","over","-112","undefined","null","null","under","-120","undefined","null","null"
"recv_rec","C. Samuel","WR","WAS","CHI","2022-10-14T00:15:00Z","4.5","over","-126","undefined","null","null","under","-106","undefined","null","null"
"recv_yd","C. Samuel","WR","WAS","CHI","2022-10-14T00:15:00Z","46.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"rush_yd","C. Samuel","WR","WAS","CHI","2022-10-14T00:15:00Z","3.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","D. Brown","WR","WAS","CHI","2022-10-14T00:15:00Z","20.5","over","-110","undefined","null","null","under","-120","undefined","null","null"
"recv_rec","J. McKissic","RB","WAS","CHI","2022-10-14T00:15:00Z","2.5","over","-170","undefined","null","null","under","127","undefined","null","null"
