EV	PN EV	EV Book	Imp	Game	Player	Prop	O/U	FD	Bet365	DK	MGM	PN	Kambi	CZ	SZN	LYR	Splits	Opp Rank	LYR Opp Rank
-37.6	-	1050 BR	9%	COL @ SF	Nick Martini	hr	o 0.5	'+900	-	'+1000	'+1000/-2000	-	1050/-3335	650	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	3rd	3rd
-37.8	-	600 DK	14%	WSH @ PHI	Alec Bohm	rbi	o 1.5	'+500	-	'+600	-	-	-	-	4%	0%	2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0	27th	23rd
-37.9	-	650 DK	13%	MIL @ CHW	Jake Bauers	sb	o 0.5	'+630	-	'+650/-1200	-	-	-	-	0%	0%		7th	24th
-37.9	-	900 FD	10%	ATH @ TEX	Nick Ahmed	tb	o 3.5	'+900	-	'+800	-	-	-	-	0%	0%	1,0,0,0	27th	23rd
-38.0	-	650 DK	13%	DET @ LAA	Javier Baez	sb	o 0.5	'+640	-	'+650/-1200	-	-	-	-	0%	0%		16th	5th
-38.3	-	1200 FD	8%	MIL @ CHW	Edgar Quero	tb	o 4.5	'+1200	-	-	-	-	-	-	0%	0%	0,1,2,1,0,3,0,1,0,2,1,0,0	14th	8th
-38.3	-	550 FD	15%	COL @ SF	Willy Adames	rbi	o 1.5	'+550	-	'+550	-	-	-	-	13%	0%	0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,1,0,2,0,1,0	28th	29th
-38.4	-	900 FD	10%	WSH @ PHI	Keibert Ruiz	tb	o 4.5	'+900	-	-	-	-	-	-	0%	0%	2,2,1,1,1,1,0,1,1,2,1,1,3,2,1,0,0,2,1,3,1,1,0,1,0,2,1,1	23rd	16th
-38.4	-	900 FD	10%	KC @ TB	Christopher Morel	tb	o 4.5	'+900	-	-	-	-	-	-	0%	0%	0,2,0,2,0,1,0,1,1,1,0,3,0,1,3,0,1,0,0,0,1,2,2,0,1,0,0	8th	4th
-38.4	-	600 DK	14%	KC @ TB		spread	u 5.5	-	-	-1200/+600	-	-	-	-1108/465	0%	0%		0	0
-38.4	-	900 FD	10%	CHC @ PIT	Bryan Reynolds	tb	o 4.5	'+900	-	-	-	-	-	-	0%	0%	1,0,2,1,0,2,0,1,1,1,2,0,1,1,1,2,0,0,0,3,1,3,3,1,1,0,0,1,0,3	20th	7th
-38.4	-	900 FD	10%	BOS @ TOR	Trevor Story	tb	o 4.5	'+900	-	-	-	-	-	-	0%	0%	0,1,0,0,1,3,0,2,2,1,2,0,2,1,2,3,1,2,0,3,1,3,0,0,0,1,0,1,0	25th	22nd
