EV	PN EV	EV Book	Imp	Game	Player	Prop	O/U	FD	Bet365	DK	MGM	PN	Kambi	CZ	SZN	LYR	Splits	Opp Rank	LYR Opp Rank
24.4	-	550 FD	15%	MIN @ CLE	Kody Clemens	tb	o 3.5	'+550	-	'+320	-	-	-	-	0%	0%	1,0,0	25th	9th
13.0	-	360 FD	22%	MIN @ CLE	Kody Clemens	tb	o 2.5	'+360	-	'+245	-	-	-	-	0%	0%	1,0,0	25th	9th
12.9	16.5	870 FD	10%	STL @ CIN	Jose Barrero	hr	o 0.5	'+870	-	'+550	'+500/-750	498/-877	600/-1115	-	0%	0%		27th	24th
11.9	-	750 FD	12%	STL @ CIN	Jose Barrero	tb	o 3.5	'+750	-	'+450	-	-	-	-	0%	0%		13th	17th
11.4	-	460 BR	18%	STL @ CIN	Spencer Steer	double	o 0.5	'+350	-	'+295/-450	-	-	460/-910	300/-479	21%	0%	0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0	23rd	23rd
11.2	-	500 FD	17%	STL @ CIN	Jose Barrero	tb	o 2.5	'+500	-	'+330	-	-	-	-	0%	0%		13th	17th
10.1	15.1	680 FD	13%	MIN @ CLE	Kody Clemens	hr	o 0.5	'+680	-	'+400	-	418/-680	475/-770	-	0%	0%	0,0,0	23rd	14th
7.1	-	245 BR	29%	MIN @ CLE	Steven Kwan	h	o 1.5	'+175	-	'+195/-260	'+190/-250	-	245/-335	178/-254	37%	0%	2,1,3,0,1,1,1,2,1,0,0,4,1,1,1,2,0,1,2,2,1,2,2,1,2,2,1,1,0,0	16th	17th
5.7	-	440 BR	19%	STL @ CIN	Masyn Winn	double	o 0.5	'+290	-	'+310/-475	-	-	440/-835	311/-504	11%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1	18th	21st
5.1	-	500 BR	17%	STL @ CIN	Elly De La Cruz	double	o 0.5	'+370	-	'+350/-550	-	-	500/-1000	334/-554	13%	0%	0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	23rd	23rd
4.9	-0.1	480 BR	17%	KC @ TB	Salvador Perez	hr	o 0.5	'+360	-	'+350	'+360/-500	363/-558	480/-770	320	7%	0%	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	26th	22nd
4.9	-	270 BR	27%	CHC @ PIT	Oneil Cruz	sb	o 0.5	'+225	-	'+205/-300	-	-	270/-400	-	0%	0%		2nd	15th
4.4	-	230 BR	30%	COL @ SF	Mickey Moniak	r	o 0.5	'+195	-	'+175/-250	'+175/-250	-	230/-335	172/-244	27%	0%	0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0	9th	12th
4.3	-	250 BR	29%	BOS @ TOR	Alex Bregman	h	o 1.5	'+200	-	'+195/-270	'+200/-275	-	250/-345	178/-254	34%	0%	0,1,2,1,1,1,3,2,4,1,0,0,1,1,0,2,0,5,0,0,1,1,2,2,2,1,1,3,1	17th	16th
4.2	-	140 BR	42%	MIL @ CHW	Joshua Palacios	r	o 0.5	-	-	'+110/-155	-	-	140/-195	108/-148	22%	0%	0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0	15th	26th
3.8	6.3	460 BR	18%	MIL @ CHW	Rhys Hoskins	hr	o 0.5	'+370	-	'+310	'+333/-450	331/-492	460/-770	300	11%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0	21st	27th
3.6	-	108 CZ	48%	MIN @ CLE	Carlos Correa	r	o 0.5	-160	-	-110/-130	-105/-130	-	-120/-113	108/-148	27%	0%	0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0	22nd	28th
3.6	-	425 DK	19%	MIL @ CHW	Joey Ortiz	tb	o 2.5	'+310	-	'+425	-	-	-	-	0%	0%	2,0,0,1,0,2,0,0,1,0,2,2,0,2,1,0,1,1,0,0,0,1,1,0,2,0,1,1,2,1	17th	26th
3.6	-	154 DK	39%	DET @ LAA		f3_spread	u 0.5	-	-	-200/+154	-165/+125	-	-	-	0%	0%		0	0
3.3	-2.5	480 FD	17%	MIL @ CHW	Jackson Chourio	hr	o 0.5	'+480	-	'+350	'+360/-500	372/-576	360/-530	333	17%	0%	0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	21st	27th
3.2	-	460 FD	18%	MIN @ CLE	Gabriel Arias	tb	o 3.5	'+460	-	'+340	-	-	-	-	0%	0%	2,1,2,1,1,1,1,0,0,0,0,3,2,0,2,1,0,2,0,1,1,0,1,1,1,1,1,0	9th	18th
3.2	-	114 BR	47%	ARI @ NYM	Corbin Carroll	r	o 0.5	-110	-	-110/-125	-105/-130	-	114/-155	-109/-125	53%	0%	0,0,0,1,2,0,1,2,0,1,0,2,2,0,1,2,2,0,2,0,1,0,2,2,1,0,0,1,0,0	1st	16th
3.0	-	-102 MGM	50%	DET @ LAA		f3_ml	o  	-	-	-125/-105	-102/-130	-	-	-125/-105	0%	0%		0	0
2.8	-	200 DK	33%	CHC @ PIT		f3_spread	o -0.5	-	-	'+200/-270	'+160/-220	-	-	-	0%	0%		0	0
2.3	-	-182 BR	65%	DET @ LAA	Dillon Dingler	r	u 0.5	'+145	-	'+180/-255	'+180/-250	-	132/-182	172/-244	73%	100%	1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0	26th	5th
2.3	-	-160 ESPN	62%	ATH @ TEX	Jeffrey Springs	k	u 5.5	'+150	-	'+150	-	-	155/-210	-	83%	100%	9,3,4,4,3,4	11th	23rd
2.0	-	235 BR	30%	CHC @ PIT	Oneil Cruz	h	o 1.5	'+180	-	'+190/-260	'+185/-250	-	235/-335	184/-264	29%	0%	0,2,0,0,1,1,2,0,1,1,0,0,0,2,0,2,1,1,1,0,2,2,2,1,2,0,0,1	22nd	14th
1.8	-	155 BR	39%	ATH @ TEX	Jeffrey Springs	k	o 5.5	'+150	-	'+150	-	-	155/-210	-	17%	0%	9,3,4,4,3,4	11th	23rd
1.8	-	180 BR	36%	ARI @ NYM	Pavin Smith	r	o 0.5	'+145	-	'+145/-200	'+150/-210	-	180/-265	143/-199	46%	0%	0,2,0,0,1,1,0,0,0,1,1,2,0,0,0,0,1,1,0,0,1,2,0,0,1,1,1,0	1st	16th
1.7	-	155 BR	39%	DET @ LAA	Spencer Torkelson	h	u 0.5	-190	-	-170/+125	-165/+130	-	-205/155	-174/126	35%	100%	1,2,1,2,1,0,1,2,1,0,2,1,0,2,1,0,0,1,2,1,1,1,1,0,0,1,1,0,0,0,0	25th	19th
1.7	2.3	-105 CZ	51%	CHC @ PIT		total	o 7.5	-120/-102	-	-118/-102	-118/-102	-117/104	-121/100	-105/-115	0%	0%		0	0
1.6	-	245 BR	29%	MIL @ CHW	Jackson Chourio	h	u 0.5	-260	-	-295	-	-	-345/245	-	23%	100%	0,2,1,1,1,3,1,1,1,2,2,2,1,1,2,0,1,0,0,1,0,2,1,1,0,2,4,2,1,0	18th	26th
1.6	-	154 MGM	39%	DET @ LAA		f3_spread	o -0.5	-	-	'+135/-175	'+154/-210	-	-	130/-160	0%	0%		0	0
1.5	-5.2	285 FD	26%	MIN @ CLE	Byron Buxton	hr	o 0.5	'+285	-	'+205	'+250/-325	253/-345	220/-295	210	21%	0%	0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0	23rd	14th
1.3	-	-105 BR	51%	WSH @ PHI	James Wood	r	o 0.5	-130	-	-130/-110	-125/-105	-	-105/-130	-133/-103	53%	0%	0,0,0,1,0,1,0,1,0,1,2,1,1,2,0,1,1,0,0,1,1,2,1,0,0,0,0,1,1,0	14th	19th
1.3	-	480 FD	17%	COL @ SF	Hunter Goodman	tb	o 3.5	'+480	-	'+350	-	-	-	-	0%	0%	2,1,1,1,2,0,1,1,1,1,0,0,0,1,2,1,1,1,1,1,1,2,2,0,1,2,1	6th	10th
1.3	-	124 DK	45%	CHC @ PIT		f3_ml	o  	-	-	'+124/-160	-102/-130	-	-	115/-145	0%	0%		0	0
1.2	-	160 FD	38%	WSH @ PHI	Keibert Ruiz	rbi	o 0.5	'+160	-	'+125/-175	'+130/-165	-	160/-215	133/-184	32%	0%	1,2,0,0,2,0,0,1,1,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0	17th	11th
1.2	-	-130 CZ	57%	COL @ SF		f3_total	u 2.5	-	-	'+120/-154	'+115/-155	-	125/-155	100/-130	0%	0%		0	0
1.1	-	-121 BR	55%	WSH @ PHI	Cj Abrams	r	o 0.5	-135	-	-150/+105	-150/+110	-	-121/-113	-148/108	50%	0%	0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0	14th	19th
1.0	-	-150 FD	60%	KC @ TB	Seth Lugo	k	u 5.5	'+118/-150	-	'+145	-	-	132/-177	-	67%	100%	4,2,6,4,5,8	17th	6th
1.0	-	275 BR	27%	DET @ LAA	Nolan Schanuel	rbi	o 0.5	'+250	-	'+215/-310	'+220/-300	-	275/-400	213/-314	29%	0%	0,0,0,1,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0	4th	4th
1.0	-	-165 MGM	62%	DET @ LAA		f3_spread	o 0.5	-	-	-200/+154	-165/+125	-	-	-	0%	0%		0	0
1.0	-4.5	450 FD	18%	COL @ SF	Matt Chapman	hr	o 0.5	'+450	-	'+330	'+360/-500	361/-552	320/-480	320	16%	0%	0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0	20th	30th
1.0	4.2	-110 CZ	52%	ATH @ TEX		total	o 8.5	-122/+100	-	-131/+101	-	-128/114	-121/100	-110/-110	0%	0%		0	0
0.9	-	220 BR	31%	STL @ CIN	Yohel Pozo	rbi	o 0.5	'+190	-	'+180/-260	'+175/-235	-	220/-315	-	29%	0%	1,1,0,0,0,0,0	10th	15th
0.9	-	175 BR	36%	KC @ TB	Maikel Garcia	r	o 0.5	'+150	-	'+140/-200	'+145/-200	-	175/-250	143/-199	33%	0%	0,1,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0	8th	21st
0.9	-	-186 BR	65%	DET @ LAA	Andy Ibanez	rbi	u 0.5	'+130	-	'+175/-250	'+180/-235	-	140/-186	172/-244	75%	100%	0,0,0,0,1,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0	26th	25th
0.9	-5.0	135 BR	43%	CHC @ PIT		total	u 7.0	-	-	-158/+121	-	-156/138	-175/135	-	0%	0%		0	0
0.8	-	185 BR	35%	COL @ SF	Hunter Goodman	r	o 0.5	'+160	-	'+150/-210	'+150/-210	-	185/-265	152/-214	44%	0%	0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,3,1,0,1,0,1	9th	12th
0.8	-	-140 MGM	58%	CHC @ PIT		f5_ml	u  	'+130/-164	-	'+130/-166	'+110/-140	-	-	130/-160	0%	0%		0	0
0.7	-10.9	420 FD	19%	STL @ CIN	Nolan Arenado	hr	o 0.5	'+420	-	'+370	'+360/-500	365/-562	280/-385	300	11%	0%	1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0	27th	24th
0.7	-1.4	132 BR	43%	MIN @ CLE	Steven Kwan	tb	o 1.5	'+100	-	'+110/-155	'+110/-155	116/-155	132/-186	108/-148	37%	0%	2,1,3,0,1,1,1,2,1,0,0,4,1,1,1,2,0,1,2,2,1,2,2,1,2,2,1,1,0,0	9th	18th
0.7	-	310 DK	24%	DET @ LAA		f3_spread	u 1.5	-	-	-445/+310	-350/+250	-	-	-	0%	0%		0	0
0.7	-	-130 MGM	57%	CHC @ PIT		f3_ml	u  	-	-	'+124/-160	-102/-130	-	-	115/-145	0%	0%		0	0
0.7	0.8	108 BR	48%	ARI @ NYM		total	o 8.0	-	-	-102/-118	-	100/-113	108/-130	-	0%	0%		0	0
0.6	-	130 BR	43%	WSH @ PHI	Dylan Crews	r	o 0.5	'+115	-	'+110/-150	'+110/-150	-	130/-180	108/-148	37%	0%	1,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,4,0,1,0,0,3,0,1,0,0,0	14th	19th
0.5	0.2	125 BR	44%	CHC @ PIT		home_total	u 3.5	-142/+112	-	-140/+110	-140/+105	-134/115	-155/125	-137/105	0%	0%		0	0
0.5	-2.3	470 FD	18%	ARI @ NYM	Eugenio Suarez	hr	o 0.5	'+470	-	'+350	'+375/-500	365/-562	375/-590	333	20%	0%	1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0	1st	7th
0.4	-	325 BR	24%	COL @ SF	Mickey Moniak	rbi	o 0.5	'+290	-	'+255/-370	'+260/-350	-	325/-500	252/-384	15%	0%	0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0	8th	12th
0.4	0.0	100 CZ	50%	COL @ SF		spread	o 1.5	-115/-111	-	-108/-112	-110/-110	-105/-105	-	100/-120	0%	0%		0	0
0.4	-	210 BR	32%	CHC @ PIT		total	u 6.0	-	-	-254/+188	-	-	-315/210	-248/162	0%	0%		0	0
0.4	-1.5	105 DK	49%	CHC @ PIT		f5_away_total	o 1.5	-	-	'+105/-135	-	-102/-119	-	-115/-115	0%	0%		0	0
0.4	-1.9	105 MGM	49%	CHC @ PIT		f5_spread	u 0.5	-114/-114	-	-120/-110	-140/+105	-116/102	-121/-105	-115/-115	0%	0%		0	0
0.3	-	-180 ESPN	64%	KC @ TB		away_total	o 2.5	-220/+168	-	-215/+165	-225/+170	-	-	-200/160	0%	0%		0	0
0.3	-	-150 FD	60%	DET @ LAA	Javier Baez	h	o 0.5	-150	-	-180/+135	-175/+135	-	-	-184/133	64%	0%	0,0,3,0,0,3,1,1,1,1,0,1,0,2,0,1,1,1,1,0,3,0,2,1,1	25th	19th
0.3	-	-143 BR	59%	CHC @ PIT		home_total	u 4.5	'+132/-170	-	'+130/-165	'+130/-170	-	117/-143	130/-167	0%	0%		0	0
0.2	0.6	158 FD	39%	MIN @ CLE	Ben Lively	k	o 4.5	'+158	-	'+130/-170	'+130/-175	132/-180	143/-195	133/-184	17%	0%	3,4,4,5,3,4	16th	22nd
0.2	-	200 BR	33%	KC @ TB	Bobby Witt	h	o 1.5	'+170	-	'+165/-230	'+170/-225	-	200/-275	165/-234	26%	0%	1,1,1,2,1,0,1,1,2,0,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,1,2	8th	10th
0.2	-0.5	100 ESPN	50%	KC @ TB		away_total	o 3.5	-115/-111	-	-115/-115	-118/-110	-107/-109	-112/-112	-110/-118	0%	0%		0	0
0.2	-3.6	-118 BR	54%	CHC @ PIT		total	u 8.0	-	-	-104/-125	-	103/-116	-104/-118	-	0%	0%		0	0
0.2	-0.0	100 CZ	50%	CHC @ PIT		away_total	o 3.5	-115/-111	-	-115/-115	-118/-110	-108/-108	-108/-115	100/-133	0%	0%		0	0
0.2	-	320 BR	24%	ATH @ TEX	Jeffrey Springs	k	o 6.5	'+300	-	'+300	-	-	320/-500	-	17%	0%	9,3,4,4,3,4	11th	23rd
0.1	0.5	-385 BR	79%	STL @ CIN	Nolan Arenado	hr	u 0.5	'+420	-	'+370	'+360/-500	365/-562	280/-385	300	89%	100%	1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0	27th	24th
0.1	-	420 BR	19%	STL @ CIN	Matt Mclain	double	o 0.5	'+350	-	'+300/-475	-	-	420/-770	311/-504	14%	0%	0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0	23rd	23rd
0.1	-	145 DK	41%	STL @ CIN		f3_spread	u 0.5	-	-	-188/+145	-165/+125	-	-	-160/130	0%	0%		0	0
0.1	-	-110 DK	52%	STL @ CIN		f3_ml	u  	-	-	-120/-110	-102/-130	-	-	-105/-125	0%	0%		0	0
0.1	-1.7	600 FD	14%	MIN @ CLE	Gabriel Arias	hr	o 0.5	'+600	-	'+425	'+450/-625	437/-723	525/-910	380	14%	0%	0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	18th	20th
0.1	-	-125 FD	56%	KC @ TB	Kameron Misner	h	o 0.5	-125	-	-150/+110	-150/+115	-	-136/105	-148/108	65%	0%	1,2,0,1,1,1,2,1,1,0,0,2,1,3,1,1,0,0,1,3,0,0,1,0,0,1	6th	13th
0.1	-0.4	102 BR	50%	KC @ TB		f5_spread	u 0.5	-114/-114	-	-120/-110	-118/-110	-110/-104	-130/102	-115/-115	0%	0%		0	0
0.1	-1.1	-145 ESPN	59%	COL @ SF		total	o 6.5	-180/+140	-	-172/+131	-	-152/134	-165/132	-178/120	0%	0%		0	0
0.1	-	180 CZ	36%	COL @ SF		f3_ml	o  	-	-	'+160/-210	'+145/-200	-	-	180/-220	0%	0%		0	0
-0.0	6.3	120 BR	45%	STL @ CIN	Andrew Abbott	k	u 4.5	-146/+116	-	-140/+110	-140/+105	-123/-108	-159/120	-148/108	33%	100%	5,11,4	7th	21st
0.0	-	210 FD	32%	MIN @ CLE	Byron Buxton	tb	o 3.5	'+210	-	'+175	-	-	-	-	0%	0%	0,0,1,0,1,2,2,0,1,0,0,1,0,2,0,2,2,0,3,2,0,1,0,2,1,2,0,1	25th	9th
0.0	-	-160 CZ	62%	DET @ LAA		f3_spread	u -0.5	-	-	'+135/-175	'+154/-210	-	-	130/-160	0%	0%		0	0
-0.0	-	160 BR	38%	COL @ SF	Brenton Doyle	r	o 0.5	'+145	-	'+130/-185	'+135/-185	-	160/-225	133/-184	25%	0%	0,0,0,0,0,0,0,1,3,1,0,2,0,0,0,0,0,0,0,1	9th	12th
-0.0	2.3	-120 DK	55%	CHC @ PIT	Colin Rea	er	u 2.5	-	-	-110/-120	'+105/-150	112/-147	-	-103/-133	100%	100%	0,0,0,1,1,0	26th	24th
-0.0	3.4	-127 BR	56%	CHC @ PIT		rfi	u  	'+112/-142	-	'+100/-135	-	128/-151	102/-127	115/-145	0%	0%		0	0
0.0	-0.9	110 CZ	48%	ATH @ TEX		f5_spread	u 0.5	-125/-106	-	-125/-105	-130/-102	-120/104	-122/-104	-140/110	0%	0%		0	0
-0.1	-	-107 BR	52%	STL @ CIN		f3_total	o 2.5	-	-	-125/-105	-118/-110	-	-107/-117	-125/-105	0%	0%		0	0
-0.1	-	-143 BR	59%	KC @ TB	Yandy Diaz	r	u 0.5	-115	-	'+130/-180	'+130/-185	-	106/-143	133/-184	73%	100%	0,0,1,0,2,0,0,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0	6th	25th
-0.1	-	138 BR	42%	DET @ LAA	Dillon Dingler	h	u 0.5	-180	-	-155/+115	-155/+120	-	-182/138	-166/120	32%	100%	2,0,3,1,0,0,2,1,3,0,1,0,1,1,1,0,1,1,1,2,1,0	25th	19th
-0.1	-	150 BR	40%	COL @ SF		f5_spread	u 1.5	-166/+124	-	-160/+124	-180/+135	-	-195/150	-	0%	0%		0	0
-0.1	-3.8	-110 MGM	52%	CHC @ PIT	Colin Rea	k	u 4.5	-106/-120	-	-110/-120	-115/-110	-113/-117	100/-132	104/-142	50%	100%	0,1,1,5,5,7	22nd	4th
-0.2	-	152 FD	40%	STL @ CIN	Andrew Abbott	k	o 5.5	'+152	-	'+115	-	-	133/-180	-	33%	0%	5,11,4	7th	21st
-0.2	-	170 BR	37%	MIL @ CHW	Rhys Hoskins	rbi	o 0.5	'+145	-	'+140/-200	'+145/-190	-	170/-235	139/-194	29%	0%	0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,4,0,0,0,0,0,1,0,0	20th	27th
-0.2	-	210 FD	32%	MIL @ CHW	Jackson Chourio	h	o 1.5	'+210	-	'+175/-235	'+175/-235	-	175/-235	172/-244	33%	0%	0,2,1,1,1,3,1,1,1,2,2,2,1,1,2,0,1,0,0,1,0,2,1,1,0,2,4,2,1,0	18th	26th
-0.2	-	240 FD	29%	DET @ LAA	Yusei Kikuchi	k	o 7.5	'+240	-	'+215	-	-	-	-	0%	0%	5,6,5,6,6,0	26th	7th
-0.2	-	205 BR	33%	DET @ LAA	Taylor Ward	rbi	o 0.5	'+170	-	'+165/-240	'+175/-235	-	205/-286	172/-244	29%	0%	0,0,0,1,0,0,0,1,0,0,1,3,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0	4th	4th
-0.2	-	-132 BR	57%	CHC @ PIT	Oneil Cruz	r	o 0.5	-155	-	-165/+115	-160/+120	-	-132/-103	-148/108	50%	0%	0,2,1,0,0,0,1,0,1,0,0,0,0,2,0,1,1,2,0,0,1,1,1,2,1,0,0,1	18th	22nd
-0.2	-	-220 MGM	69%	CHC @ PIT		f3_spread	u -0.5	-	-	'+200/-270	'+160/-220	-	-	-	0%	0%		0	0
-0.2	-	-107 BR	52%	BOS @ TOR		f1_total	u 0.5	-	-	-105/-120	-	-	-117/-107	-	0%	0%		0	0
-0.2	-	200 BR	33%	ARI @ NYM	Eugenio Suarez	rbi	o 0.5	'+195	-	'+160/-230	'+170/-225	-	200/-278	159/-224	20%	0%	1,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0	2nd	16th
-0.3	-	155 FD	39%	KC @ TB	Kameron Misner	single	o 0.5	'+155	-	'+125/-180	-	-	-	133/-184	46%	0%	0,2,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1	9th	10th
-0.3	-1.6	-125 ESPN	56%	KC @ TB		total	o 7.5	-146/+114	-	-140/+108	-	-129/114	-139/115	-	0%	0%		0	0
-0.3	-	210 BR	32%	COL @ SF	Michael Toglia	r	o 0.5	'+170	-	'+170/-245	'+175/-250	-	210/-305	172/-244	29%	0%	1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0	9th	12th
-0.3	-	-105 DK	51%	BOS @ TOR		f1_total	o 0.5	-	-	-105/-120	-	-	-117/-107	-	0%	0%		0	0
-0.4	-	205 BR	33%	MIL @ CHW	Andrew Vaughn	rbi	o 0.5	'+170	-	'+170/-245	'+175/-235	-	205/-286	165/-234	25%	0%	0,0,0,3,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,1	15th	5th
-0.4	-	-159 BR	61%	DET @ LAA	Riley Greene	r	u 0.5	-110	-	'+145/-205	'+150/-210	-	117/-159	139/-194	63%	100%	0,1,0,1,2,0,2,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,2	26th	5th
-0.4	-	143 BR	41%	CHC @ PIT	Enmanuel Valdez	r	o 0.5	'+125	-	'+120/-170	'+120/-165	-	143/-200	120/-166	29%	0%	0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0	18th	22nd
-0.5	-	120 BR	45%	MIL @ CHW	Rhys Hoskins	r	o 0.5	-115	-	'+105/-145	'+105/-145	-	120/-165	100/-137	21%	0%	0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,0	17th	4th
-0.5	-	-148 BR	60%	KC @ TB	Brandon Lowe	r	u 0.5	'+100	-	'+130/-185	'+135/-185	-	108/-148	133/-184	74%	100%	1,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0	6th	25th
-0.5	-	110 BR	48%	KC @ TB	Bobby Witt	r	o 0.5	-120	-	-105/-135	'+100/-135	-	110/-150	-106/-129	48%	0%	1,0,0,1,0,0,2,1,1,0,2,0,1,0,1,0,1,0,1,0,2,0,1,0,1,2,0,0,0,0,1	8th	21st
-0.5	-2.6	-137 BR	58%	CHC @ PIT		total	u 8.5	'+114/-146	-	'+116/-151	-	122/-138	114/-137	115/-170	0%	0%		0	0
-0.5	-0.5	116 BR	46%	CHC @ PIT		f5_total	u 3.5	-138/+106	-	-130/+100	-140/+105	-125/109	-143/116	-130/100	0%	0%		0	0
-0.5	-	170 BR	37%	BOS @ TOR	Kristian Campbell	tb	o 1.5	'+135	-	'+145	-	-	170/-245	-	41%	0%	1,2,2,1,0,2,2,1,1,1,1,0,2,0,1,2,0,0,1,2,2,0,0,3,2,2,0	25th	22nd
-0.5	1.2	-135 ESPN	57%	ATH @ TEX		f5_away_total	o 1.5	-	-	-154/+120	-	-156/128	-	-145/115	0%	0%		0	0
-0.6	-	190 BR	34%	WSH @ PHI		f1_total	o 1.5	-	-	'+165/-215	-	-	190/-245	-	0%	0%		0	0
-0.6	-	310 BR	24%	STL @ CIN		f3_spread	u 1.5	-	-	-395/+280	-325/+230	-	-420/310	-	0%	0%		0	0
-0.6	-	-325 MGM	76%	STL @ CIN		f3_spread	o 1.5	-	-	-395/+280	-325/+230	-	-420/310	-	0%	0%		0	0
-0.6	-	-175 DK	64%	STL @ CIN		f3_spread	u -0.5	-	-	'+135/-175	'+154/-210	-	-	-	0%	0%		0	0
-0.6	-	154 MGM	39%	STL @ CIN		f3_spread	o -0.5	-	-	'+135/-175	'+154/-210	-	-	-	0%	0%		0	0
-0.6	-	205 BR	33%	COL @ SF	Mickey Moniak	tb	o 1.5	'+185	-	'+165	-	-	205/-305	-	8%	0%	0,0,1,1,1,0,0,1,0,1,0,0,0,2,1,1,2,0,1,1,0,0,1,1,0,0	6th	10th
-0.7	-2.5	100 DK	50%	STL @ CIN	Matthew Liberatore	er	o 2.5	-	-	'+100/-135	-118/-118	-110/-121	-	-117/-117	40%	0%	3,5,0,2,1	8th	16th
-0.7	-2.6	110 ESPN	48%	KC @ TB		total	o 8.5	-102/-125	-	-101/-129	-105/-125	109/-122	100/-122	-	0%	0%		0	0
-0.7	-	114 BR	47%	DET @ LAA	Zach Neto	r	o 0.5	-115	-	'+100/-140	'+100/-135	-	114/-157	100/-137	45%	0%	1,0,2,0,0,1,0,1,0,1,0	3rd	27th
-0.7	0.4	122 CZ	45%	CHC @ PIT		ml	o  	'+116/-136	-	'+114/-135	'+110/-135	116/-126	-	122/-145	0%	0%		0	0
-0.8	-	128 BR	44%	MIN @ CLE	Jose Ramirez	rbi	o 0.5	'+115	-	'+110/-155	'+115/-150	-	128/-175	108/-148	28%	0%	1,0,1,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0	7th	21st
-0.8	-	124 DK	45%	CHC @ PIT		f3_total	o 2.5	-	-	'+124/-160	'+105/-140	-	112/-139	115/-145	0%	0%		0	0
-0.8	-6.4	500 BR	17%	BOS @ TOR	Wilyer Abreu	hr	o 0.5	'+420	-	'+390	'+400/-550	399/-633	500/-835	350	14%	0%	2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0	30th	29th
-0.8	-	-350 ESPN	78%	ATH @ TEX	Jeffrey Springs	k	u 6.5	'+300	-	'+300	-	-	320/-500	-	83%	100%	9,3,4,4,3,4	11th	23rd
-0.8	0.8	-110 BR	52%	ARI @ NYM		total	o 7.5	-118/-104	-	-124/-104	-115/-105	-119/106	-110/-109	-120/100	0%	0%		0	0
