EV	EV Book	Game	Player	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi	CZ
-6.7	pb	MIN @ PHI		1h_total	u 22.5	-	-	-	-180/+135	-180/140	-170/142	-	-
-6.7	fd	MIN @ PHI		1h_away_total	o 10.5	124/-150	-	-	-	120/-160	-	-	-
-6.7	dk	MIN @ PHI		spread	u -5.5	420/-650	'+394/-620	-	-	-	-	330/-530	376/-654
-6.7	dk	MIN @ PHI		spread	u -2.0	-	'+244/-340	240/-350	-	-	-	225/-315	236/-354
-6.8	mgm	MIN @ PHI	Alexander Mattison	rush_att	o 12.5	-	-	-120/-110	-	-120/-110	-	-112/-115	-127/-108
-6.8	bv	MIN @ PHI		1h_total	u 23.5	-	-	-	-150/+115	-	-141/120	-	-
-6.8	mgm	MIN @ PHI		ml	o  	220/-270	'+210/-258	220/-275	'+220/-270	210/-260	223/-262	215/-275	210/-260
-6.9	dk	MIN @ PHI	Jalen Hurts	pass_yd	u 251.5	-	-115/-115	-	-	-	-115/-115	-	-119/-115
-6.9	mgm	MIN @ PHI	Jalen Hurts	longest_pass	u 37.5	-	-	-120/-110	-	-	-120/-110	-	-123/-111
-6.9	dk	MIN @ PHI	Greg Joseph	fgm	o 1.5	-	'+120/-150	115/-155	-	-	-	-	116/-160
-6.9	cz	MIN @ PHI	Aj Brown	rec_yd	o 73.5	-	-125/-105	-	-	-	-113/-117	-115/-113	-119/-115
-6.9	dk	MIN @ PHI		total	o 53.5	-	'+150/-197	145/-190	-	140/-180	-	148/-195	143/-199
-6.9	bv	MIN @ PHI		1h_spread	u 4.5	-	-	-	-145/+110	-	-134/117	-	-
-6.9	pb	MIN @ PHI		home_total	o 28.5	-	-	-	100/-130	100/-130	106/-124	-	-
-6.9	cz	MIN @ PHI		spread	u -6.5	500/-850	-	-	-	-	-	390/-715	431/-804
-7.1	fd	MIN @ PHI		spread	o 30.5	-7000/1500	-	-	-	-	-	-	-7504/1000
-7.1	dk	MIN @ PHI		spread	u -4.5	370/-560	'+361/-553	-	-	-	-	300/-480	345/-579
-7.2	fd	MIN @ PHI		total	u 72.5	1300/-5000	-	-	-	-	-	-	929/-5004
-7.2	bv	MIN @ PHI		1h_spread	u 6.0	-	-	-	-165/+125	-	-153/131	-	-
-7.2	fd	MIN @ PHI		spread	o 29.5	-6000/1400	-	-	-	-	-	-	-6004/964
-7.2	fd	MIN @ PHI		spread	o 28.5	-5000/1300	-	-	-	-	-	-	-5004/929
-7.2	fd	MIN @ PHI		spread	o 27.5	-4000/1100	-	-	-	-	-	-	-4004/881
-7.2	bv	MIN @ PHI		1h_total	o 26.0	-	-	-	100/-130	-	106/-125	-	-
-7.2	bv	MIN @ PHI		1h_total	o 25.5	-	-	-	-105/-125	-	101/-120	-	-
-7.2	fd	MIN @ PHI		spread	u 15.5	-430/300	-369/+261	-350/250	-	-400/280	-	-400/275	-384/252
-7.2	fd	MIN @ PHI		spread	u -15.5	1400/-6000	-	-	-	-	-	-	964/-6004
-7.2	fd	MIN @ PHI		spread	u -14.5	1300/-5000	-	-	-	-	-	-	929/-5004
-7.3	fd	MIN @ PHI		total	o 52.5	136/-174	'+135/-177	135/-175	-	130/-170	-	135/-175	129/-179
-7.3	dk	MIN @ PHI		total	u 46.0	-	-171/+131	-165/125	-	-	-	-175/135	-169/123
-7.3	dk	MIN @ PHI		total	u 45.5	-	-179/+137	-175/135	-	-175/135	-	-180/140	-174/126
-7.3	dk	MIN @ PHI		total	u 44.0	-	-223/+168	-210/160	-	-	-	-225/165	-214/152
-7.3	bv	MIN @ PHI		1q_spread	u 3.0	-	-	-	-135/+105	-	-129/113	-	-
-7.3	bv	MIN @ PHI		1h_spread	o 2.5	-	-	-	'+120/-160	-	127/-147	-	-
-7.4	dk	MIN @ PHI		spread	u -4.0	-	'+353/-538	350/-550	-	-	-	295/-455	334/-554
-7.5	bv	MIN @ PHI		1q_total	u 7.5	-	-	-	-145/+110	-	-139/115	-	-
-7.5	bv	MIN @ PHI		1h_total	u 22.0	-	-	-	-190/+145	-	-179/149	-	-
-7.5	mgm	MIN @ PHI		1q_away_total	u 0.5	-	-	-160/125	-165/+125	-	-154/130	-	-
-7.5	dk	MIN @ PHI		spread	u -3.0	-	'+307/-449	300/-450	-	-	-	265/-385	287/-454
-7.6	dk	MIN @ PHI		total	o 52.0	-	'+129/-168	125/-165	-	-	-	130/-165	126/-174
-7.6	dk	MIN @ PHI		total	u 45.0	-	-192/+146	-185/140	-	-	-	-195/148	-189/136
-7.7	dk	MIN @ PHI		spread	u -6.0	-	'+460/-770	-	-	-	-	380/-670	431/-804
-7.8	dk	MIN @ PHI		spread	u 11.0	-	-227/+171	-210/155	-	-	-	-230/175	-224/159
-7.9	dk	MIN @ PHI		total	u 43.5	-	-235/+176	-225/170	-	-225/165	-	-240/175	-224/159
-7.9	dk	MIN @ PHI		spread	u -5.0	-	'+388/-610	-	-	-	-	325/-530	366/-629
-7.9	fd	MIN @ PHI		spread	o -1.5	240/-330	'+229/-316	220/-300	-	220/-300	-	215/-295	219/-324
-8.0	mgm	MIN @ PHI		total	o 53.0	-	'+143/-188	145/-190	-	-	-	143/-186	139/-194
-8.0	bv	MIN @ PHI		1q_total	o 10.0	-	-	-	'+115/-150	-	121/-146	-	-
-8.2	bv	MIN @ PHI		1h_spread	u 6.5	-	-	-	-170/+130	-	-162/138	-	-
-8.2	dk	MIN @ PHI		total	o 54.0	-	'+163/-216	160/-210	-	-	-	160/-215	152/-214
-8.2	fd	MIN @ PHI		spread	u 16.5	-480/330	-411/+285	-375/270	-	-	-	-480/310	-454/287
-8.2	dk	MIN @ PHI		spread	u 12.0	-	-251/+187	-225/165	-	-	-	-250/190	-254/178
-8.3	mgm	MIN @ PHI		total	o 54.5	168/-220	'+170/-226	170/-225	-	160/-210	-	165/-225	159/-224
-8.3	bv	MIN @ PHI		1h_total	u 23.0	-	-	-	-165/+125	-	-158/132	-	-
-8.4	cz	MIN @ PHI		home_total	u 24.5	-	-	-	-	-190/145	-	-	-204/146
-8.4	dk	MIN @ PHI		spread	o 1.0	-	'+196/-266	190/-250	-	-	-	185/-250	184/-264
-8.5	dk	MIN @ PHI		spread	o 2.0	-	'+176/-235	175/-250	-	-	-	170/-220	159/-224
-8.5	dk	MIN @ PHI		spread	u 10.0	-	-195/+148	-185/140	-	-	-	-200/155	-199/143
-8.7	dk	MIN @ PHI		total	u 43.0	-	-264/+195	-250/185	-	-	-	-265/190	-254/178
-8.8	dk	MIN @ PHI	Jalen Hurts	int	o 0.5	-	'+140/-180	135/-185	-	-	144/-199	135/-177	-
-8.8	dk	MIN @ PHI		total	u 42.0	-	-299/+218	-275/210	-	-	-	-295/210	-284/196
-8.9	bv	MIN @ PHI		1h_spread	u 7.0	-	-	-	-215/+160	-	-200/168	-	-
-8.9	dk	MIN @ PHI		total	u 41.5	-	-307/+223	-275/210	-	-290/210	-	-305/215	-294/202
-9.1	fd	MIN @ PHI		total	o 56.5	215/-290	'+208/-283	210/-275	-	200/-275	-	205/-286	196/-284
-9.6	fd	MIN @ PHI		total	u 36.5	-800/480	-	-	-	-	-	-	-654/376
-9.9	pb	MIN @ PHI		away_total	u 18.5	-	-	-	-	-190/145	-	-	-199/143
-10.0	cz	MIN @ PHI	Alexander Mattison	rec_yd	o 14.5	-	-130/+100	-	-	-	-101/-131	-110/-118	-123/-111
-10.0	dk	MIN @ PHI		spread	u 9.0	-	-169/+130	-165/125	-	-	-178/151	-175/138	-179/129
-10.1	cz	MIN @ PHI		spread	o 0.5	-	-	-	-	190/-260	-	190/-265	196/-284
-10.2	dk	MIN @ PHI		total	o 55.5	-	'+192/-259	190/-250	-	185/-250	-	188/-265	184/-264
-10.2	pb	MIN @ PHI		home_total	o 30.5	-	-	-	-	140/-180	-	-	139/-194
-10.3	mgm	MIN @ PHI		total	o 55.0	-	'+185/-248	185/-250	-	-	-	180/-245	178/-254
-10.7	dk	MIN @ PHI		spread	u 13.0	-	-273/+202	-250/185	-	-	-	-286/210	-284/196
-10.9	fd	MIN @ PHI		total	u 38.5	-520/350	-481/+324	-450/310	-	-	-	-500/325	-454/287
-11.1	fd	MIN @ PHI		spread	o -2.5	260/-360	'+249/-349	240/-350	-	240/-350	-	235/-345	247/-374
-11.3	pb	MIN @ PHI		away_total	o 24.5	-	-	-	-	160/-210	-	-	159/-224
-11.3	fd	MIN @ PHI		spread	u 17.5	-590/390	-491/+329	-	-	-	-	-590/350	-529/323
-11.4	dk	MIN @ PHI		spread	o -1.0	-	'+222/-305	220/-300	-	-	-	210/-295	213/-314
-11.7	dk	MIN @ PHI		total	o 57.0	-	'+229/-316	220/-300	-	-	-	225/-315	219/-324
-11.7	dk	MIN @ PHI		total	o 56.0	-	'+203/-276	200/-275	-	-	-	200/-278	196/-284
-11.9	dk	MIN @ PHI		total	u 41.0	-	-345/+246	-350/240	-	-	-	-345/240	-324/219
-12.1	fd	MIN @ PHI		total	u 34.5	-1200/630	-	-	-	-	-	-	-904/464
-12.1	pb	MIN @ PHI		spread	o -0.5	-	-	-	-	200/-275	-	195/-275	196/-284
-12.2	dk	MIN @ PHI		total	u 39.5	-	-425/+293	-400/280	-	-375/260	-	-435/290	-404/262
-12.4	dk	MIN @ PHI		total	o 58.0	-	'+265/-376	250/-350	-	-	-	255/-375	247/-374
-12.5	fd	MIN @ PHI		total	o 58.5	280/-390	'+275/-393	270/-375	-	-	-	265/-385	252/-384
-12.5	dk	MIN @ PHI		spread	o -2.0	-	'+244/-340	240/-350	-	-	-	225/-315	236/-354
-12.7	mgm	MIN @ PHI		total	o 57.5	-	'+237/-330	240/-350	-	-	-	230/-335	227/-339
-12.8	dk	MIN @ PHI		spread	o -3.0	-	'+307/-449	300/-450	-	-	-	265/-385	287/-454
-12.9	fd	MIN @ PHI		spread	o -3.5	330/-480	'+326/-486	310/-450	-	-	-	280/-420	300/-479
-13.4	fd	MIN @ PHI		spread	u 18.5	-670/430	-558/+364	-	-	-	-	-670/390	-604/355
-13.7	dk	MIN @ PHI		total	u 40.0	-	-408/+284	-400/275	-	-	-	-420/280	-384/252
-14.0	fd	MIN @ PHI		spread	o -5.5	420/-650	'+394/-620	-	-	-	-	330/-530	376/-654
-14.1	dk	MIN @ PHI		spread	u 14.0	-	-320/+231	-300/220	-	-	-	-345/245	-339/227
-14.7	dk	MIN @ PHI		total	o 59.5	-	'+306/-448	-	-	-	-	295/-455	275/-429
-14.7	dk	MIN @ PHI		total	o 59.0	-	'+299/-435	-	-	-	-	285/-435	275/-429
-14.8	fd	MIN @ PHI		spread	u 20.5	-900/520	-710/+434	-	-	-	-	-	-804/431
-14.9	fd	MIN @ PHI		spread	u 19.5	-770/470	-610/+389	-	-	-	-	-770/430	-679/386
-15.0	fd	MIN @ PHI		spread	o -4.5	370/-560	'+361/-553	-	-	-	-	300/-480	345/-579
-15.7	dk	MIN @ PHI		spread	o -4.0	-	'+353/-538	350/-550	-	-	-	295/-455	334/-554
-15.8	fd	MIN @ PHI		total	o 62.5	440/-700	-	-	-	-	-	-	376/-654
-15.8	fd	MIN @ PHI		total	u 32.5	-2500/900	-	-	-	-	-	-	-1404/594
-16.1	dk	MIN @ PHI		spread	u 15.0	-	-361/+256	-350/240	-	-	-	-400/270	-384/252
-16.1	dk	MIN @ PHI		spread	o -5.0	-	'+388/-610	-	-	-	-	325/-530	366/-629
-16.3	dk	MIN @ PHI		total	o 60.0	-	'+331/-494	-	-	-	-	320/-500	300/-479
-16.4	fd	MIN @ PHI		spread	o -6.5	500/-850	-	-	-	-	-	390/-715	431/-804
-16.7	dk	MIN @ PHI		total	u 39.0	-	-468/+317	-450/310	-	-	-	-500/320	-454/287
-16.9	fd	MIN @ PHI		total	o 60.5	340/-500	'+337/-507	-	-	-	-	330/-530	300/-479
-17.3	dk	MIN @ PHI		total	o 61.5	-	'+382/-596	-	-	-	-	-	345/-579
-17.7	dk	MIN @ PHI		spread	u 16.0	-	-400/+279	-375/270	-	-	-	-455/300	-429/275
-18.0	dk	MIN @ PHI		total	u 37.0	-	-660/+410	-	-	-	-	-	-629/366
-18.9	dk	MIN @ PHI		total	o 62.0	-	'+420/-680	-	-	-	-	-	376/-654
-18.9	dk	MIN @ PHI		total	o 61.0	-	'+372/-576	-	-	-	-	370/-590	334/-554
-18.9	fd	MIN @ PHI		spread	o -8.5	750/-1600	-	-	-	-	-	-	548/-1204
-19.2	dk	MIN @ PHI		total	u 38.0	-	-529/+349	-	-	-	-	-590/350	-504/311
-19.3	fd	MIN @ PHI		total	o 64.5	540/-950	-	-	-	-	-	-	448/-854
-19.3	fd	MIN @ PHI		spread	u 21.5	-1200/630	-	-	-	-	-	-	-1004/495
-19.3	fd	MIN @ PHI		spread	o -7.5	630/-1200	-	-	-	-	-	-	495/-1004
-20.0	dk	MIN @ PHI		total	u 37.5	-	-543/+356	-	-	-	-	-590/360	-529/323
-20.1	fd	MIN @ PHI		spread	u 22.5	-1400/680	-	-	-	-	-	-	-1104/522
-20.1	dk	MIN @ PHI		spread	o -6.0	-	'+460/-770	-	-	-	-	380/-670	431/-804
-20.2	dk	MIN @ PHI		spread	u 17.0	-	-472/+319	-450/300	-	-	-	-560/340	-504/311
-22.8	cz	MIN @ PHI		spread	u 20.0	-	-690/+426	-	-	-	-	-	-804/431
-23.6	fd	MIN @ PHI		total	o 66.5	700/-1450	-	-	-	-	-	-	548/-1204
-25.9	dk	MIN @ PHI		spread	u 18.0	-	-543/+356	-	-	-	-	-670/380	-579/345
-27.2	fd	MIN @ PHI		total	u 30.5	-3500/1060	-	-	-	-	-	-	-2004/699
-28.5	fd	MIN @ PHI		spread	u 23.5	-1600/750	-	-	-	-	-	-	-1404/594
-28.5	fd	MIN @ PHI		spread	o -9.5	750/-1600	-	-	-	-	-	-	594/-1404
-29.2	dk	MIN @ PHI		spread	u 19.0	-	-600/+384	-	-	-	-	-770/425	-654/376
-30.9	fd	MIN @ PHI		spread	o -11.5	1000/-3000	-	-	-	-	-	-	699/-2004
-31.5	fd	MIN @ PHI		total	o 68.5	900/-2500	-	-	-	-	-	-	669/-1804
-31.5	fd	MIN @ PHI		spread	o -10.5	900/-2500	-	-	-	-	-	-	669/-1804
-33.6	fd	MIN @ PHI		spread	u 24.5	-2200/870	-	-	-	-	-	-	-1804/669
-37.2	fd	MIN @ PHI		spread	u 25.5	-2500/900	-	-	-	-	-	-	-2004/699
-39.4	fd	MIN @ PHI		total	o 70.5	1060/-3500	-	-	-	-	-	-	762/-2504
-39.4	fd	MIN @ PHI		spread	u 26.5	-3500/1060	-	-	-	-	-	-	-2504/762
-39.4	fd	MIN @ PHI		spread	o -12.5	1060/-3500	-	-	-	-	-	-	762/-2504
-50.1	fd	MIN @ PHI		spread	o -13.5	1100/-4000	-	-	-	-	-	-	835/-3304
-55.0	fd	MIN @ PHI		total	u 24.5	-20000/2500	-	-	-	-	-	-	-9004/1200
-55.8	fd	MIN @ PHI		total	u 28.5	-6000/1400	-	-	-	-	-	-	-5004/929
-57.5	fd	MIN @ PHI		spread	u 27.5	-4000/1100	-	-	-	-	-	-	-4004/881
-58.0	fd	MIN @ PHI		total	u 22.5	-100000/4000	-	-	-	-	-	-	-16004/1500
-58.7	fd	MIN @ PHI		total	o 72.5	1300/-5000	-	-	-	-	-	-	929/-5004
-58.7	fd	MIN @ PHI		spread	u 28.5	-5000/1300	-	-	-	-	-	-	-5004/929
-58.7	fd	MIN @ PHI		spread	o -14.5	1300/-5000	-	-	-	-	-	-	929/-5004
-59.4	fd	MIN @ PHI		total	o 74.5	1500/-7000	-	-	-	-	-	-	964/-6004
-59.4	fd	MIN @ PHI		spread	o -16.5	1500/-7000	-	-	-	-	-	-	964/-6004
-59.9	fd	MIN @ PHI		total	o 76.5	1800/-10000	-	-	-	-	-	-	1000/-7504
-62.0	fd	MIN @ PHI		spread	u 29.5	-6000/1400	-	-	-	-	-	-	-6004/964
-62.0	fd	MIN @ PHI		spread	o -15.5	1400/-6000	-	-	-	-	-	-	964/-6004
-62.1	fd	MIN @ PHI		total	u 26.5	-10000/1700	-	-	-	-	-	-	-7504/1000
-62.1	fd	MIN @ PHI		spread	o -17.5	1700/-10000	-	-	-	-	-	-	1000/-7504
-63.3	fd	MIN @ PHI		total	o 78.5	2500/-20000	-	-	-	-	-	-	1400/-11004
-66.3	fd	MIN @ PHI		spread	u 30.5	-7000/1500	-	-	-	-	-	-	-7504/1000
-68.8	fd	MIN @ PHI		spread	u 32.5	-10000/1700	-	-	-	-	-	-	-9004/1200
-68.8	fd	MIN @ PHI		spread	u 31.5	-10000/1700	-	-	-	-	-	-	-9004/1200
-68.8	fd	MIN @ PHI		spread	o -18.5	1700/-10000	-	-	-	-	-	-	1200/-9004
-73.2	fd	MIN @ PHI		spread	u 33.5	-20000/1800	-	-	-	-	-	-	-11004/1400
