Team	Player	AVG PTS	WK8 PTS	SZN Snap %	WK8 Snap %	RB RZ Look Share	WK8 RB RZ Share	RB Target Share	WK8 RB Target Share
LAC	Isaiah Spiller	1.2	1.3	14%	12%	29%	0%	13%	11%
LAC	Elijah Dotson	2.9	0	6%	0	4%	-%	17%	-%
-	-	-	-	-	-	-	-	-	-
LAR	Royce Freeman	4.2	10.4	48%	53%	33%	67%	0%	0%
LAR	Darrell Henderson	11.6	10.0	52%	47%	67%	33%	100%	100%
LAR	Kyren Williams	17.4	0	83%	0	94%	-%	86%	-%
LAR	Ronnie Rivers	2.4	0	14%	0	0%	-%	21%	-%
LAR	Zach Evans	1.0	0	11%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
LV	Josh Jacobs	12.1	15.8	76%	76%	87%	100%	68%	80%
LV	Ameer Abdullah	1.5	2.4	16%	22%	0%	0%	19%	20%
LV	Jakob Johnson	0.6	0.0	23%	11%	0%	0%	3%	0%
LV	Zamir White	2.2	0	9%	2%	16%	0%	11%	0%
-	-	-	-	-	-	-	-	-	-
MIA	Raheem Mostert	18.6	10.6	59%	56%	47%	40%	39%	0%
MIA	Jeff Wilson	2.8	4.7	20%	25%	0%	0%	21%	25%
MIA	Salvon Ahmed	4.4	3.7	25%	25%	25%	60%	38%	50%
MIA	Alec Ingold	2.0	1.0	38%	32%	2%	0%	8%	25%
MIA	Chris Brooks	4.7	0	16%	0	6%	-%	0%	-%
MIA	Devon Achane	24.8	0	40%	0	59%	-%	37%	-%
-	-	-	-	-	-	-	-	-	-
MIN	Cam Akers	5.4	9.0	27%	24%	29%	50%	35%	33%
MIN	Alexander Mattison	9.0	3.8	68%	61%	82%	50%	62%	33%
MIN	Cj Ham	0.7	0.7	21%	26%	0%	0%	10%	33%
MIN	Ty Chandler	1.8	0	10%	1%	5%	0%	17%	0%
-	-	-	-	-	-	-	-	-	-
NE	Rhamondre Stevenson	9.1	6.0	64%	58%	64%	100%	67%	100%
NE	Ezekiel Elliott	6.3	3.6	38%	42%	36%	0%	33%	0%
-	-	-	-	-	-	-	-	-	-
NO	Alvin Kamara	18.5	25.0	70%	58%	96%	100%	80%	71%
NO	Jamaal Williams	3.7	4.3	36%	23%	22%	0%	12%	14%
NO	Kendre Miller	4.1	2.4	20%	14%	0%	0%	15%	14%
NO	Adam Prentice	0.8	0	17%	0	0%	-%	6%	-%
NO	Tony Jones	7.7	0	32%	0	50%	-%	23%	-%
-	-	-	-	-	-	-	-	-	-
NYG	Saquon Barkley	15.5	14.3	82%	89%	90%	88%	81%	83%
NYG	Matt Breida	3.6	2.2	36%	11%	15%	12%	28%	17%
NYG	Eric Gray	0.8	0	22%	0	8%	-%	12%	-%
NYG	Gary Brightwell	2.3	0	16%	0	0%	-%	26%	-%
-	-	-	-	-	-	-	-	-	-
NYJ	Breece Hall	13.0	18.3	49%	64%	55%	0%	55%	90%
NYJ	Dalvin Cook	2.9	0.5	26%	13%	32%	0%	18%	0%
NYJ	Michael Carter	1.8	0.2	26%	23%	9%	0%	27%	10%
NYJ	Nick Bawden	6.1	0	11%	8%	5%	0%	0%	0%
-	-	-	-	-	-	-	-	-	-
PHI	Dandre Swift	13.6	13.4	60%	70%	52%	75%	61%	33%
PHI	Kenneth Gainwell	5.1	5.1	41%	30%	53%	25%	34%	56%
PHI	Boston Scott	1.7	0.9	8%	2%	11%	0%	9%	11%
PHI	Rashaad Penny	1.9	0	12%	0	0%	-%	25%	-%
-	-	-	-	-	-	-	-	-	-
PIT	Najee Harris	7.6	8.0	53%	52%	50%	100%	33%	50%
PIT	Jaylen Warren	7.8	5.8	46%	48%	36%	0%	63%	50%
PIT	Anthony Mcfarland	2.1	0	8%	0	50%	-%	20%	-%
PIT	Qadree Ollison	0	0	2%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
SEA	Ken Walker	15.1	7.5	63%	41%	78%	50%	53%	50%
SEA	Zach Charbonnet	4.1	7.4	33%	59%	19%	50%	37%	50%
SEA	Deejay Dallas	0.8	0	14%	0%	5%	-%	17%	-%
SEA	Sarodorick Thompson	0	0	3%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
SF	Christian Mccaffrey	23.6	26.8	82%	97%	77%	75%	74%	88%
SF	Elijah Mitchell	1.3	0.2	16%	12%	14%	25%	17%	12%
SF	Jordan Mason	3.6	0.0	16%	0%	7%	-%	7%	-%
SF	Kyle Juszczyk	2.7	0.0	49%	37%	11%	0%	12%	0%
SF	Tyrion Davis Price	2.1	0	10%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
TB	Rachaad White	10.6	14.4	78%	82%	86%	0%	77%	70%
TB	Chase Edmonds	1.7	3.1	9%	12%	17%	0%	16%	30%
TB	Keshawn Vaughn	1.0	0.1	20%	6%	17%	0%	15%	0%
TB	Sean Tucker	1.4	0	16%	0	0%	-%	17%	-%
-	-	-	-	-	-	-	-	-	-
TEN	Derrick Henry	13.1	14.2	57%	65%	73%	0%	41%	50%
TEN	Tyjae Spears	6.7	5.1	50%	44%	27%	0%	59%	50%
TEN	Jonathan Ward	0	0	4%	4%	0%	0%	0%	0%
TEN	Julius Chestnut	0.0	0	6%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
WAS	Brian Robinson	11.8	8.9	49%	49%	67%	50%	39%	25%
WAS	Antonio Gibson	5.4	6.7	46%	51%	22%	50%	59%	62%
WAS	Alex Armah	0.5	0.5	8%	8%	0%	0%	12%	12%
WAS	Chris Rodriguez	2.0	0	7%	0%	17%	-%	0%	-%
WAS	Derrick Gore	0.0	0	9%	0	0%	-%	0%	-%
