Team	Player	AVG PTS	WK13 PTS	SZN Snap %	WK13 Snap %	WR/TE RZ Look Share	WK13 WR/TE RZ Share	WR/TE Target Share	WK13 WR/TE Target Share
NO	Kevin Austin	4.1	5.5	59%	61%	0%	0%	11%	11%
PHI	Cj Uzomah	0	0	21%	36%	0%	0%	0%	0%
PIT	Ben Skowronek	0.7	2.8	15%	33%	0%	0%	2%	4%
PIT	Mike Williams	5.8	0	24%	25%	0%	0%	1%	0%
PIT	Mycole Pruitt	1.2	3.1	42%	36%	0%	0%	5%	13%
SEA	Cody White	2.7	0	22%	9%	0%	0%	3%	0%
SEA	Laviska Shenault	0.2	-2.0	7%	3%	0%	0%	2%	0%
SEA	Pharaoh Brown	0.9	0.0	30%	41%	0%	0%	3%	4%
TB	Ko Kieft	0.0	0	4%	11%	0%	0%	0%	0%
TB	Payne Durham	1.5	0	27%	39%	0%	0%	1%	0%
TEN	Jhaquan Jackson	-0.8	-2.0	8%	4%	0%	0%	1%	0%
WAS	John Bates	1.1	0	45%	64%	0%	0%	3%	0%
