	vs ECR	PTS	PLAYER	ATTD	REC	REC_YD	INC
WR82	'+23	3.2	Jalen Mcmillan	0.82	0.7	1.67	,rec,rec_yd,
WR83	-14	3.1	Calvin Austin	0.53	0.75	1.77	,rec,rec_yd,
WR84	-11	3.0	Olamide Zaccheaus	0.51	0.7	1.77	,rec,rec_yd,
WR85	-11	2.9	Dyami Brown	0.57	0.65	1.72	,rec,rec_yd,
WR86	'+3	2.9	Jalen Brooks	0.66	0.7	1.58	,rec,rec_yd,
WR87	'+25	2.9	Ashton Dulin	0.41	0.7	1.81	,rec,rec_yd,
WR88	'+12	2.8	Troy Franklin	0.19	0.75	1.85	,rec,rec_yd,
WR89	'+1	2.6	Jahan Dotson	0.76	0.55	1.34	,rec,rec_yd,
WR90	'+1	2.6	Jalen Coker	0.54	0.65	1.43	,rec,rec_yd,
WR91	'+16	2.6	Marquez Valdes Scantling	0.85	0.45	1.3	,rec,rec_yd,
WR92	-11	2.4	Bo Melton	0.49	0.55	1.36	,rec,rec_yd,
WR93	-6	2.2	Kendrick Bourne	0.64	0.56	1.0	,,
WR94	0	2.2	Treylon Burks	0.47	0.45	1.26	,rec,rec_yd,
WR95	'+3	2.2	Jalin Hyatt	0.93	0.35	0.88	,rec,rec_yd,
WR96	'+29	2.0	Parris Campbell	0.71	0.45	0.89	,rec,rec_yd,
WR97	-5	2.0	Khadarel Hodge	0.21	0.5	1.34	,rec,rec_yd,
WR98	-10	2.0	Robert Woods	0.53	0.45	1.06	,rec,rec_yd,
WR99	'+2	2.0	Marvin Mims	0.18	0.5	1.33	,rec,rec_yd,
WR100	-18	1.9	Sterling Shepard	0.81	0.35	0.79	,rec,rec_yd,
WR101	'+12	1.9	Trey Palmer	0.57	0.4	0.94	,rec,rec_yd,
WR102	-16	1.9	Mason Tipton	0.5	0.45	0.94	,rec,rec_yd,
WR103	'+3	1.8	Kj Osborn	0.6	0.35	0.88	,rec,rec_yd,
WR104	-7	1.7	Malik Heath	0.32	0.4	0.94	,rec,rec_yd,
WR105	'+16	1.6	Zay Jones	0.6	0.35	0.67	,rec,rec_yd,
WR106	-4	1.6	David Moore	0.48	0.3	0.79	,rec,rec_yd,
WR107	-3	1.5	John Metchie	0.41	0.3	0.8	,rec,rec_yd,
WR108	-5	1.5	Jake Bobo	0.34	0.35	0.79	,rec,rec_yd,
WR109	-14	1.5	Kalif Raymond	0.45	0.3	0.73	,rec,rec_yd,
WR110	'+40	1.2	Brycen Tremayne	0.88	0.1	0.23	,rec,rec_yd,
WR111	-15	1.1	Kayshon Boutte	0.01	0.35	0.78	,rec,rec_yd,
WR112	-2	1.0	Parker Washington	0.16	0.3	0.59	,rec,rec_yd,
WR113	'+9	0.9	Cedrick Wilson	0.3	0.2	0.43	,rec,rec_yd,
WR114	'+13	0.9	Tyquan Thornton	0.22	0.2	0.48	,rec,rec_yd,
WR115	-16	0.9	Cedric Tillman	0.28	0.2	0.41	,rec,rec_yd,
WR116	'+2	0.9	Johnny Wilson	0.18	0.2	0.5	,rec,rec_yd,
WR117	'+11	0.9	Tylan Wallace	0.27	0.15	0.45	,rec,rec_yd,
WR118	'+2	0.9	Xavier Gipson	0.18	0.2	0.49	,rec,rec_yd,
WR119	'+7	0.8	Nick Westbrook Ikhine	0.41	0.1	0.32	,rec,rec_yd,
WR120	-6	0.8	Deandre Carter	-	0.25	0.57	,rec,rec_yd,
WR121	-5	0.8	Laviska Shenault	0.18	0.2	0.42	,rec,rec_yd,
WR122	'+18	0.8	Chris Conley	-	0.2	0.57	,rec,rec_yd,
WR123	'+23	0.7	Allen Robinson	0.44	0.1	0.16	,rec,rec_yd,
WR124	'+9	0.7	Zach Pascal	0.19	0.15	0.34	,rec,rec_yd,
WR125	'+4	0.7	Ryan Flournoy	0.32	0.1	0.24	,rec,rec_yd,
WR126	-17	0.6	Kameron Johnson	0.28	0.1	0.23	,rec,rec_yd,
WR127	'+5	0.6	Devaughn Vele	0.44	0.05	0.11	,rec,rec_yd,
WR128	'+2	0.6	Charlie Jones	0.12	0.15	0.33	,rec,rec_yd,
WR129	'+18	0.6	Ihmir Smith Marsette	0.12	0.15	0.3	,rec,rec_yd,
WR130	-7	0.5	Simi Fehoko	0.25	0.1	0.19	,rec,rec_yd,
