	vs ECR	PTS	PLAYER	ATTD	REC	REC_YD	INC
TE1	'+1	9.5	Brock Bowers	1.41	2.73	5.39	,,
TE2	'+2	9.3	Trey Mcbride	1.83	2.67	4.8	,,
TE3	-2	9.1	George Kittle	2.2	2.18	4.7	,,
TE4	-1	9.1	Jake Ferguson	1.68	2.6	4.77	,,
TE5	'+1	7.9	Tucker Kraft	2.04	1.97	3.93	,,
TE6	-1	7.9	Sam Laporta	1.63	2.15	4.09	,,
TE7	'+1	7.3	Dalton Kincaid	1.34	2.05	3.96	,rec,
TE8	'+1	6.9	Dallas Goedert	1.17	1.99	3.74	,,
TE9	-2	6.7	Kyle Pitts	1.85	1.6	3.27	,,
TE10	0	6.6	Evan Engram	1.12	1.81	3.67	,,
TE11	'+6	6.4	Cade Otton	1.33	1.81	3.26	,,
TE12	'+3	6.1	Zach Ertz	1.15	1.79	3.19	,,
TE13	-1	6.0	Dalton Schultz	1.04	1.76	3.24	,,
TE14	0	6.0	Cole Kmet	1.79	1.12	3.08	,,
TE15	-4	5.8	Pat Freiermuth	1.05	1.66	3.13	,,
TE16	'+2	5.3	David Njoku	0.82	1.66	2.87	,,
TE17	-4	5.2	Tyler Conklin	0.88	1.62	2.66	,,
TE18	'+5	4.9	Theo Johnson	0.96	1.54	2.44	,,
TE19	-3	4.8	Isaiah Likely	1.4	1.19	2.16	,,
TE20	-1	4.7	Mark Andrews	1.06	1.18	2.48	,,
TE21	0	4.6	Hunter Henry	0.65	1.42	2.54	,,
TE22	0	4.0	Noah Fant	0.85	1.23	1.89	,,
TE23	'+3	3.9	Jatavion Sanders	0.93	1.3	1.69	,,
TE24	0	3.8	Juwan Johnson	0.69	1.25	1.87	,,
TE25	-5	3.8	Mike Gesicki	0.87	1.16	1.77	,,
TE26	-1	3.5	Chigoziem Okonkwo	0.82	1.06	1.6	,,
TE27	0	3.2	Erick All	0.62	1.07	1.52	,,
TE28	'+2	3.1	Hayden Hurst	0.49	1.06	1.5	,,
TE29	'+8	2.6	Mo Alie Cox	0.52	0.65	1.4	,rec,rec_yd,
TE30	'+2	2.3	Will Dissly	0.51	0.75	1.03	,,
TE31	'+9	2.2	Harrison Bryant	0.28	0.65	1.31	,rec,rec_yd,
TE32	'+2	2.2	Austin Hooper	0.32	0.76	1.11	,,
TE33	'+3	2.1	Josh Whyle	0.41	0.65	1.0	,,
TE34	-5	1.9	Foster Moreau	0.35	0.65	0.93	,,
TE35	-2	1.9	Brenton Strange	0.71	0.4	0.82	,rec,rec_yd,
TE36	-8	1.9	Dawson Knox	0.46	0.4	0.99	,rec,
TE37	-6	1.8	Jordan Akins	0.19	0.55	1.05	,rec,rec_yd,
TE38	'+12	1.8	Adam Trautman	0.32	0.5	0.94	,rec,
TE39	'+25	1.7	Ian Thomas	0.23	0.5	0.98	,rec,rec_yd,
TE40	'+5	1.7	Lucas Krull	0.17	0.5	1.01	,rec,rec_yd,
TE41	'+8	1.6	Luke Schoonmaker	0.22	0.5	0.9	,rec,rec_yd,
TE42	'+9	1.6	Jeremy Ruckert	0.28	0.45	0.84	,rec,rec_yd,
TE43	-4	1.6	Brock Wright	0.36	0.45	0.74	,rec,
TE44	-1	1.5	Cade Stover	0.21	0.4	0.89	,rec,rec_yd,
TE45	'+2	1.5	Connor Heyward	0.2	0.45	0.81	,rec,rec_yd,
TE46	0	1.4	Charlie Kolar	0.48	0.5	0.42	,rec,
TE47	'+11	1.4	Daniel Bellinger	0.18	0.4	0.78	,rec,rec_yd,
TE48	-13	1.4	Elijah Higgins	0.33	0.45	0.58	,rec,
TE49	'+7	1.3	Drew Ogletree	0.18	0.35	0.77	,rec,rec_yd,
TE50	-12	1.3	Darnell Washington	0.24	0.35	0.7	,rec,rec_yd,
TE51	'+12	1.3	Nick Vannett	0.2	0.35	0.72	,rec,rec_yd,
TE52	'+7	1.2	Pharaoh Brown	0.24	0.35	0.64	,rec,rec_yd,
TE53	-9	1.1	Kylen Granson	0.19	0.3	0.6	,rec,rec_yd,
TE54	-12	1.0	Gerald Everett	0.21	0.45	0.38	,rec,
TE55	-2	1.0	Nate Adkins	0.01	0.35	0.67	,rec,rec_yd,
TE56	-8	1.0	Aj Barner	0.22	0.25	0.54	,rec,rec_yd,
TE57	'+4	1.0	Drew Sample	0.25	0.25	0.5	,rec,rec_yd,
TE58	-6	1.0	Will Mallory	0.08	0.3	0.62	,rec,rec_yd,
TE59	'+31	1.0	Tanner Hudson	0.21	0.25	0.53	,rec,rec_yd,
TE60	-5	0.9	Ben Sims	0.2	0.34	0.37	,,
TE61	-1	0.9	Brevyn Spann Ford	0.04	0.3	0.57	,rec,rec_yd,
TE62	-21	0.9	Greg Dulcich	0.28	0.2	0.41	,rec,rec_yd,
TE63	'+5	0.9	Payne Durham	0.23	0.2	0.45	,rec,rec_yd,
TE64	-10	0.7	Grant Calcaterra	0.16	0.2	0.38	,rec,rec_yd,
TE65	'+1	0.7	Luke Farrell	0.12	0.2	0.42	,rec,rec_yd,
TE66	-9	0.7	John Bates	0.29	0.15	0.29	,rec,rec_yd,
TE67	0	0.7	Tip Reiman	0.12	0.2	0.34	,rec,rec_yd,
TE68	'+1	0.6	Eric Saubert	0.12	0.15	0.31	,rec,rec_yd,
TE69	-7	0.5	Ben Sinnott	0.2	0.1	0.21	,rec,rec_yd,
TE70	-	0.5	Michael Mayer	0.47	-	-	,,
