NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Gabriel Arias	+0	3B	R	-	.233	CLE	@	CHW	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.194 7-36, 2 HR, 3 RBI, 4 BB, 11 SO	Crochet	L	.000 0-1, 0 HR, 0 RBI, 1 BB, 0 SO	'+900
Gavin Sheets	+0	RF	L	3	.257	CHW	v	CLE	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.219 7-32, 3 HR, 9 RBI, 4 BB, 6 SO	Carrasco	R		'+700
Jose Ramirez	+0	3B	S	3	.238	CLE	@	CHW	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.250 14-56, 4 HR, 9 RBI, 3 BB, 7 SO	Crochet	L	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+475
Josh Naylor	+0	1B	L	4	.277	CLE	@	CHW	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.436 17-39, 3 HR, 9 RBI, 4 BB, 4 SO	Crochet	L	.333 1-3, 0 HR, 0 RBI, 1 BB, 0 SO	'+550
Korey Lee	+0	C	R	9	.273	CHW	v	CLE	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.300 3-10, 0 HR, 1 RBI, 1 BB, 2 SO	Carrasco	R		'+1000
Paul Dejong	+0	SS	R	8	.240	CHW	v	CLE	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.105 4-38, 0 HR, 1 RBI, 0 BB, 12 SO	Carrasco	R	.143 1-7, 1 HR, 1 RBI, 0 BB, 2 SO	'+750
Ramon Laureano	+0	RF	R	5	.148	CLE	@	CHW	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.214 9-42, 4 HR, 8 RBI, 6 BB, 11 SO	Crochet	L		'+800
Tommy Pham	+0	CF	R	2	.312	CHW	v	CLE	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.500 2-4, 0 HR, 1 RBI, 0 BB, 1 SO	Carrasco	R	.545 6-11, 1 HR, 3 RBI, 1 BB, 2 SO	'+700
Tyler Freeman	+0	CF	R	1	.190	CLE	@	CHW	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.222 4-18, 0 HR, 2 RBI, 0 BB, 7 SO	Crochet	L		'+900
Blake Perkins	+0	CF	S	6	.248	MIL	v	STL	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.333 8-24, 1 HR, 1 RBI, 4 BB, 4 SO	Lynn	R		'+950
Brice Turang	+0	2B	L	9	.314	MIL	v	STL	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.234 11-47, 1 HR, 2 RBI, 4 BB, 5 SO	Lynn	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+850
Christian Yelich	+0	LF	L	3	.333	MIL	v	STL	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.375 9-24, 1 HR, 4 RBI, 5 BB, 4 SO	Lynn	R	.222 4-18, 2 HR, 4 RBI, 0 BB, 3 SO	'+475
Gary Sanchez	+0	C	R	-	.217	MIL	v	STL	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.211 4-19, 0 HR, 0 RBI, 0 BB, 5 SO	Lynn	R	.400 4-10, 1 HR, 1 RBI, 2 BB, 1 SO	'+475
Jake Bauers	+0	1B	L	-	.205	MIL	v	STL	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.250 3-12, 2 HR, 4 RBI, 1 BB, 5 SO	Lynn	R	.500 5-10, 0 HR, 0 RBI, 1 BB, 4 SO	'+650
Rhys Hoskins	+0	1B	R	5	.211	MIL	v	STL	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.283 34-120, 9 HR, 16 RBI, 14 BB, 36 SO	Lynn	R		'+950
Sal Frelick	+0	LF	L	1	.244	MIL	v	STL	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.216 8-37, 0 HR, 2 RBI, 3 BB, 7 SO	Lynn	R	.500 1-2, 0 HR, 0 RBI, 1 BB, 0 SO	'+800
William Contreras	+0	C	R	2	.347	MIL	v	STL	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.319 22-69, 1 HR, 6 RBI, 6 BB, 20 SO	Lynn	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	'+1300
Willy Adames	+0	SS	R	4	.252	MIL	v	STL	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.270 17-63, 2 HR, 7 RBI, 6 BB, 21 SO	Lynn	R	.167 2-12, 0 HR, 0 RBI, 0 BB, 6 SO	'+1000
Adolis Garcia	+0	RF	R	4	.268	TEX	@	COL	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.222 2-9, 1 HR, 3 RBI, 2 BB, 2 SO	Gomber	L	.000 0-5, 0 HR, 0 RBI, 5 BB, 1 SO	'+900
Brendan Rodgers	+0	2B	R	6	.243	COL	v	TEX	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.182 6-33, 1 HR, 6 RBI, 4 BB, 8 SO	Gray	R		'+600
Brenton Doyle	+0	CF	R	7	.269	COL	v	TEX	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.300 3-10, 0 HR, 2 RBI, 0 BB, 4 SO	Gray	R		'+700
Charlie Blackmon	+0	RF	L	1	.241	COL	v	TEX	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.333 3-9, 0 HR, 0 RBI, 0 BB, 1 SO	Gray	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+800
Corey Seager	+0	SS	L	2	.230	TEX	@	COL	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.538 7-13, 2 HR, 7 RBI, 0 BB, 2 SO	Gomber	L	.200 1-5, 0 HR, 0 RBI, 0 BB, 1 SO	'+1100
Elehuris Montero	+0	1B	R	8	.204	COL	v	TEX	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.500 2-4, 0 HR, 0 RBI, 0 BB, 2 SO	Gray	R		'+650
Elias Diaz	+0	C	R	4	.311	COL	v	TEX	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.250 2-8, 0 HR, 1 RBI, 1 BB, 1 SO	Gray	R	.333 2-6, 0 HR, 0 RBI, 0 BB, 1 SO	'+550
Ezequiel Duran	+0	1B	R	7	.262	TEX	@	COL	-	-	x+_rbis	0		0.0	0%	0%	0%	0%	.556 5-9, 1 HR, 2 RBI, 2 BB, 0 SO	Gomber	L	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+550
