NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (new ➡️ old)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Jose Quintana	+0	SP	L	-	0	NYM	@	BAL	-	-	first_strikeout_thrown	0	0,0,0	0.0	0%	0%	0%	0%	45.2 IP 46 K, 45 H, 10 BB	Bradish	R		-450
Jake Irvin	+0	SP	R	-	.261	WSH	@	CIN	-	-	first_strikeout_thrown	0	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	6.0 IP 3 K, 0 H, 0 BB	Richardson	R		-210
Charlie Morton	+0	SP	R	-	.255	ATL	@	CHC	-	-	first_strikeout_thrown	0	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	90.4 IP 85 K, 92 H, 36 BB	Steele	L		-290
Zack Greinke	+0	SP	R	-	.282	KC	@	PHI	-	-	first_strikeout_thrown	0	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	78.1 IP 77 K, 58 H, 18 BB	Walker	R		-400
Tyler Glasnow	+0	SP	R	-	.205	TB	@	DET	-	-	first_strikeout_thrown	0	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%		Manning	R		-175
Sandy Alcantara	+0	SP	R	-	.250	MIA	@	TEX	-	-	first_strikeout_thrown	0	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%		Heaney	L		-650
Zac Gallen	+0	SP	R	-	.234	ARI	@	MIN	-	-	first_strikeout_thrown	0	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	7.0 IP 8 K, 4 H, 3 BB	Keuchel	L		-155
Johan Oviedo	+0	SP	R	-	.241	PIT	@	MIL	-	-	first_strikeout_thrown	0	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	12.6 IP 13 K, 11 H, 4 BB	Woodruff	R		-1200
Austin Gomber	+0	SP	L	-	.292	COL	@	STL	-	-	first_strikeout_thrown	0	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	10.3 IP 11 K, 15 H, 3 BB	King	L		-475
Alex Cobb	+0	SP	R	-	.270	SF	@	OAK	-	-	first_strikeout_thrown	0	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	81.0 IP 76 K, 55 H, 23 BB	Medina	R		-400
Bryce Miller	+0	SP	R	-	.222	SEA	@	LAA	-	-	first_strikeout_thrown	0	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%		Silseth	R		-475
Lance Lynn	+0	SP	R	-	.266	LAD	@	SD	-	-	first_strikeout_thrown	0	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%		Hill	L		-265
