NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Nolan Gorman	'+1100	2B	L	3	.178	STL	v	MIL	16th	13th	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	4%	0%	.217 5-23, 1 HR, 5 RBI, 4 BB, 8 SO	Rea	R		-6000
Michael Busch	'+1200	1B	L	-	.328	CHC	v	MIA	10th	7th	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	4%	0%	.286 2-7, 0 HR, 2 RBI, 0 BB, 4 SO	Cabrera	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	-20000
Alan Trejo	'+950	2B	R	-	.111	COL	v	SEA	20th	16th	sb	0.5	0,0,0,0,0,0,0	0.0	0%	0%	4%	0%	.125 1-8, 0 HR, 0 RBI, 0 BB, 1 SO	Kirby	R		-4000
Nick Ahmed	'+1100	SS	R	9	.292	SF	v	ARI	1st	29th	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	4%	0%	.444 4-9, 0 HR, 0 RBI, 0 BB, 1 SO	Kelly	R		-8000
Brendan Donovan	'+700	LF	L	1	.211	STL	v	MIL	16th	13th	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	3%	0%	.148 4-27, 0 HR, 3 RBI, 3 BB, 7 SO	Rea	R		-1800
Christian Walker	'+850	1B	R	4	.265	ARI	@	SF	22nd	10th	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	3%	6%	.333 17-51, 0 HR, 7 RBI, 11 BB, 7 SO	Hicks	R	.333 1-3, 1 HR, 1 RBI, 0 BB, 2 SO	-3000
Jake Cronenworth	'+850	1B	L	3	.256	SD	v	TOR	14th	8th	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	3%	0%	.158 3-19, 0 HR, 2 RBI, 2 BB, 7 SO	Bassitt	R	.333 2-6, 0 HR, 2 RBI, 0 BB, 2 SO	-2500
Josh Smith	'+1000	3B	L	6	.298	TEX	@	ATL	9th	6th	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	3%	0%	.188 3-16, 0 HR, 1 RBI, 1 BB, 6 SO	Vines	R		-5000
Nick Castellanos	'+1000	RF	R	7	.187	PHI	v	CHW	23rd	1st	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	2%	0%	.412 7-17, 0 HR, 4 RBI, 2 BB, 3 SO	Nastrini	R		-5000
Luis Arraez	'+1100	2B	L	1	.270	MIA	@	CHC	7th	12th	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	2%	0%	.371 13-35, 0 HR, 2 RBI, 3 BB, 4 SO	Hendricks	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	-10000
Austin Martin	'+850	CF	R	7	.270	MIN	v	DET	3rd	30th	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	.300 6-20, 0 HR, 2 RBI, 1 BB, 4 SO	Mize	R		-3000
Sean Bouchard	'+1100	LF	R	-	.400	COL	v	SEA	20th	16th	sb	0.5	0,0	0.0	0%	0%	0%	0%	.500 1-2, 0 HR, 0 RBI, 1 BB, 1 SO	Kirby	R		-8000
Andy Pages	'+1100	RF	R	8	.143	LAD	v	NYM	30th	4th	sb	0.5	0,0,0,0	0.0	0%	0%	0%	0%	.143 1-7, 0 HR, 0 RBI, 0 BB, 4 SO	Houser	R		-6000
Wyatt Langford	'+950	LF	R	7	.241	TEX	@	ATL	9th	6th	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	.125 1-8, 0 HR, 0 RBI, 0 BB, 4 SO	Vines	R		-4000
