NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Mitch Garver	+0	DH	R	7	.160	SEA	@	COL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.500 3-6, 0 HR, 0 RBI, 3 BB, 1 SO	Hudson	R		'+380
Nolan Jones	+0	LF	L	5	.171	COL	v	SEA	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%		Hancock	R		'+360
Ty France	+0	1B	R	4	.278	SEA	@	COL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.125 1-8, 0 HR, 2 RBI, 3 BB, 2 SO	Hudson	R		'+600
Bo Bichette	+0	SS	R	3	.227	TOR	@	SD	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.400 4-10, 0 HR, 0 RBI, 3 BB, 1 SO	Waldron	R		'+350
Cavan Biggio	+0	2B	L	5	.292	TOR	@	SD	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%		Waldron	R		'+550
Danny Jansen	+0	C	R	6	.000	TOR	@	SD	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.000 0-6, 0 HR, 0 RBI, 1 BB, 1 SO	Waldron	R		'+350
Daulton Varsho	+0	LF	L	7	.218	TOR	@	SD	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.143 1-7, 0 HR, 0 RBI, 0 BB, 5 SO	Waldron	R		'+370
Davis Schneider	+0	LF	R	-	.216	TOR	@	SD	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%		Waldron	R		'+450
Ha Seong Kim	+0	SS	R	6	.227	SD	v	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.300 3-10, 0 HR, 0 RBI, 0 BB, 2 SO	Rodriguez	R		'+700
Jackson Merrill	+0	CF	L	8	.333	SD	v	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%		Rodriguez	R		'+500
Jake Cronenworth	+0	1B	L	3	.254	SD	v	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.083 1-12, 0 HR, 2 RBI, 0 BB, 4 SO	Rodriguez	R		'+450
Jurickson Profar	+0	LF	S	5	.299	SD	v	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.129 8-62, 1 HR, 3 RBI, 7 BB, 15 SO	Rodriguez	R		'+500
Justin Turner	+0	3B	R	4	.333	TOR	@	SD	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.000 0-1, 0 HR, 0 RBI, 1 BB, 1 SO	Waldron	R		'+360
Kevin Kiermaier	+0	CF	L	9	.200	TOR	@	SD	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.125 1-8, 0 HR, 0 RBI, 0 BB, 2 SO	Waldron	R		'+750
Luis Campusano	+0	C	R	7	.273	SD	v	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.167 1-6, 0 HR, 0 RBI, 0 BB, 0 SO	Rodriguez	R		'+500
Manny Machado	+0	DH	R	4	.250	SD	v	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.231 3-13, 1 HR, 3 RBI, 1 BB, 3 SO	Rodriguez	R		'+330
Vladimir Guerrero	+0	1B	R	2	.211	TOR	@	SD	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.200 2-10, 1 HR, 1 RBI, 2 BB, 2 SO	Waldron	R		'+290
Tyler Wade	+0	3B	L	9	.214	SD	v	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.250 2-8, 0 HR, 1 RBI, 0 BB, 2 SO	Rodriguez	R		'+1200
Andy Pages	+0	RF	R	7	.143	LAD	v	NYM	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%		Manaea	L		'+500
Brett Baty	+0	3B	L	5	.305	NYM	@	LAD	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.118 2-17, 0 HR, 1 RBI, 1 BB, 7 SO	Yamamoto	R		'+600
Chris Taylor	+0	LF	R	-	.029	LAD	v	NYM	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.286 2-7, 0 HR, 0 RBI, 0 BB, 3 SO	Manaea	L	.286 4-14, 1 HR, 3 RBI, 2 BB, 6 SO	'+600
Dj Stewart	+0	RF	L	8	.200	NYM	@	LAD	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	Yamamoto	R		'+450
