NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Yan Gomes	'+225	C	R	9	.000	CHC	v	LAD	17th	17th	r	0.5	0,0,0,1,0	0.2	20%	20%	0%	0%	.229 16-70, 5 HR, 12 RBI, 3 BB, 11 SO	Miller	R		-320
Francisco Lindor	'+100	SS	S	2	.042	NYM	@	CIN	14th	6th	r	0.5	0,0,0,0,0,1	0.17	17%	30%	47%	0%	.312 49-157, 10 HR, 25 RBI, 16 BB, 27 SO	Greene	R	.125 1-8, 1 HR, 1 RBI, 0 BB, 2 SO	-130
Joey Meneses	'+190	1B	R	4	.250	WSH	v	PHI	26th	24th	r	0.5	1,0,0,0,0,0	0.17	17%	40%	41%	0%	.338 27-80, 4 HR, 14 RBI, 8 BB, 17 SO	Nola	R	.500 2-4, 0 HR, 0 RBI, 0 BB, 0 SO	-260
Alec Bohm	'+105	3B	R	4	.238	PHI	@	WSH	29th	4th	r	0.5	1,0,0,0,0,0	0.17	17%	20%	40%	0%	.285 55-193, 8 HR, 35 RBI, 15 BB, 41 SO	Corbin	L	.364 8-22, 2 HR, 2 RBI, 3 BB, 3 SO	-140
Cavan Biggio	'+200	2B	L	9	.176	TOR	@	NYY	5th	23rd	r	0.5	2,0,0,0,0,0	0.33	17%	40%	40%	0%	.189 33-175, 2 HR, 10 RBI, 25 BB, 67 SO	Stroman	R		-275
Hunter Renfroe	'+135	RF	R	6	.091	KC	v	CHW	19th	5th	r	0.5	0,0,0,0,0,1	0.17	17%	20%	39%	160%	.203 13-64, 3 HR, 9 RBI, 12 BB, 20 SO	Fedde	R	.600 3-5, 0 HR, 0 RBI, 1 BB, 1 SO	-180
Zach Neto	'+175	SS	R	9	.238	LAA	v	BOS	1st	10th	r	0.5	0,0,0,0,1,0	0.17	17%	20%	38%	0%	.238 5-21, 1 HR, 3 RBI, 0 BB, 4 SO	Crawford	R	.000 0-4, 0 HR, 0 RBI, 0 BB, 0 SO	-235
Harold Ramirez	-175	OF	R	2	.160	TB	@	COL	30th	1st	r	0.5	0,0,0,0,1,0	0.17	17%	40%	35%	0%	.333 5-15, 0 HR, 2 RBI, 1 BB, 2 SO	Gomber	L	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+130
Shea Langeliers	'+210	C	R	4	.235	OAK	@	DET	2nd	12th	r	0.5	0,0,0,0,1,0	0.17	17%	30%	34%	0%	.273 6-22, 2 HR, 4 RBI, 0 BB, 8 SO	Skubal	L	.000 0-3, 0 HR, 0 RBI, 0 BB, 3 SO	-295
Nick Allen	'+320	SS	R	9	.263	OAK	@	DET	2nd	12th	r	0.5	0,1,0,0,0,0	0.17	17%	30%	26%	0%	.190 4-21, 0 HR, 0 RBI, 2 BB, 7 SO	Skubal	L	.200 1-5, 0 HR, 0 RBI, 0 BB, 2 SO	-475
