NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Mike Tauchman	'+155	RF	L	1	.255	CHC	@	TB	5th	4th	bb	0.5	0,1,0,0,1,1,0,0,1,0	0.52	42%	40%	30%	27%	.250 3-12, 0 HR, 3 RBI, 2 BB, 2 SO	Civale	R	.000 0-3, 0 HR, 1 RBI, 0 BB, 0 SO	-210
Nick Senzel	'+240	3B	R	7	.239	WSH	@	DET	4th	7th	bb	0.5	0,0,1,1,0,0,1,1,2,0	0.53	42%	50%	24%	10%	.333 4-12, 0 HR, 0 RBI, 0 BB, 6 SO	Olson	R		-350
Freddie Freeman	-105	1B	L	3	.297	LAD	v	TEX	25th	10th	bb	0.5	0,0,3,0,0,0,2,0,1,0	0.57	41%	30%	39%	54%	.688 11-16, 4 HR, 7 RBI, 3 BB, 2 SO	Gray	R	.267 4-15, 1 HR, 2 RBI, 5 BB, 9 SO	-130
Henry Davis	'+330	C	R	-	.150	PIT	@	STL	13th	18th	bb	0.5	1,0,1,0,0,1,0,1,0,1	0.48	41%	50%	37%	0%		Gray	R		-525
Christopher Morel	'+170	3B	R	4	.208	CHC	@	TB	5th	4th	bb	0.5	1,1,0,0,1,1,0,1,1,0	0.52	41%	60%	30%	0%	.250 2-8, 1 HR, 1 RBI, 0 BB, 4 SO	Civale	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO	-230
Gunnar Henderson	'+135	SS	L	1	.269	BAL	v	ATL	10th	20th	bb	0.5	0,2,0,2,1,1,0,1,1,0	0.54	40%	60%	33%	33%	.083 1-12, 0 HR, 1 RBI, 1 BB, 5 SO	Schwellenbach	R		-180
Mitch Garver	'+100	DH	R	-	.179	SEA	v	CHW	30th	29th	bb	0.5	0,0,0,0,0,2,1,1,1,2	0.51	40%	50%	33%	36%	.353 6-17, 2 HR, 5 RBI, 3 BB, 6 SO	Cannon	R		-135
Rafael Devers	'+260	3B	L	4	.278	BOS	v	PHI	6th	6th	bb	0.5	1,0,0,1,0,1,0,0,1,0	0.51	40%	40%	30%	25%	.267 4-15, 0 HR, 3 RBI, 0 BB, 6 SO	Sanchez	L	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	-380
Jp Crawford	-135	SS	L	1	.216	SEA	v	CHW	30th	29th	bb	0.5	1,0,0,0,1,1,0,0,2,0	0.48	39%	40%	39%	48%	.100 3-30, 1 HR, 2 RBI, 11 BB, 8 SO	Cannon	R		'+100
Will Smith	'+190	C	R	4	.296	LAD	v	TEX	25th	10th	bb	0.5	0,0,0,0,1,0,0,2,0,1	0.4	39%	30%	37%	38%	.389 7-18, 1 HR, 5 RBI, 2 BB, 2 SO	Gray	R	.286 2-7, 0 HR, 0 RBI, 3 BB, 2 SO	-265
Willy Adames	'+175	SS	R	4	.246	MIL	v	TOR	14th	9th	bb	0.5	0,1,0,1,0,1,0,1,0,2	0.48	39%	50%	32%	43%	.335 56-167, 7 HR, 28 RBI, 22 BB, 42 SO	Bassitt	R	.000 0-6, 0 HR, 0 RBI, 0 BB, 3 SO	-245
