NAME	POS	TEAM	OPP	OPP RANK	OPP RANK VAL	PROP	LINE	LYR AVG	LYR % Over	LYR Matchup	# Matchups	OVER	UNDER
Max Fried	SP	ATL	WSH	-		earned_runs	1.5	0.0	0%	0%	3	-105	-120
Patrick Corbin	SP	WSH	ATL	-		earned_runs	2.5	0.0	0%	0%	4	-105	-125
Gerrit Cole	SP	NYY	SF	-		earned_runs	1.5	0.0	0%	0%	0	'+105	-140
Logan Webb	SP	SF	NYY	-		earned_runs	1.5	0.0	0%	0%	0	-150	'+115
Corey Kluber	SP	BOS	BAL	-		earned_runs	2.5	0.0	0%	0%	6	'+130	-175
Kyle Gibson	SP	BAL	BOS	-		earned_runs	2.5	0.0	0%	0%	0	-105	-130
Corbin Burnes	SP	MIL	CHC	-		earned_runs	1.5	0.0	0%	0%	3	-110	-120
Marcus Stroman	SP	CHC	MIL	-		earned_runs	1.5	0.0	0%	0%	3	-150	'+110
Eduardo Rodriguez	SP	DET	TB	-		earned_runs	2.5	0.0	0%	0%	1	'+105	-135
Shane Mcclanahan	SP	TB	DET	-		earned_runs	1.5	0.0	0%	0%	2	-130	'+100
Aaron Nola	SP	PHI	TEX	-		earned_runs	1.5	0.0	0%	0%	0	-130	'+100
Jacob Degrom	SP	TEX	PHI	-		earned_runs	1.5	0.0	0%	0%	1	'+145	-195
Max Scherzer	SP	NYM	MIA	-		earned_runs	1.5	0.0	0%	0%	0	-145	'+110
Sandy Alcantara	SP	MIA	NYM	-		earned_runs	1.5	0.0	0%	0%	4	-175	'+130
Alek Manoah	SP	TOR	STL	-		earned_runs	2.5	0.0	0%	0%	0	'+125	-170
Miles Mikolas	SP	STL	TOR	-		earned_runs	2.5	0.0	0%	0%	1	'+115	-155
Pablo Lopez	SP	MIN	KC	-		earned_runs	1.5	0.0	0%	0%	0	-130	'+100
Zack Greinke	SP	KC	MIN	-		earned_runs	2.5	0.0	0%	0%	5	-120	-110
Hunter Greene	SP	CIN	PIT	-		earned_runs	1.5	0.0	0%	0%	2	-110	-120
Mitch Keller	SP	PIT	CIN	-		earned_runs	1.5	0.0	0%	0%	3	-150	'+115
Dylan Cease	SP	CHW	HOU	-		earned_runs	1.5	0.0	0%	0%	1	-155	'+115
Framber Valdez	SP	HOU	CHW	-		earned_runs	1.5	0.0	0%	0%	2	-155	'+115
Blake Snell	SP	SD	COL	-		earned_runs	1.5	0.0	0%	0%	4	'+100	-135
German Marquez	SP	COL	SD	-		earned_runs	1.5	0.0	0%	0%	2	-175	'+130
Shohei Ohtani	DH	LAA	OAK	-		earned_runs	0.5	0.0	0%	0%	17	-200	'+145
Kyle Muller	SP	OAK	LAA	-		earned_runs	2.5	0.0	0%	0%	0	'+105	-140
Julio Urias	SP	LAD	ARI	-		earned_runs	1.5	0.0	0%	0%	2	-105	-125
Zac Gallen	SP	ARI	LAD	-		earned_runs	1.5	0.0	0%	0%	2	-150	'+115
Luis Castillo	SP	SEA	CLE	-		earned_runs	1.5	0.0	0%	0%	2	-130	'+100
Shane Bieber	SP	CLE	SEA	-		earned_runs	1.5	0.0	0%	0%	1	-165	'+125
