NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Jeimer Candelario	+0	3B	S	7	.216	CIN	@	SF	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.103 3-29, 0 HR, 2 RBI, 3 BB, 6 SO	Webb	R	.111 1-9, 0 HR, 0 RBI, 0 BB, 2 SO	'+290
Jung Hoo Lee	+0	CF	L	3	.262	SF	v	CIN	-	-	x+_hits	0		0.0	0%	0%	0%	0%		Abbott	L		'+950
Matt Chapman	+0	3B	R	4	.211	SF	v	CIN	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.000 0-13, 0 HR, 0 RBI, 1 BB, 5 SO	Abbott	L		'+280
Michael Conforto	+0	LF	L	-	.275	SF	v	CIN	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.250 3-12, 0 HR, 2 RBI, 1 BB, 3 SO	Abbott	L		'+380
Mike Ford	+0	1B	L	-	.200	CIN	@	SF	-	-	x+_hits	0		0.0	0%	0%	0%	0%		Webb	R	.500 1-2, 0 HR, 0 RBI, 1 BB, 1 SO	'+400
Spencer Steer	+0	LF	R	3	.237	CIN	@	SF	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.174 4-23, 0 HR, 1 RBI, 2 BB, 7 SO	Webb	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+650
Thairo Estrada	+0	2B	R	5	.248	SF	v	CIN	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.273 3-11, 0 HR, 1 RBI, 1 BB, 2 SO	Abbott	L	.000 1-1, 0 HR, 0 RBI, 1 BB, 0 SO	'+900
Tyler Fitzgerald	+0	SS	R	8	.268	SF	v	CIN	-	-	x+_hits	0		0.0	0%	0%	0%	0%		Abbott	L		'+450
Tyler Stephenson	+0	C	R	4	.220	CIN	@	SF	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.200 2-10, 0 HR, 0 RBI, 0 BB, 3 SO	Webb	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+650
Will Benson	+0	CF	L	9	.193	CIN	@	SF	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.190 4-21, 2 HR, 6 RBI, 1 BB, 11 SO	Webb	R	.000 0-4, 0 HR, 0 RBI, 0 BB, 4 SO	'+450
Wilmer Flores	+0	1B	R	2	.204	SF	v	CIN	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.333 9-27, 4 HR, 8 RBI, 2 BB, 0 SO	Abbott	L	.250 1-4, 0 HR, 1 RBI, 1 BB, 0 SO	'+330
Jake Fraley	+0	RF	L	5	.278	CIN	@	SF	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.250 3-12, 1 HR, 2 RBI, 0 BB, 1 SO	Webb	R	.000 0-4, 0 HR, 0 RBI, 2 BB, 1 SO	'+800
Jonathan India	+0	2B	R	6	.214	CIN	@	SF	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.462 6-13, 1 HR, 2 RBI, 0 BB, 3 SO	Webb	R	.429 3-7, 1 HR, 1 RBI, 0 BB, 2 SO	'+750
Tj Friedl	+0	CF	L	1	.231	CIN	@	SF	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.148 4-27, 0 HR, 0 RBI, 1 BB, 4 SO	Webb	R	.000 0-6, 0 HR, 0 RBI, 0 BB, 0 SO	'+800
