NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Brayan Rocchio	'+230	SS	S	9	.197	CLE	v	OAK	10th	2nd	rbi	0.5	0,0,0,0,1,0,0,0,0,0	0.16	11%	10%	30%	20%	.176 3-17, 0 HR, 2 RBI, 4 BB, 5 SO	Stripling	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 2 SO	-330
Ryan Noda	'+275	1B	L	9	.186	OAK	@	CLE	2nd	21st	rbi	0.5	0,0,0,0,0,0,0,0,0,1	0.11	11%	10%	29%	42%	.220 9-41, 3 HR, 7 RBI, 8 BB, 15 SO	Bibee	R	.500 1-2, 0 HR, 1 RBI, 1 BB, 0 SO	-400
Gavin Lux	'+260	2B	L	9	.153	LAD	v	NYM	8th	13th	rbi	0.5	0,0,0,0,0,1,0,0,0,0	0.11	11%	10%	27%	18%	.275 11-40, 1 HR, 6 RBI, 2 BB, 8 SO	Houser	R		-380
Willi Castro	'+215	3B	S	8	.148	MIN	v	DET	6th	12th	rbi	0.5	0,0,2,0,0,0,0,0,0,1	0.16	11%	20%	24%	38%	.275 14-51, 1 HR, 7 RBI, 7 BB, 15 SO	Mize	R		-300
Zack Gelof	'+250	2B	R	2	.188	OAK	@	CLE	2nd	21st	rbi	0.5	1,0,0,0,0,0,0,0,0,0	0.24	10%	10%	33%	0%	.091 2-22, 0 HR, 0 RBI, 2 BB, 10 SO	Bibee	R	.667 2-3, 0 HR, 0 RBI, 0 BB, 0 SO	-370
Gleyber Torres	'+225	2B	R	6	.195	NYY	v	TB	24th	29th	rbi	0.5	0,0,0,0,0,0,0,0,0,0	0.1	10%	0%	31%	19%	.218 12-55, 0 HR, 6 RBI, 5 BB, 7 SO	Civale	R	.444 4-9, 0 HR, 2 RBI, 1 BB, 1 SO	-320
Leody Taveras	'+250	CF	S	9	.229	TEX	@	ATL	11th	15th	rbi	0.5	0,0,0,0,0,0,0,1,0,0	0.1	10%	10%	25%	20%	.286 4-14, 0 HR, 1 RBI, 3 BB, 4 SO	Vines	R		-360
Lawrence Butler	'+240	RF	L	7	.179	OAK	@	CLE	2nd	21st	rbi	0.5	0,0,2,0,1,0,0,0,0,0	0.15	10%	20%	15%	0%	.125 2-16, 0 HR, 0 RBI, 2 BB, 6 SO	Bibee	R	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	-350
Victor Scott	'+255	CF	L	8	.085	STL	v	MIL	9th	26th	rbi	0.5	0,1,0,1,0,0,0,0,0,0	0.1	10%	20%	0%	0%	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	Rea	R		-370
Freddy Fermin	'+170	C	R	7	.182	KC	v	BAL	17th	24th	rbi	0.5	0,0,0,0,0,0,1,0,0,0	0.09	9%	10%	37%	33%	.312 5-16, 1 HR, 3 RBI, 1 BB, 4 SO	Irvin	L	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	-230
