NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Ryan Mcmahon	'+110	3B	L	3	.373	COL	@	PHI	20th	22nd	so	1.5	1,1,1,2,2,0,1,1,2,1	1.0	31%	30%	29%	33%	.280 7-25, 1 HR, 4 RBI, 3 BB, 10 SO	Nola	R	.200 2-10, 1 HR, 3 RBI, 1 BB, 4 SO	-155
Hunter Renfroe	'+185	RF	R	-	.178	KC	@	CHW	18th	18th	so	1.5	1,1,0,3,1,0,0,2,0,3	1.15	31%	30%	26%	47%	.200 6-30, 3 HR, 5 RBI, 2 BB, 13 SO	Nastrini	R		-255
Michael A Taylor	'+105	CF		-	.318	PIT	@	NYM	4th	9th	so	1.5	0,1,3,0,1,0,1,3,1,4	1.38	31%	30%	25%	35%	.216 45-208, 4 HR, 25 RBI, 17 BB, 85 SO	Houser	R		-140
Joey Meneses	'+165	1B	R	4	.204	WSH	@	LAD	23rd	10th	so	1.5	2,1,1,1,2,0,2,2,0,0	1.0	31%	40%	20%	33%	.333 7-21, 0 HR, 1 RBI, 0 BB, 6 SO	Glasnow	R		-230
Vidal Brujan	-185	SS	S	-	.100	MIA	v	SF	8th	23rd	so	0.5	1,0,0,1,0,0,0,0,0,1	0.3	30%	30%	56%	0%		Harrison	L		'+135
Michael Toglia	'+105	1B	S	8	.129	COL	@	PHI	20th	22nd	so	1.5	0,1,1,2,2,3,0,1,1,1	1.2	30%	30%	39%	0%		Nola	R		-140
Miguel Rojas	'+150	SS	R	9	.250	LAD	v	WSH	14th	1st	so	0.5	0,0,0,0,0,2,1,0,1,0	0.4	30%	30%	35%	27%	.412 7-17, 0 HR, 2 RBI, 0 BB, 0 SO	Parker	L		-200
Jeff Mcneil	'+175	2B	L	7	.222	NYM	v	PIT	26th	20th	so	0.5	0,1,0,0,0,1,0,0,1,0	0.29	29%	30%	37%	37%	.182 4-22, 1 HR, 3 RBI, 1 BB, 3 SO	Perez	L	.429 3-7, 0 HR, 3 RBI, 0 BB, 0 SO	-235
Byron Buxton	'+115	CF	R	3	.196	MIN	@	BAL	11th	11th	so	1.5	1,3,1,1,2,2,3,1,1,0	1.29	29%	40%	30%	41%	.217 5-23, 1 HR, 3 RBI, 2 BB, 6 SO	Irvin	L	.200 1-5, 0 HR, 0 RBI, 1 BB, 1 SO	-150
Zach Neto	'+200	SS	R	9	.188	LAA	@	TB	15th	17th	so	1.5	1,2,1,1,0,1,2,0,1,1	1.0	29%	20%	23%	40%	.238 5-21, 1 HR, 3 RBI, 1 BB, 7 SO	Eflin	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-280
Corbin Carroll	-185	CF	L	2	.233	ARI	v	CHC	12th	13th	so	0.5	0,0,0,1,0,1,2,0,0,0	0.33	27%	30%	61%	100%	.367 11-30, 0 HR, 2 RBI, 2 BB, 9 SO	Brown	R		'+140
Carson Kelly	-130	C	R	9	.226	DET	v	TEX	3rd	16th	so	0.5	0,0,3,0,0,0,1,0,2,0	0.55	27%	30%	52%	57%	.240 6-25, 2 HR, 8 RBI, 2 BB, 4 SO	Lorenzen	R	.000 2-2, 0 HR, 1 RBI, 0 BB, 0 SO	'+100
Luis Campusano	-115	C	R	7	.263	SD	@	MIL	19th	15th	so	0.5	0,0,0,0,1,0,1,0,0,1	0.27	27%	30%	52%	75%	.125 1-8, 1 HR, 1 RBI, 1 BB, 2 SO	Ross	R		-115
