NAME	POS	R/L	Batting #	TEAM	A/H	OPP	OPP RANK	OPP RANK VAL	PITCHER	THROWS	VS PITCHER	PROP	LINE	LAST ➡️	% OVER	LYR AVG	LYR % OVER	LYR # MATCHUPS	LYR MATCHUPS	OVER	UNDER
Dansby Swanson	SS	R	2	CHC	@	CIN	24th	4.0	Overton	R		1b	0.5	3,1,3,3	100%	0.73	54%	7	43%	-145	'+110
Trey Mancini	1B	R	5	CHC	@	CIN	24th	4.0	Overton	R		1b	0.5	1,1,0,1	75%	0.57	43%	3	67%	-110	-120
Gleyber Torres	2B	R	5	NYY	v	PHI	15th	5.0	Walker	R	.222 2-9, 0 HR, 0 RBI, 2 BB, 4 SO	1b	0.5	1,1,0,0	50%	0.59	44%	0	0%	'+125	-165
Jt Realmuto	C	R	3	PHI	@	NYY	14th	5.33	Cortes	L	.000 0-1, 0 HR, 0 RBI, 1 BB, 0 SO	1b	0.5	1,0,1,3	75%	0.62	48%	0	0%	-120	-110
Yandy Diaz	1B	R	-	TB	@	WSH	15th	5.0	Williams	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	0,2,0	33%	0.72	50%	0	0%	-155	'+115
Cedric Mullins	CF	L	1	BAL	@	TEX	3rd	8.33	Gray	R	.000 2-2, 1 HR, 2 RBI, 0 BB, 0 SO	1b	0.5	0,1,1,1	75%	0.69	51%	6	67%	-105	-130
Marcus Semien	2B	R	1	TEX	v	BAL	4th	7.33	Bradish	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	1b	0.5	0,2,0,2	50%	0.63	47%	6	50%	-130	-105
Ramon Urias	3B	R	-	BAL	@	TEX	3rd	8.33	Gray	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	1,0,1	67%	0.56	44%	6	50%	'+130	-170
Jp Crawford	SS	L	9	SEA	v	LAA	8th	6.67	Detmers	L	.286 2-7, 0 HR, 1 RBI, 0 BB, 1 SO	1b	0.5	2,0,0,0,1	40%	0.64	52%	19	47%	'+110	-145
Julio Rodriguez	CF	R	1	SEA	v	LAA	8th	6.67	Detmers	L		1b	0.5	0,1,2,2,0	60%	0.67	48%	12	25%	-105	-125
David Peralta	LF	L	-	LAD	v	COL	12th	5.5	Feltner	R		1b	0.5	0,1,2	67%	0.49	40%	9	33%	'+115	-155
Jd Martinez	LF	R	5	LAD	v	COL	12th	5.5	Feltner	R		1b	0.5	2,0,1,0,1	60%	0.62	45%	0	0%	-105	-130
Garrett Cooper	1B	R	3	MIA	v	MIN	4th	7.33	Mahle	R		1b	0.5	1,1,3,0	75%	0.54	44%	0	0%	-105	-130
Christian Vazquez	C	R	8	MIN	@	MIA	21st	4.5	Cueto	R		1b	0.5	0,2,2	67%	0.66	49%	0	0%	-115	-115
Jonathan India	2B	R	1	CIN	v	CHC	15th	5.0	Smyly	L	.222 2-9, 0 HR, 0 RBI, 0 BB, 3 SO	1b	0.5	0,2,0,2	50%	0.66	50%	12	50%	'+105	-140
