NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Wilmer Flores	+0	1B	R	-	.224	SF	v	HOU	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.250 2-8, 1 HR, 1 RBI, 1 BB, 2 SO	Blanco	R		'+340
Yainer Diaz	+0	C	R	5	.257	HOU	@	SF	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.667 2-3, 0 HR, 0 RBI, 0 BB, 0 SO	Hicks	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	'+650
Yordan Alvarez	+0	LF	L	3	.290	HOU	@	SF	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.200 3-15, 0 HR, 0 RBI, 1 BB, 4 SO	Hicks	R		'+750
Adolis Garcia	+0	RF	R	4	.217	TEX	@	LAD	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.333 1-3, 0 HR, 0 RBI, 2 BB, 0 SO	Paxton	L		'+295
Andy Pages	+0	CF	R	6	.260	LAD	v	TEX	-	-	hits_milestones	0		0.0	0%	0%	0%	0%		Dunning	R		'+330
Corey Seager	+0	SS	L	2	.271	TEX	@	LAD	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.667 2-3, 1 HR, 1 RBI, 1 BB, 1 SO	Paxton	L	.333 1-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+750
Ezequiel Duran	+0	LF	R	8	.278	TEX	@	LAD	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.300 3-10, 0 HR, 1 RBI, 2 BB, 2 SO	Paxton	L		'+330
Freddie Freeman	+0	1B	L	3	.290	LAD	v	TEX	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.667 8-12, 3 HR, 6 RBI, 3 BB, 2 SO	Dunning	R	.000 2-2, 1 HR, 1 RBI, 0 BB, 0 SO	'+1000
Gavin Lux	+0	2B	L	7	.216	LAD	v	TEX	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.375 6-16, 1 HR, 5 RBI, 1 BB, 3 SO	Dunning	R	.667 2-3, 0 HR, 1 RBI, 0 BB, 1 SO	'+360
Jason Heyward	+0	RF	L	8	.230	LAD	v	TEX	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.000 0-4, 0 HR, 0 RBI, 1 BB, 2 SO	Dunning	R	.000 0-3, 0 HR, 0 RBI, 1 BB, 2 SO	'+350
Jonah Heim	+0	C	S	5	.246	TEX	@	LAD	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.111 1-9, 0 HR, 3 RBI, 1 BB, 2 SO	Paxton	L		'+1100
Josh Smith	+0	3B	L	7	.289	TEX	@	LAD	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.000 0-3, 0 HR, 0 RBI, 1 BB, 1 SO	Paxton	L		'+360
Enrique Hernandez	+0	3B	R	9	.207	LAD	v	TEX	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.250 1-4, 0 HR, 2 RBI, 1 BB, 2 SO	Dunning	R	.500 2-4, 0 HR, 1 RBI, 2 BB, 1 SO	'+360
Leody Taveras	+0	CF	S	9	.223	TEX	@	LAD	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.167 2-12, 0 HR, 2 RBI, 0 BB, 4 SO	Paxton	L		'+370
Marcus Semien	+0	2B	R	1	.261	TEX	@	LAD	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.154 2-13, 1 HR, 2 RBI, 0 BB, 0 SO	Paxton	L	.250 4-16, 2 HR, 4 RBI, 1 BB, 5 SO	'+950
Mookie Betts	+0	SS	R	1	.309	LAD	v	TEX	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.250 3-12, 0 HR, 2 RBI, 2 BB, 2 SO	Dunning	R	.250 1-4, 1 HR, 1 RBI, 1 BB, 1 SO	'+750
Robbie Grossman	+0	RF	S	3	.152	TEX	@	LAD	-	-	hits_milestones	0		0.0	0%	0%	0%	0%		Paxton	L	.000 0-11, 0 HR, 0 RBI, 2 BB, 5 SO	'+450
Shohei Ohtani	+0	DH	L	2	.314	LAD	v	TEX	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.371 13-35, 5 HR, 10 RBI, 9 BB, 5 SO	Dunning	R	.190 4-21, 0 HR, 1 RBI, 5 BB, 5 SO	'+750
Teoscar Hernandez	+0	RF	R	5	.266	LAD	v	TEX	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.227 10-44, 1 HR, 4 RBI, 5 BB, 18 SO	Dunning	R	.125 1-8, 0 HR, 0 RBI, 1 BB, 3 SO	'+1000
Will Smith	+0	C	R	4	.288	LAD	v	TEX	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.286 4-14, 0 HR, 2 RBI, 1 BB, 1 SO	Dunning	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+700
Wyatt Langford	+0	LF	R	6	.234	TEX	@	LAD	-	-	hits_milestones	0		0.0	0%	0%	0%	0%		Paxton	L		'+300
