NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Gunnar Henderson	'+310	SS	L	1	.269	BAL	@	PIT	3rd	10th	2b	0.5	0,0,0,0,0,0,0	0.0	0%	10%	0%	0%	.367 22-60, 11 HR, 11 RBI, 1 BB, 14 SO	Falter	L		-475
Jake Meyers	'+600	CF	R	9	.267	HOU	@	TEX	6th	2nd	2b	0.5	0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	.256 20-78, 11 HR, 27 RBI, 5 BB, 15 SO	Gray	R	.250 1-4, 0 HR, 1 RBI, 0 BB, 2 SO	-1200
Jose Abreu	'+450	1B	R	6	.091	HOU	@	TEX	6th	2nd	2b	0.5	0,0,0,0,0,0,0	0.0	0%	20%	0%	0%	.262 74-282, 11 HR, 56 RBI, 21 BB, 55 SO	Gray	R	.286 2-7, 0 HR, 1 RBI, 3 BB, 1 SO	-750
Wyatt Langford	'+390	LF	R	5	.241	TEX	v	HOU	15th	15th	2b	0.5	0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	.250 1-4, 0 HR, 1 RBI, 1 BB, 1 SO	France	R		-650
Austin Wells	'+500	C	L	8	.214	NYY	v	TOR	26th	8th	2b	0.5	0,0,0,0,0	0.0	0%	0%	0%	0%		Gausman	R	.167 1-6, 0 HR, 0 RBI, 0 BB, 2 SO	-900
Davis Schneider	'+550	LF	R	-	.167	TOR	@	NYY	21st	29th	2b	0.5	0,0,0,0,0	0.0	0%	0%	0%	0%	.000 0-4, 0 HR, 0 RBI, 0 BB, 1 SO	Schmidt	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	-1000
Adam Frazier	'+450	2B	L	7	.263	KC	v	CHW	28th	20th	2b	0.5	0,0,0,0,0,0,0,0	0.0	0%	10%	0%	0%	.302 35-116, 2 HR, 5 RBI, 24 BB, 18 SO	Flexen	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-800
Andrew Benintendi	'+380	LF	L	1	.107	CHW	@	KC	9th	22nd	2b	0.5	0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	.176 35-199, 2 HR, 12 RBI, 18 BB, 24 SO	Wacha	R	.250 2-8, 0 HR, 0 RBI, 0 BB, 3 SO	-650
Andrew Vaughn	'+360	1B	R	5	.217	CHW	@	KC	9th	22nd	2b	0.5	0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	.297 68-229, 8 HR, 35 RBI, 25 BB, 31 SO	Wacha	R	.333 3-9, 1 HR, 5 RBI, 0 BB, 1 SO	-575
Braden Shewmake	'+500	SS	L	6	.231	CHW	@	KC	9th	22nd	2b	0.5	0,0,0,0,0	0.0	0%	0%	0%	0%	.000 0-3, 0 HR, 0 RBI, 1 BB, 1 SO	Wacha	R		-900
Dominic Fletcher	'+450	RF	L	7	.125	CHW	@	KC	9th	22nd	2b	0.5	0,0,0,0,0,0	0.0	0%	0%	0%	0%	.200 1-5, 0 HR, 0 RBI, 0 BB, 1 SO	Wacha	R		-800
Martin Maldonado	'+650	C	R	9	.000	CHW	@	KC	9th	22nd	2b	0.5	0,0,0,0,0	0.0	0%	0%	0%	0%	.152 15-99, 2 HR, 5 RBI, 14 BB, 30 SO	Wacha	R	.250 1-4, 0 HR, 0 RBI, 0 BB, 1 SO	-1600
Nicky Lopez	'+550	2B	L	8	.167	CHW	@	KC	9th	22nd	2b	0.5	0,0,0,0,0,0	0.0	0%	10%	0%	0%	.167 1-6, 0 HR, 0 RBI, 1 BB, 1 SO	Wacha	R	.143 1-7, 0 HR, 0 RBI, 2 BB, 0 SO	-1100
Oliver Dunn	'+450	3B	L	8	.312	MIL	v	SEA	17th	11th	2b	0.5	0,0,0,0,0	0.0	0%	0%	0%	0%	.500 2-4, 1 HR, 2 RBI, 0 BB, 0 SO	Miller	R		-800
Sal Frelick	'+425	CF	L	7	.211	MIL	v	SEA	17th	11th	2b	0.5	0,0,0,0,0	0.0	0%	0%	0%	0%	.333 1-3, 0 HR, 0 RBI, 1 BB, 1 SO	Miller	R		-750
Blaze Alexander	'+500	SS	R	7	.357	ARI	@	ATL	1st	9th	2b	0.5	0,0,0,0,0	0.0	0%	0%	0%	0%	.000 0-2, 0 HR, 0 RBI, 0 BB, 2 SO	Fried	L		-1000
Jace Peterson	'+700	2B	L	-	.200	ARI	@	ATL	1st	9th	2b	0.5	0,0,0,0	0.0	0%	10%	0%	0%	.267 12-45, 0 HR, 1 RBI, 2 BB, 13 SO	Fried	L		-1800
Elehuris Montero	'+290	1B	R	8	.167	COL	v	TB	21st	12th	2b	0.5	0,0,0,0,0,0	0.0	0%	10%	0%	0%	.238 10-42, 0 HR, 1 RBI, 1 BB, 3 SO	Alexander	L	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	-425
Elias Diaz	'+240	C	R	6	.250	COL	v	TB	21st	12th	2b	0.5	0,0,0,0,0,0	0.0	0%	10%	0%	0%	.610 25-41, 1 HR, 15 RBI, 0 BB, 12 SO	Alexander	L	.000 0-2, 0 HR, 0 RBI, 1 BB, 1 SO	-350
Kris Bryant	'+225	RF	R	4	.120	COL	v	TB	21st	12th	2b	0.5	0,0,0,0,0,0,0	0.0	0%	10%	0%	0%	.200 11-55, 9 HR, 19 RBI, 4 BB, 18 SO	Alexander	L	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	-320
Graham Pauley	'+360	3B	L	8	.154	SD	@	SF	12th	24th	2b	0.5	0,0,0,0,0	0.0	0%	0%	0%	0%	.200 2-10, 1 HR, 3 RBI, 0 BB, 5 SO	Winn	R		-575
Jung Hoo Lee	'+320	CF	L	1	.226	SF	v	SD	5th	14th	2b	0.5	0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	.235 4-17, 1 HR, 4 RBI, 4 BB, 2 SO	King	R		-500
Patrick Bailey	'+400	C	S	8	.368	SF	v	SD	5th	14th	2b	0.5	0,0,0,0,0,0	0.0	0%	0%	0%	0%	.417 5-12, 0 HR, 0 RBI, 2 BB, 2 SO	King	R		-650
Bobby Dalbec	'+500	3B	R	-	.000	BOS	@	LAA	20th	26th	2b	0.5	0,0,0,0	0.0	0%	0%	0%	0%	.286 10-35, 1 HR, 9 RBI, 3 BB, 8 SO	Detmers	L	.000 0-2, 0 HR, 0 RBI, 2 BB, 0 SO	-900
Connor Wong	'+500	C	R	9	.333	BOS	@	LAA	20th	26th	2b	0.5	0,0,0	0.0	0%	0%	0%	0%	.312 5-16, 1 HR, 1 RBI, 3 BB, 7 SO	Detmers	L	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-1000
Jarren Duran	'+425	LF	L	1	.394	BOS	@	LAA	20th	26th	2b	0.5	0,0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	.328 21-64, 10 HR, 20 RBI, 1 BB, 18 SO	Detmers	L		-750
Pablo Reyes	'+400	3B	R	8	.231	BOS	@	LAA	20th	26th	2b	0.5	0,0,0,0,0	0.0	0%	0%	0%	0%	.083 3-36, 0 HR, 1 RBI, 10 BB, 2 SO	Detmers	L		-650
Tyler Oneill	'+330	RF	R	2	.409	BOS	@	LAA	20th	26th	2b	0.5	0,0,0,0,0,0,0	0.0	0%	0%	0%	0%	.633 31-49, 20 HR, 20 RBI, 0 BB, 4 SO	Detmers	L		-500
