EV	EV Book	Imp	Game	Player	Prop	O/U	FD	DK	Bet365	CZ	Kambi	ESPN	L10% Over	% Over	Splits		Minutes
501.1	700 DK	12%	cardiff	Aaron Ramsey	tackles	o 1.5	-	'+700	-400	-	-	-	67%	67%	3,4,2,1,0,6	-	71,11,62,28,90
424.9	2000 365	5%	valladolid	Adam Aznou	shots	o 2.5	'+240	-	'+2000	-	-	-	0%	0%	0,0,0,0,0		75,2,6,33,45
372.6	2000 365	5%	las palmas	Stefan Bajcetic	shots	o 2.5	'+270	-	'+2000	-	-	-	0%	5%	2,0,0,0,0,0,0,0,1,1	🟡	6,25,77,86,85
354.0	2500 FD	4%	monaco	Denis Zakaria	shots	o 4.5	'+2500	-	'+350	-	-	-	-%	-%		🟡	
344.0	1200 FD	8%	monaco	Denis Zakaria	shots	o 3.5	'+1200	-	'+162	-	-	-	-%	-%		🟡	
322.4	700 365	12%	valladolid	Adam Aznou	shots	o 1.5	-130	-	'+700	-	-	-	0%	0%	0,0,0,0,0		75,2,6,33,45
309.3	700 365	12%	las palmas	Stefan Bajcetic	shots	o 1.5	-120	-	'+700	-	-	-	10%	14%	2,0,0,0,0,0,0,0,1,1	🟡	6,25,77,86,85
200.0	2500 FD	4%	las palmas	Alberto Moleiro	shots	o 5.5	'+2500	-	'+500	-	-	-	-%	-%		🟡	
165.4	1000 FD	9%	las palmas	Alberto Moleiro	shots	o 4.5	'+1000	-	'+250	-	-	-	-%	-%		🟡	
150.1	1800 FD	5%	monaco	Maghnes Akliouche	shots	o 5.5	'+1800	-	'+450	-	-	-	-%	-%		🟡	
149.3	350 DK	22%	lecce	Santiago Pierotti	tackles	o 2.5	-	'+350	-	-145	-	-	20%	12%	2,1,0,1,2,3,3,1,0,1		90,90,88,88,45
127.4	650 DK	13%	fiorentina	Nicolo Zaniolo	tackles	o 2.5	-	'+650	-	190	-	-	0%	0%	0,0,0,0,0,0,0,0,0,1	🟡	14,14,24,54,83
111.5	700 FD	12%	monaco	Maghnes Akliouche	shots	o 4.5	'+700	-	'+225	-	-	-	-%	-%		🟡	
110.8	380 DK	21%	bayern munich	Jamal Musiala	tackles	o 2.5	-	'+380	-	110	-	-	10%	27%	0,2,1,1,1,1,0,2,0,3	🟡	90,86,85,89,84
109.7	550 FD	15%	fiorentina	Dodo	shots	o 1.5	'+550	-	-	175	-	-	30%	23%	1,2,1,0,0,2,2,0,0,0	🟡	90,90,90,90,90
103.8	600 DK	14%	valladolid	Juanma Herzog	tackles	o 2.5	-	'+600	-	200	-	-	-%	-%			
100.0	300 DK	25%	stuttgart	Finn Jeltsch	tackles	o 2.5	-	'+300	-	-115	-	-	0%	0%	0,2	🟡	79,90,75,3,90
94.4	280 DK	26%	bayern munich	Dayot Upamecano	tackles	o 2.5	-	'+280	-	-120	-	-	20%	14%	2,3,2,1,2,1,2,2,5,0		90,90,90,90,90
93.7	425 DK	19%	fiorentina	Pietro Comuzzo	tackles	o 2.5	-	'+425	-	145	-	-	20%	23%	4,0,2,5,1,1,2,0,0,0	🟡	90,28,35,90,90
92.9	950 FD	10%	las palmas	Fabio Silva	shots	o 5.5	'+950	-	'+333	-	-	-	0%	0%	0,2,2,2,1,1,2,3,3,3		75,79,68,90,90
92.9	950 FD	10%	fiorentina	Rolando Mandragora	shots	o 3.5	'+950	-	'+333	-	-	-	0%	0%	0,0,3,1,0,0,0,0,0,1	🟡	90,75,79,69,66
91.4	900 DK	10%	reims	Oumar Diakite	tackles	o 2.5	-	'+900	-	320	-	'+320	-%	-%		🟡	
90.2	180 BR	36%	cardiff	Joe Ralls	shots	o 0.5	-260	-	-	-	180/-345	-	40%	35%	2,0,0,1,0,0,2,0,1,0	-	90,90,67,58,59
89.2	550 DK	15%	valladolid	Eray Comert	tackles	o 2.5	-	'+550	-	200	-	-	10%	6%	1,1,1,3,0,0,2,0,0,0	🟡	85,90,90,9,26
86.3	700 365	12%	aston villa	Jacob Ramsey	shots	o 3.5	'+260	-	'+700	-	-	-	-%	-%		-	
86.2	370 DK	21%	lecce	Tete Morente	tackles	o 2.5	-	'+370	-	130	-	-	20%	9%	1,0,0,0,0,1,1,3,0,3	🟡	82,35,69,90,81
86.1	440 FD	19%	valladolid	Florian Grillitsch	shots_on_target	o 0.5	'+440	-	-	160	-	-	40%	24%	1,0,0,1,1,0,0,0,1,0	🟡	90,1,25,45,30
82.0	525 BR	16%	cardiff	Joe Ralls	shots_on_target	o 0.5	'+200	-	-	-	525/-2500	-	20%	15%	0,0,0,0,0,0,1,0,1,0	-	90,90,67,58,59
81.4	450 365	18%	aston villa	Lucas Digne	shots	o 1.5	'+170	-	'+450	-	-	-	-%	-%		-	
81.2	1100 FD	8%	valladolid	Darwin Machis	shots	o 4.5	'+1100	-	'+400	-	-	-	0%	0%	3,0,0,2,1,1,0,0,2,1		16,20,13,45,45
81.0	650 FD	13%	monaco	Mika Biereth	shots	o 5.5	'+650	-	'+250	-	-	-	-%	-%		🟡	
78.7	215 BR	32%	cardiff	Perry Ng	shots	o 0.5	-155	-	-	-	215/-435	-	40%	43%	1,0,2,0,1,0,0,0,0,1	-	23,9,90,90,90
77.4	450 365	18%	las palmas	Alex Munoz	shots	o 1.5	'+175	-	'+450	-	-	-	20%	12%	0,2,2,0,0,0,0,1,0,0	🟡	60,6,67,57,90
77.0	700 FD	12%	las palmas	Jaime Mata	shots	o 3.5	'+700	-	'+275	-	-	-	0%	0%	0,1,1,0,1,0,1,0,1,0		11,35,9,20,25
76.6	155 DK	39%	monaco	Krepin Diatta	tackles	o 2.5	-	'+155	-	-300	-	-275	-%	-%		🟡	
74.6	900 FD	10%	las palmas	Sandro Ramirez	shots	o 5.5	'+900	-	'+350	-	-	-	10%	5%	2,1,3,3,2,1,1,7,2,4	🟡	79,79,90,84,90
74.6	225 DK	31%	fiorentina	Fabiano Parisi	tackles	o 2.5	-	'+225	-	-135	-	-	10%	6%	0,3,2,0,0,1,0,0,0,2	🟡	20,75,61,21,90
74.1	275 365	27%	aston villa	Jacob Ramsey	shots	o 2.5	'+100	-	'+275	-	-	-	-%	-%		-	
