EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi
0.0	-	100 DK	england @ italy	corners	u 8.5	-118/-112	-135/+100	-135/-110	-	-120/-120	-	-106/-136	-	-
-0.1	-0.1	-150 BV	haverfordwest @ penybont	1h_total	o 0.75	-	-	-	-150/+115	-	-173/136	-	0.0 - 0.7 - 0.7	0.4 - 0.6 - 1.0
-0.2	-0.2	165 BV	haverfordwest @ penybont	1h_total	o 1.25	-	-	-	'+165/-220	-	145/-184	-	0.0 - 0.7 - 0.7	0.4 - 0.6 - 1.0
-0.4	-	105 PB	serbia @ montenegro	corners	o 8.5	-110/-122	-110/-125	-125/-120	-	105/-150	-	-103/-130	-	-
-0.4	-	-140 DK	serbia @ montenegro	1h_corners	o 3.5	-	-140/+100	-190/130	-	-155/110	-	-	-	-
-0.4	-	-350 MGM	san marino @ denmark	home_total	u 6.5	-	'+310/-450	240/-350	-	-	-	325/-480	-	-
-0.4	-	175 DK	san marino @ denmark	home_total	o 5.5	-	'+175/-230	135/-190	-	-	-	160/-215	-	-
-0.4	-	-140 DK	northern ireland @ slovenia	away_corners	u 4.5	116/-156	'+105/-140	110/-165	-	135/-190	-	123/-165	-	-
-0.5	-	-150 PB	northern ireland @ slovenia	away_corners	o 3.5	-174/130	-	-	-	-150/105	-	-180/133	-	-
-0.5	-	115 PB	malta @ ukraine	2h_away_corners	o 1.5	-	-	-105/-140	-	115/-160	-	-	-	-
-0.6	-	-120 PB	serbia @ montenegro	2h_away_corners	o 2.5	-	-	-145/100	-	-120/-120	-	-	-	-
-0.6	-0.6	147 BV	haverfordwest @ penybont	total	o 2.75	-	-	-	'+147/-195	-	131/-165	-	1.0 - 2.7 - 3.7	1.3 - 1.4 - 2.8
-0.7	-	-8000 FD	serbia @ montenegro	home_corners	u 7.5	2100/-8000	-	-	-	5000/-58824	-	-	-	-
-0.7	-	-8000 FD	malta @ ukraine	away_corners	u 7.5	2400/-8000	-	-	-	5000/-58824	-	-	-	-
-0.7	-	125 MGM	malta @ ukraine	2h_home_corners	u 2.5	-	-	-190/125	-	-150/105	-	-	-	-
-0.7	-	-150 PB	malta @ ukraine	2h_home_corners	o 2.5	-	-	-190/125	-	-150/105	-	-	-	-
-0.8	-	155 PB	northern ireland @ slovenia	2h_away_corners	o 2.5	-	-	125/-190	-	155/-230	-	-	-	-
