EV	PN EV	EV Book	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	CZ	PN	Kambi	ESPN
89.6	-	700 FD	leverkusen v inter	francis onyeka	atgs	o 0.5	'+700	-	-	-	-	-	255	-
74.6	-	900 BR	club brugge v sporting lisbon	daniel braganca	atgs	o 0.5	-	'+350	-	-	-	-	900	-
73.3	-	750 FD	atalanta v real madrid	ederson	atgs	o 0.5	'+750	-	-	-	-	-	-	'+300
63.1	-	700 BR	brest v psv	romain faivre	atgs	o 0.5	-	'+300	-	-	-	-	700	-
53.1	-	900 CZ	plymouth v swansea	joe allen	atgs	o 0.5	-	-	380	-	900	-	410	-
50.9	-	450 MGM	burnley v derby	enock agyei	atgs	o 0.5	-	-	450	-	-	-	215	-
48.2	-	330 BR	leeds v middlesbrough	mateo joseph	atgs	o 0.5	-	-	160	-	-	-	330	-
43.8	-	550 FD	salzburg v paris st germain	bobby clark	score_or_assist	o 0.5	'+550	'+275	-	-	-	-	-	-
43.2	-	1900 MGM	leverkusen v inter	kristjan asllani	atgs	o 0.5	'+650	'+600	1900	-	800	-	750	'+650
39.7	-	380 BR	club brugge v sporting lisbon	pedro goncalves	atgs	o 0.5	-	'+200	-	-	-	-	380	-
37.7	-	205 BR	shakhtar v bayern munich	serge gnabry	atgs	o 0.5	-	'+105	-	-	-	-	205	-
37.5	-	450 MGM	leverkusen v inter	kerim alajbegovic	atgs	o 0.5	-	'+240	450	-	-	-	-	-
35.6	-	2100 FD	brest v psv	matteo dams	atgs	o 0.5	'+2100	-	-	-	-	-	750	-
27.1	-	650 MGM	plymouth v swansea	goncalo franco	atgs	o 0.5	-	-	650	-	240	-	480	-
26.0	-	250 FD	leipzig v aston villa	ross barkley	score_or_assist	o 0.5	'+250	'+150	-	-	-	-	-	-
24.4	-	430 BR	sheffield wednesday v blackburn	ike ugbo	atgs	o 0.5	-	-	275	-	240	-	430	-
23.6	-	600 BR	luton v stoke	victor moses	atgs	o 0.5	-	-	333	-	360	-	600	-
23.1	-	330 DK	brest v psv	noa lang	atgs	o 0.5	'+190	'+330	-	-	220	-	215	'+190
22.3	-	500 MGM	portsmouth v norwich	christian fassnacht	atgs	o 0.5	-	-	500	-	300	-	-	-
21.1	-	475 MGM	sheffield wednesday v blackburn	igor tyjon	atgs	o 0.5	-	-	475	-	-	-	290	-
20.9	-	380 BR	club brugge v sporting lisbon	ferran jutgla	atgs	o 0.5	'+240	'+250	-	-	240	-	380	'+220
20.7	-	160 MGM	shakhtar v bayern munich	nestory irankunda	atgs	o 0.5	'+100	-	160	-	-	-	-	-
18.6	-	600 BR	portsmouth v norwich	josh murphy	atgs	o 0.5	-	-	380	-	340	-	600	-
18.6	-	280 BR	plymouth v swansea	liam cullen	atgs	o 0.5	-	-	155	-	210	-	280	-
18.2	-	480 FD	leipzig v aston villa	amadou onana	score_or_assist	o 0.5	'+480	'+300	-	-	-	-	-	-
16.4	-	1200 BR	club brugge v sporting lisbon	hidemasa morita	atgs	o 0.5	-	'+600	-	-	-	-	1200	-
16.0	-	200 DK	shakhtar v bayern munich	raphael guerreiro	score_or_assist	o 0.5	'+135	'+200	-	-	-	-	-	-
15.6	-	1900 BR	leipzig v aston villa	willi orban	atgs	o 0.5	'+1000	'+600	675	-	900	-	1900	'+700
15.3	-	800 DK	atalanta v real madrid	juan cuadrado	atgs	o 0.5	-	'+800	-	-	-	-	460	-
15.2	-	500 DK	brest v psv	ismael saibari	atgs	o 0.5	'+470	'+500	-	-	300	-	265	'+240
14.3	-	750 DK	brest v psv	joey veerman	atgs	o 0.5	'+500	'+750	-	-	450	-	460	'+360
13.7	-	230 BR	leeds v middlesbrough	patrick bamford	atgs	o 0.5	-	-	170	-	150	-	230	-
13.5	-	600 CZ	burnley v derby	josh brownhill	atgs	o 0.5	-	-	290	-	600	-	460	-
13.5	-	100 FD	atalanta v real madrid	kylian mbappe	score_or_assist	o 0.5	'+100	-155	-	-	-	-	-	-
